Date,Country,City,Specie,count,min,max,median,variance
2020-08-31T00:00:00Z,GB,London,dew,132,4.0,9.0,7.5,31.21
2020-07-30T00:00:00Z,GB,London,dew,105,5.0,14.0,7.5,87.89
2020-08-14T00:00:00Z,GB,London,dew,65,16.0,18.0,17.0,5.08
2020-08-20T00:00:00Z,GB,London,dew,100,8.0,18.5,14.0,81.69
2020-09-09T00:00:00Z,GB,London,dew,115,8.0,16.0,14.0,53.48
2020-07-13T00:00:00Z,GB,London,dew,115,2.5,14.0,8.0,89.87
2020-08-10T00:00:00Z,GB,London,dew,105,16.0,18.0,17.5,3.10
2020-09-06T00:00:00Z,GB,London,dew,110,8.0,10.5,9.0,5.03
2020-09-18T00:00:00Z,GB,London,dew,100,8.0,12.0,9.0,16.64
2020-07-25T00:00:00Z,GB,London,dew,110,14.0,17.0,15.0,6.17
2020-07-28T00:00:00Z,GB,London,dew,110,6.0,11.5,7.5,35.72
2020-09-05T00:00:00Z,GB,London,dew,106,6.0,11.0,7.5,30.47
2020-08-01T00:00:00Z,GB,London,dew,110,11.0,17.0,12.5,30.11
2020-08-11T00:00:00Z,GB,London,dew,116,15.0,19.0,18.0,11.93
2020-08-26T00:00:00Z,GB,London,dew,115,10.0,12.0,11.0,2.38
2020-09-03T00:00:00Z,GB,London,dew,114,12.0,17.5,15.0,29.62
2020-09-10T00:00:00Z,GB,London,dew,70,6.0,8.0,6.5,4.21
2020-07-01T00:00:00Z,GB,London,dew,120,11.0,14.0,13.0,12.20
2020-07-19T00:00:00Z,GB,London,dew,115,8.0,14.0,13.0,33.18
2020-07-20T00:00:00Z,GB,London,dew,105,5.0,12.5,6.5,41.22
2020-10-04T00:00:00Z,GB,London,dew,75,8.0,10.0,9.0,5.47
2020-09-19T00:00:00Z,GB,London,dew,85,8.0,12.5,10.0,20.17
2020-09-21T00:00:00Z,GB,London,dew,100,7.5,13.0,11.5,40.47
2020-09-22T00:00:00Z,GB,London,dew,115,8.5,14.0,11.0,26.95
2020-08-02T00:00:00Z,GB,London,dew,120,7.5,12.0,9.5,16.80
2020-08-05T00:00:00Z,GB,London,dew,120,4.5,14.5,11.0,58.40
2020-08-15T00:00:00Z,GB,London,dew,80,17.0,19.0,18.0,4.82
2020-08-28T00:00:00Z,GB,London,dew,110,10.0,13.5,12.0,13.06
2020-09-02T00:00:00Z,GB,London,dew,132,7.5,14.0,10.0,34.34
2020-07-07T00:00:00Z,GB,London,dew,120,5.0,13.5,7.5,59.87
2020-07-08T00:00:00Z,GB,London,dew,90,14.0,17.0,15.5,8.78
2020-07-22T00:00:00Z,GB,London,dew,115,7.0,9.5,8.0,4.70
2020-09-08T00:00:00Z,GB,London,dew,100,14.0,17.5,16.0,9.37
2020-10-03T00:00:00Z,GB,London,dew,90,9.5,14.0,11.0,17.77
2020-08-08T00:00:00Z,GB,London,dew,120,14.0,17.0,15.5,5.65
2020-08-24T00:00:00Z,GB,London,dew,95,11.0,15.5,12.0,29.27
2020-09-26T00:00:00Z,GB,London,dew,115,2.0,8.5,4.0,36.84
2020-09-24T00:00:00Z,GB,London,dew,115,5.0,9.0,7.0,11.23
2020-07-05T00:00:00Z,GB,London,dew,120,5.0,15.0,8.0,153.97
2020-09-15T00:00:00Z,GB,London,dew,115,14.0,17.0,16.0,10.45
2020-09-17T00:00:00Z,GB,London,dew,100,5.5,12.0,9.5,28.35
2020-09-29T00:00:00Z,GB,London,dew,100,10.5,15.0,12.0,20.05
2020-08-04T00:00:00Z,GB,London,dew,110,5.0,12.0,10.0,52.19
2020-09-01T00:00:00Z,GB,London,dew,138,5.0,10.5,8.0,22.48
2020-09-12T00:00:00Z,GB,London,dew,100,8.0,12.0,10.0,13.20
2020-08-03T00:00:00Z,GB,London,dew,120,5.5,13.0,9.0,46.32
2020-08-12T00:00:00Z,GB,London,dew,95,17.5,19.0,18.0,3.54
2020-08-19T00:00:00Z,GB,London,dew,85,15.0,19.0,16.5,21.88
2020-09-13T00:00:00Z,GB,London,dew,95,11.0,13.5,12.0,6.75
2020-07-06T00:00:00Z,GB,London,dew,80,4.5,8.0,7.0,11.39
2020-07-24T00:00:00Z,GB,London,dew,95,11.5,14.5,14.0,8.06
