Date,Country,City,Specie,count,min,max,median,variance
2020-07-21T00:00:00Z,US,Los Angeles,no2,50,0.3,31.5,14.9,497.90
2020-07-24T00:00:00Z,US,Los Angeles,no2,48,3.8,34.3,9.3,411.95
2020-08-09T00:00:00Z,US,Los Angeles,no2,48,1.9,15.8,6.5,86.31
2020-08-17T00:00:00Z,US,Los Angeles,no2,48,1.0,42.6,20.4,1134.24
2020-09-03T00:00:00Z,US,Los Angeles,no2,48,5.6,42.6,20.4,952.42
2020-08-23T00:00:00Z,US,Los Angeles,no2,87,0.1,14.9,3.8,104.68
2020-09-08T00:00:00Z,US,Los Angeles,no2,33,1.0,40.8,8.4,628.68
2020-07-07T00:00:00Z,US,Los Angeles,no2,48,1.0,36.2,10.2,827.08
2020-07-11T00:00:00Z,US,Los Angeles,no2,48,3.8,26.0,13.0,425.50
2020-07-12T00:00:00Z,US,Los Angeles,no2,46,2.8,24.1,9.3,195.20
2020-08-12T00:00:00Z,US,Los Angeles,no2,45,5.6,50.1,22.3,1276.41
2020-08-20T00:00:00Z,US,Los Angeles,no2,87,0.2,51.1,9.3,1252.12
2020-09-20T00:00:00Z,US,Los Angeles,no2,45,1.0,29.7,9.3,528.94
2020-07-18T00:00:00Z,US,Los Angeles,no2,48,2.8,17.6,8.4,192.76
2020-07-29T00:00:00Z,US,Los Angeles,no2,48,4.7,39.9,15.8,1175.75
2020-07-31T00:00:00Z,US,Los Angeles,no2,48,5.6,46.3,27.8,1077.79
2020-08-24T00:00:00Z,US,Los Angeles,no2,81,0.2,29.7,5.6,538.19
2020-09-18T00:00:00Z,US,Los Angeles,no2,48,4.8,50.1,31.5,1415.70
2020-07-14T00:00:00Z,US,Los Angeles,no2,47,1.9,26.9,9.3,508.32
2020-08-02T00:00:00Z,US,Los Angeles,no2,48,1.9,24.1,8.4,377.03
2020-10-03T00:00:00Z,US,Los Angeles,no2,52,0.9,47.3,14.9,1677.56
2020-06-29T00:00:00Z,US,Los Angeles,no2,48,1.9,29.7,4.7,715.87
2020-08-28T00:00:00Z,US,Los Angeles,no2,48,1.9,38.0,16.7,794.08
2020-09-16T00:00:00Z,US,Los Angeles,no2,46,5.9,100.0,38.9,4612.18
2020-09-22T00:00:00Z,US,Los Angeles,no2,47,4.7,40.8,19.5,1295.11
2020-08-30T00:00:00Z,US,Los Angeles,no2,47,2.8,13.0,5.6,60.22
2020-09-10T00:00:00Z,US,Los Angeles,no2,48,17.6,54.4,29.7,624.44
2020-09-28T00:00:00Z,US,Los Angeles,no2,48,5.6,44.5,20.4,1441.83
2020-09-06T00:00:00Z,US,Los Angeles,no2,39,4.7,46.3,21.3,927.84
2020-09-19T00:00:00Z,US,Los Angeles,no2,48,5.6,26.9,16.7,412.95
2020-09-29T00:00:00Z,US,Los Angeles,no2,48,2.3,55.5,22.3,1720.71
2020-07-05T00:00:00Z,US,Los Angeles,no2,48,2.8,26.0,9.3,365.89
2020-07-19T00:00:00Z,US,Los Angeles,no2,47,1.9,15.8,7.5,92.13
2020-07-23T00:00:00Z,US,Los Angeles,no2,47,1.9,26.0,7.5,349.18
2020-08-04T00:00:00Z,US,Los Angeles,no2,45,1.0,30.6,9.3,562.73
2020-08-27T00:00:00Z,US,Los Angeles,no2,48,2.5,48.2,20.4,1008.47
2020-09-30T00:00:00Z,US,Los Angeles,no2,48,7.5,96.8,34.3,3492.69
2020-09-01T00:00:00Z,US,Los Angeles,no2,48,2.8,33.4,13.9,746.12
2020-09-27T00:00:00Z,US,Los Angeles,no2,37,1.0,13.9,5.6,84.12
2020-10-01T00:00:00Z,US,Los Angeles,no2,46,9.3,55.5,31.5,1124.38
2020-07-13T00:00:00Z,US,Los Angeles,no2,48,1.9,21.3,8.4,315.42
2020-07-15T00:00:00Z,US,Los Angeles,no2,46,1.9,30.6,8.4,574.78
2020-08-14T00:00:00Z,US,Los Angeles,no2,48,4.7,55.5,22.3,1340.54
2020-08-19T00:00:00Z,US,Los Angeles,no2,77,0.2,44.5,14.9,1298.79
2020-08-22T00:00:00Z,US,Los Angeles,no2,91,0.2,29.7,4.7,652.80
2020-08-26T00:00:00Z,US,Los Angeles,no2,48,3.8,35.2,19.5,651.07
2020-06-30T00:00:00Z,US,Los Angeles,no2,47,2.8,33.4,17.6,1027.86
2020-07-02T00:00:00Z,US,Los Angeles,no2,45,1.0,22.3,6.5,359.01
2020-07-08T00:00:00Z,US,Los Angeles,no2,46,1.0,31.5,9.3,663.94
2020-07-17T00:00:00Z,US,Los Angeles,no2,47,2.8,38.9,11.2,793.75
2020-07-25T00:00:00Z,US,Los Angeles,no2,48,3.8,19.5,7.5,156.28
2020-09-23T00:00:00Z,US,Los Angeles,no2,48,6.5,42.6,28.8,989.52
2020-09-24T00:00:00Z,US,Los Angeles,no2,48,3.8,44.5,26.0,1048.89
2020-09-26T00:00:00Z,US,Los Angeles,no2,45,1.0,31.5,9.3,415.82
2020-07-16T00:00:00Z,US,Los Angeles,no2,46,2.8,30.6,15.8,686.88
2020-07-28T00:00:00Z,US,Los Angeles,no2,45,5.6,32.5,14.9,529.29
2020-08-11T00:00:00Z,US,Los Angeles,no2,46,5.6,36.2,16.7,732.58
2020-09-07T00:00:00Z,US,Los Angeles,no2,24,4.7,30.6,10.2,583.63
2020-09-12T00:00:00Z,US,Los Angeles,no2,48,10.2,65.3,28.8,1609.46
2020-08-18T00:00:00Z,US,Los Angeles,no2,48,1.9,58.7,24.1,2281.67
2020-09-05T00:00:00Z,US,Los Angeles,no2,53,0.2,54.4,28.8,1915.22
2020-09-14T00:00:00Z,US,Los Angeles,no2,48,8.4,55.5,32.5,1417.69
2020-07-01T00:00:00Z,US,Los Angeles,no2,47,1.0,23.2,7.5,366.87
2020-07-03T00:00:00Z,US,Los Angeles,no2,47,4.7,32.5,13.0,530.82
2020-07-10T00:00:00Z,US,Los Angeles,no2,48,6.5,43.6,14.9,1060.29
2020-07-30T00:00:00Z,US,Los Angeles,no2,48,5.6,37.1,17.6,762.71
2020-08-06T00:00:00Z,US,Los Angeles,no2,40,0.9,31.5,8.4,578.54
2020-09-21T00:00:00Z,US,Los Angeles,no2,47,1.0,38.0,13.9,903.56
2020-09-25T00:00:00Z,US,Los Angeles,no2,43,1.0,40.8,15.8,767.36
2020-10-02T00:00:00Z,US,Los Angeles,no2,48,6.5,54.4,27.8,1463.08
2020-07-26T00:00:00Z,US,Los Angeles,no2,47,2.8,15.8,8.4,71.34
2020-07-27T00:00:00Z,US,Los Angeles,no2,48,2.8,35.2,14.9,802.85
2020-08-05T00:00:00Z,US,Los Angeles,no2,48,3.8,37.1,9.3,713.33
2020-08-29T00:00:00Z,US,Los Angeles,no2,48,2.8,20.4,8.4,209.04
2020-09-13T00:00:00Z,US,Los Angeles,no2,53,0.4,31.5,17.6,653.96
2020-07-09T00:00:00Z,US,Los Angeles,no2,47,4.7,30.6,12.1,471.85
2020-08-07T00:00:00Z,US,Los Angeles,no2,48,4.7,26.0,14.9,316.42
2020-08-08T00:00:00Z,US,Los Angeles,no2,48,3.8,21.3,10.2,189.22
2020-08-31T00:00:00Z,US,Los Angeles,no2,47,2.8,31.5,11.2,656.50
2020-09-17T00:00:00Z,US,Los Angeles,no2,44,3.8,67.4,32.5,2158.77
2020-10-04T00:00:00Z,US,Los Angeles,no2,47,6.5,43.6,19.5,1028.70
2020-08-03T00:00:00Z,US,Los Angeles,no2,48,1.9,30.6,12.1,540.30
2020-08-13T00:00:00Z,US,Los Angeles,no2,48,6.5,53.3,25.1,1218.93
2020-08-21T00:00:00Z,US,Los Angeles,no2,85,0.5,35.2,13.9,777.72
2020-09-02T00:00:00Z,US,Los Angeles,no2,48,3.8,37.1,18.6,1055.34
2020-09-04T00:00:00Z,US,Los Angeles,no2,48,7.5,58.7,24.1,1127.87
2020-07-04T00:00:00Z,US,Los Angeles,no2,44,2.8,22.3,12.1,376.38
2020-07-06T00:00:00Z,US,Los Angeles,no2,48,1.9,34.3,14.9,719.14
2020-08-01T00:00:00Z,US,Los Angeles,no2,45,1.9,42.6,14.9,987.66
2020-08-25T00:00:00Z,US,Los Angeles,no2,48,3.8,35.2,16.7,615.76
2020-09-15T00:00:00Z,US,Los Angeles,no2,47,9.3,76.1,37.1,2381.16
2020-09-09T00:00:00Z,US,Los Angeles,no2,48,5.6,44.5,23.2,1037.63
2020-09-11T00:00:00Z,US,Los Angeles,no2,48,15.8,91.4,30.6,2154.13
2020-07-20T00:00:00Z,US,Los Angeles,no2,48,3.8,28.8,10.2,342.35
2020-07-22T00:00:00Z,US,Los Angeles,no2,61,0.2,27.8,6.5,606.26
2020-08-10T00:00:00Z,US,Los Angeles,no2,47,3.8,34.3,11.2,888.23
2020-08-15T00:00:00Z,US,Los Angeles,no2,48,1.0,39.9,18.6,814.22
2020-08-16T00:00:00Z,US,Los Angeles,no2,45,1.0,14.9,3.8,215.38
2020-07-02T00:00:00Z,US,Los Angeles,pressure,72,1011.6,1014.6,1012.9,7.10
2020-07-15T00:00:00Z,US,Los Angeles,pressure,48,1011.9,1015.5,1013.2,12.21
2020-08-13T00:00:00Z,US,Los Angeles,pressure,37,1008.9,1014.0,1011.4,16.95
2020-08-25T00:00:00Z,US,Los Angeles,pressure,72,1007.1,1011.9,1009.7,15.40
2020-09-14T00:00:00Z,US,Los Angeles,pressure,72,1012.0,1015.9,1013.2,10.52
2020-08-04T00:00:00Z,US,Los Angeles,pressure,48,1012.3,1016.1,1013.9,11.79
2020-08-30T00:00:00Z,US,Los Angeles,pressure,72,1008.0,1012.2,1010.9,15.53
2020-09-28T00:00:00Z,US,Los Angeles,pressure,72,1010.5,1015.9,1012.7,16.71
2020-07-01T00:00:00Z,US,Los Angeles,pressure,72,1010.1,1013.2,1011.8,6.70
2020-07-08T00:00:00Z,US,Los Angeles,pressure,70,1009.6,1013.0,1011.5,8.32
2020-07-14T00:00:00Z,US,Los Angeles,pressure,63,1012.3,1015.6,1014.1,8.05
2020-07-17T00:00:00Z,US,Los Angeles,pressure,72,1012.7,1016.1,1014.0,7.98
2020-07-30T00:00:00Z,US,Los Angeles,pressure,48,1011.4,1014.7,1012.9,8.83
2020-09-25T00:00:00Z,US,Los Angeles,pressure,72,930.4,1015.7,1013.3,969.02
2020-09-30T00:00:00Z,US,Los Angeles,pressure,96,1010.1,1015.3,1012.6,18.58
2020-10-03T00:00:00Z,US,Los Angeles,pressure,96,920.2,1013.8,1010.2,862.03
2020-07-28T00:00:00Z,US,Los Angeles,pressure,48,1009.9,1013.1,1011.5,7.97
2020-07-29T00:00:00Z,US,Los Angeles,pressure,48,1011.0,1013.5,1012.0,5.44
2020-08-21T00:00:00Z,US,Los Angeles,pressure,120,1005.5,1010.6,1008.0,13.93
2020-08-27T00:00:00Z,US,Los Angeles,pressure,67,1005.0,1008.5,1006.6,8.00
2020-09-09T00:00:00Z,US,Los Angeles,pressure,96,1006.0,1012.5,1009.4,28.08
2020-07-20T00:00:00Z,US,Los Angeles,pressure,69,1010.1,1014.7,1013.1,22.08
2020-08-05T00:00:00Z,US,Los Angeles,pressure,48,1011.2,1015.2,1012.9,10.51
2020-08-09T00:00:00Z,US,Los Angeles,pressure,48,1011.3,1015.1,1013.5,11.27
2020-09-07T00:00:00Z,US,Los Angeles,pressure,72,1004.8,1010.0,1007.6,19.42
2020-09-17T00:00:00Z,US,Los Angeles,pressure,71,928.6,1015.1,1012.1,1000.98
2020-07-06T00:00:00Z,US,Los Angeles,pressure,72,1009.1,1012.7,1010.8,9.07
2020-07-22T00:00:00Z,US,Los Angeles,pressure,63,1010.1,1012.5,1011.1,4.37
2020-08-24T00:00:00Z,US,Los Angeles,pressure,118,1006.9,1012.5,1010.1,16.96
2020-09-04T00:00:00Z,US,Los Angeles,pressure,96,1009.5,1013.9,1011.7,12.61
2020-09-18T00:00:00Z,US,Los Angeles,pressure,72,1008.8,1013.3,1010.8,11.88
2020-07-31T00:00:00Z,US,Los Angeles,pressure,48,1010.3,1013.8,1012.2,9.44
2020-08-10T00:00:00Z,US,Los Angeles,pressure,38,1011.2,1014.3,1012.8,8.78
2020-08-15T00:00:00Z,US,Los Angeles,pressure,48,1007.4,1011.0,1009.2,9.07
2020-08-31T00:00:00Z,US,Los Angeles,pressure,72,1008.8,1012.5,1010.8,7.63
2020-10-04T00:00:00Z,US,Los Angeles,pressure,72,1011.5,1016.1,1013.5,13.91
2020-09-15T00:00:00Z,US,Los Angeles,pressure,68,1013.4,1018.3,1015.7,15.24
2020-09-29T00:00:00Z,US,Los Angeles,pressure,96,1011.0,1016.6,1013.8,18.41
2020-07-10T00:00:00Z,US,Los Angeles,pressure,72,1012.5,1016.6,1014.4,10.32
2020-07-19T00:00:00Z,US,Los Angeles,pressure,72,1012.3,1014.9,1013.5,5.16
2020-07-23T00:00:00Z,US,Los Angeles,pressure,48,1010.5,1014.1,1012.3,9.86
2020-08-02T00:00:00Z,US,Los Angeles,pressure,39,1012.6,1015.5,1014.0,7.45
2020-08-28T00:00:00Z,US,Los Angeles,pressure,72,1007.1,1012.1,1009.1,13.00
2020-08-11T00:00:00Z,US,Los Angeles,pressure,43,1010.1,1013.5,1012.5,9.09
2020-08-17T00:00:00Z,US,Los Angeles,pressure,48,1009.8,1014.2,1012.1,12.50
2020-08-22T00:00:00Z,US,Los Angeles,pressure,120,1007.3,1012.8,1010.0,16.33
2020-06-29T00:00:00Z,US,Los Angeles,pressure,72,1009.0,1013.6,1011.1,14.08
2020-07-05T00:00:00Z,US,Los Angeles,pressure,72,1009.5,1014.8,1012.5,23.20
2020-07-09T00:00:00Z,US,Los Angeles,pressure,70,1010.6,1014.8,1012.1,7.88
2020-07-12T00:00:00Z,US,Los Angeles,pressure,71,1008.5,1015.1,1011.9,28.90
2020-07-25T00:00:00Z,US,Los Angeles,pressure,48,1011.1,1014.2,1012.8,6.87
2020-08-23T00:00:00Z,US,Los Angeles,pressure,120,1007.8,1013.3,1010.7,17.54
2020-09-16T00:00:00Z,US,Los Angeles,pressure,72,1011.5,1016.6,1014.2,17.59
2020-09-22T00:00:00Z,US,Los Angeles,pressure,70,1013.5,1016.9,1015.5,7.31
2020-09-03T00:00:00Z,US,Los Angeles,pressure,86,1009.9,1014.9,1013.2,23.46
2020-09-08T00:00:00Z,US,Los Angeles,pressure,68,1003.7,1007.6,1005.4,7.78
2020-09-23T00:00:00Z,US,Los Angeles,pressure,71,1013.3,1017.8,1015.7,15.13
2020-08-01T00:00:00Z,US,Los Angeles,pressure,48,1009.9,1014.3,1012.6,15.39
2020-08-07T00:00:00Z,US,Los Angeles,pressure,38,1011.3,1014.0,1012.3,7.30
2020-08-18T00:00:00Z,US,Los Angeles,pressure,48,1008.8,1014.1,1011.7,19.45
2020-08-19T00:00:00Z,US,Los Angeles,pressure,52,1007.0,1011.9,1009.7,15.94
2020-08-29T00:00:00Z,US,Los Angeles,pressure,72,1009.7,1013.6,1011.3,8.49
2020-09-27T00:00:00Z,US,Los Angeles,pressure,61,1009.5,1013.8,1011.5,11.65
2020-07-18T00:00:00Z,US,Los Angeles,pressure,71,1012.5,1016.0,1014.4,9.90
2020-07-27T00:00:00Z,US,Los Angeles,pressure,48,1010.8,1013.6,1012.4,6.46
2020-08-03T00:00:00Z,US,Los Angeles,pressure,48,1011.1,1014.8,1013.0,11.63
2020-09-01T00:00:00Z,US,Los Angeles,pressure,96,901.8,1015.9,1013.4,1310.22
2020-09-12T00:00:00Z,US,Los Angeles,pressure,96,921.4,1014.1,1011.5,861.65
2020-09-20T00:00:00Z,US,Los Angeles,pressure,72,1009.7,1013.5,1011.6,9.69
2020-07-03T00:00:00Z,US,Los Angeles,pressure,72,1013.1,1016.2,1014.6,6.52
2020-07-11T00:00:00Z,US,Los Angeles,pressure,66,1011.9,1016.9,1014.5,15.28
2020-08-16T00:00:00Z,US,Los Angeles,pressure,48,1009.4,1013.5,1011.6,11.37
2020-08-26T00:00:00Z,US,Los Angeles,pressure,68,1005.0,1009.9,1007.5,17.93
2020-09-19T00:00:00Z,US,Los Angeles,pressure,72,911.2,1012.6,1010.4,1378.60
2020-07-07T00:00:00Z,US,Los Angeles,pressure,72,1009.1,1013.1,1011.2,11.23
2020-07-13T00:00:00Z,US,Los Angeles,pressure,72,1010.6,1014.2,1012.2,8.33
2020-07-16T00:00:00Z,US,Los Angeles,pressure,49,1011.1,1013.9,1012.5,6.01
2020-07-24T00:00:00Z,US,Los Angeles,pressure,48,1011.1,1014.3,1012.6,7.01
