Date,Country,City,Specie,count,min,max,median,variance
2020-10-02T00:00:00Z,US,Queens,dew,18,6.0,11.0,8.0,23.53
2020-07-07T00:00:00Z,US,Queens,dew,11,18.0,20.0,19.0,6.23
2020-07-18T00:00:00Z,US,Queens,dew,19,12.0,21.0,18.0,65.25
2020-08-02T00:00:00Z,US,Queens,dew,16,21.0,24.0,23.0,10.62
2020-08-13T00:00:00Z,US,Queens,dew,21,16.0,22.0,21.0,38.28
2020-08-26T00:00:00Z,US,Queens,dew,21,7.0,13.0,10.0,36.90
2020-09-29T00:00:00Z,US,Queens,dew,17,18.0,21.0,19.0,8.60
2020-07-09T00:00:00Z,US,Queens,dew,19,18.0,22.0,21.0,12.91
2020-08-03T00:00:00Z,US,Queens,dew,20,15.0,22.0,17.0,50.43
2020-08-16T00:00:00Z,US,Queens,dew,10,14.0,17.0,16.0,10.67
2020-08-31T00:00:00Z,US,Queens,dew,17,9.0,16.0,12.0,50.07
2020-09-09T00:00:00Z,US,Queens,dew,21,17.0,19.0,18.0,5.14
2020-08-12T00:00:00Z,US,Queens,dew,19,21.0,23.0,22.0,4.97
2020-08-19T00:00:00Z,US,Queens,dew,19,12.0,17.0,15.0,28.67
2020-09-05T00:00:00Z,US,Queens,dew,24,4.0,14.0,11.0,89.11
2020-07-13T00:00:00Z,US,Queens,dew,21,13.0,19.0,17.0,36.62
2020-08-10T00:00:00Z,US,Queens,dew,20,18.0,22.0,21.0,12.00
2020-08-23T00:00:00Z,US,Queens,dew,13,18.0,22.0,21.0,14.74
2020-09-06T00:00:00Z,US,Queens,dew,15,12.0,16.0,13.0,19.71
2020-09-24T00:00:00Z,US,Queens,dew,17,9.0,13.0,12.0,8.82
2020-07-27T00:00:00Z,US,Queens,dew,19,16.0,19.0,18.0,12.05
2020-08-18T00:00:00Z,US,Queens,dew,21,13.0,18.0,15.0,18.88
2020-08-29T00:00:00Z,US,Queens,dew,20,16.0,22.0,21.0,21.97
2020-09-11T00:00:00Z,US,Queens,dew,24,10.0,22.0,14.0,141.08
2020-09-16T00:00:00Z,US,Queens,dew,16,8.0,13.0,11.0,30.62
2020-09-15T00:00:00Z,US,Queens,dew,15,3.0,9.0,6.0,36.38
2020-10-01T00:00:00Z,US,Queens,dew,21,5.0,11.0,9.0,29.62
2020-06-29T00:00:00Z,US,Queens,dew,19,14.0,18.0,18.0,15.07
2020-07-26T00:00:00Z,US,Queens,dew,18,14.0,21.0,17.0,57.81
2020-07-29T00:00:00Z,US,Queens,dew,21,17.0,22.0,20.0,29.14
2020-07-31T00:00:00Z,US,Queens,dew,22,17.0,20.5,19.0,7.66
2020-08-24T00:00:00Z,US,Queens,dew,16,18.0,22.0,19.0,19.11
2020-09-02T00:00:00Z,US,Queens,dew,16,18.5,22.0,21.0,12.39
2020-10-03T00:00:00Z,US,Queens,dew,19,3.0,8.0,5.0,21.75
2020-07-10T00:00:00Z,US,Queens,dew,11,21.0,22.0,22.0,2.25
2020-08-15T00:00:00Z,US,Queens,dew,20,13.0,18.0,15.0,25.89
2020-08-20T00:00:00Z,US,Queens,dew,22,9.0,14.0,12.0,18.96
2020-09-01T00:00:00Z,US,Queens,dew,19,16.0,19.0,17.3,7.87
2020-09-12T00:00:00Z,US,Queens,dew,20,9.0,12.0,10.0,8.91
2020-09-18T00:00:00Z,US,Queens,dew,21,-1.0,15.0,11.0,231.90
2020-07-03T00:00:00Z,US,Queens,dew,16,18.0,21.0,19.0,14.50
2020-08-17T00:00:00Z,US,Queens,dew,19,14.0,19.0,17.0,21.13
2020-08-27T00:00:00Z,US,Queens,dew,21,13.0,19.6,18.0,50.37
2020-09-13T00:00:00Z,US,Queens,dew,19,11.0,18.0,16.0,56.49
2020-09-21T00:00:00Z,US,Queens,dew,20,-3.0,3.0,0.0,28.29
2020-09-30T00:00:00Z,US,Queens,dew,23,6.0,21.0,9.0,267.67
2020-07-14T00:00:00Z,US,Queens,dew,17,14.0,19.0,16.0,23.75
2020-09-03T00:00:00Z,US,Queens,dew,18,13.0,21.0,16.0,55.95
2020-09-07T00:00:00Z,US,Queens,dew,22,14.0,17.0,16.0,10.84
2020-09-10T00:00:00Z,US,Queens,dew,19,20.0,23.0,21.5,6.74
2020-09-26T00:00:00Z,US,Queens,dew,23,14.0,18.0,16.0,16.70
2020-07-17T00:00:00Z,US,Queens,dew,22,14.0,22.0,19.0,68.64
2020-08-21T00:00:00Z,US,Queens,dew,17,15.0,19.0,17.0,14.41
2020-08-25T00:00:00Z,US,Queens,dew,15,12.0,19.0,18.0,66.00
2020-08-28T00:00:00Z,US,Queens,dew,20,16.0,21.3,18.0,27.60
2020-09-20T00:00:00Z,US,Queens,dew,16,-3.0,2.0,-2.0,26.67
2020-07-28T00:00:00Z,US,Queens,dew,20,17.0,21.0,19.0,12.08
2020-08-05T00:00:00Z,US,Queens,dew,21,13.0,21.0,17.0,67.62
2020-07-04T00:00:00Z,US,Queens,dew,22,16.0,19.0,18.0,5.84
2020-07-05T00:00:00Z,US,Queens,dew,20,12.0,20.0,19.0,71.03
2020-07-08T00:00:00Z,US,Queens,dew,17,20.0,22.0,21.0,3.45
2020-07-20T00:00:00Z,US,Queens,dew,22,17.0,23.0,21.0,38.79
2020-07-21T00:00:00Z,US,Queens,dew,21,16.0,20.0,18.0,10.90
2020-07-23T00:00:00Z,US,Queens,dew,9,18.5,22.0,21.0,19.38
2020-10-04T00:00:00Z,US,Queens,dew,11,4.0,7.0,5.0,10.00
2020-07-15T00:00:00Z,US,Queens,dew,19,15.0,18.0,17.0,5.16
2020-07-16T00:00:00Z,US,Queens,dew,19,13.0,17.0,14.0,20.94
2020-08-14T00:00:00Z,US,Queens,dew,19,15.0,20.0,17.0,27.78
2020-09-04T00:00:00Z,US,Queens,dew,19,9.0,20.0,14.0,125.72
2020-09-08T00:00:00Z,US,Queens,dew,17,14.0,18.0,17.0,14.30
2020-09-28T00:00:00Z,US,Queens,dew,17,17.0,20.0,18.0,10.35
2020-09-19T00:00:00Z,US,Queens,dew,19,-4.0,0.0,-2.0,13.86
2020-09-23T00:00:00Z,US,Queens,dew,22,3.0,12.0,10.0,70.93
2020-07-12T00:00:00Z,US,Queens,dew,18,14.0,20.0,17.0,23.30
2020-07-24T00:00:00Z,US,Queens,dew,16,18.0,20.0,19.0,2.96
2020-08-01T00:00:00Z,US,Queens,dew,21,16.0,21.0,17.0,16.62
2020-08-04T00:00:00Z,US,Queens,dew,21,16.0,23.0,20.2,42.96
2020-08-07T00:00:00Z,US,Queens,dew,16,14.0,18.0,17.0,19.83
2020-09-17T00:00:00Z,US,Queens,dew,17,12.0,17.0,14.0,26.10
2020-09-27T00:00:00Z,US,Queens,dew,14,17.0,20.0,18.0,12.97
2020-09-22T00:00:00Z,US,Queens,dew,20,-1.0,4.0,2.0,16.71
2020-07-02T00:00:00Z,US,Queens,dew,14,15.0,17.0,17.0,4.18
2020-07-06T00:00:00Z,US,Queens,dew,22,15.0,20.0,18.0,23.97
2020-07-11T00:00:00Z,US,Queens,dew,20,21.0,23.0,22.0,5.61
2020-07-25T00:00:00Z,US,Queens,dew,23,17.0,22.0,19.0,20.67
2020-08-11T00:00:00Z,US,Queens,dew,20,20.0,24.0,22.0,11.03
2020-08-30T00:00:00Z,US,Queens,dew,19,9.0,15.0,12.0,31.17
2020-07-30T00:00:00Z,US,Queens,dew,21,17.0,21.0,19.0,9.79
2020-08-06T00:00:00Z,US,Queens,dew,22,14.0,18.0,16.0,18.96
2020-08-08T00:00:00Z,US,Queens,dew,18,17.0,20.0,19.0,7.59
2020-08-22T00:00:00Z,US,Queens,dew,7,18.0,21.0,19.0,9.52
2020-09-14T00:00:00Z,US,Queens,dew,17,4.0,17.0,11.0,201.10
2020-09-25T00:00:00Z,US,Queens,dew,16,11.0,16.0,14.0,27.82
2020-06-30T00:00:00Z,US,Queens,dew,18,16.0,19.0,17.0,6.54
2020-07-01T00:00:00Z,US,Queens,dew,22,14.0,18.0,17.0,10.52
2020-07-19T00:00:00Z,US,Queens,dew,20,18.0,23.0,20.0,18.95
2020-07-22T00:00:00Z,US,Queens,dew,18,20.0,23.0,21.0,9.96
2020-08-09T00:00:00Z,US,Queens,dew,18,18.0,21.0,19.0,12.03
2020-09-25T00:00:00Z,US,Queens,co,70,3.2,9.2,5.1,20.27
2020-07-09T00:00:00Z,US,Queens,co,108,1.2,3.6,1.9,2.87
2020-08-27T00:00:00Z,US,Queens,co,72,1.7,4.8,2.6,4.67
2020-08-31T00:00:00Z,US,Queens,co,71,1.5,2.7,2.0,1.04
2020-09-08T00:00:00Z,US,Queens,co,58,1.8,5.9,2.1,7.22
2020-09-14T00:00:00Z,US,Queens,co,54,1.4,2.4,1.8,0.74
2020-09-17T00:00:00Z,US,Queens,co,68,1.4,5.3,2.5,5.15
2020-08-24T00:00:00Z,US,Queens,co,67,1.8,8.4,2.6,6.99
2020-09-12T00:00:00Z,US,Queens,co,39,1.4,2.4,1.7,0.50
2020-07-03T00:00:00Z,US,Queens,co,120,1.7,4.5,2.6,4.35
2020-07-11T00:00:00Z,US,Queens,co,120,1.2,5.0,1.7,5.69
2020-07-15T00:00:00Z,US,Queens,co,120,1.3,2.3,1.7,0.50
2020-07-19T00:00:00Z,US,Queens,co,48,2.3,4.2,2.9,3.21
2020-08-09T00:00:00Z,US,Queens,co,72,1.9,4.4,2.7,3.83
2020-08-12T00:00:00Z,US,Queens,co,69,2.2,9.9,3.2,22.63
2020-09-21T00:00:00Z,US,Queens,co,60,1.2,5.8,2.0,14.75
2020-09-26T00:00:00Z,US,Queens,co,72,1.9,6.0,2.9,11.54
2020-07-18T00:00:00Z,US,Queens,co,48,1.7,6.5,2.9,11.86
2020-07-28T00:00:00Z,US,Queens,co,72,1.5,2.8,2.3,0.93
2020-08-01T00:00:00Z,US,Queens,co,72,1.7,12.3,2.5,53.75
2020-09-06T00:00:00Z,US,Queens,co,33,1.8,2.7,2.3,0.66
2020-10-03T00:00:00Z,US,Queens,co,52,1.7,5.0,2.3,5.55
2020-06-29T00:00:00Z,US,Queens,co,119,1.3,5.4,2.0,8.34
2020-07-22T00:00:00Z,US,Queens,co,72,1.9,4.4,2.5,1.79
2020-07-26T00:00:00Z,US,Queens,co,72,1.6,3.3,2.3,1.66
2020-07-27T00:00:00Z,US,Queens,co,61,1.7,4.5,2.5,4.33
2020-08-02T00:00:00Z,US,Queens,co,72,1.1,2.7,1.6,1.56
2020-09-09T00:00:00Z,US,Queens,co,72,1.7,4.2,2.3,4.72
2020-10-04T00:00:00Z,US,Queens,co,48,1.6,4.5,2.6,7.87
2020-07-04T00:00:00Z,US,Queens,co,120,1.3,2.8,1.9,1.69
2020-07-13T00:00:00Z,US,Queens,co,119,1.5,3.2,1.9,2.17
2020-07-24T00:00:00Z,US,Queens,co,72,1.6,4.4,2.3,2.43
2020-08-21T00:00:00Z,US,Queens,co,72,1.9,4.7,2.5,2.58
2020-08-22T00:00:00Z,US,Queens,co,72,2.3,4.5,2.8,1.59
2020-09-15T00:00:00Z,US,Queens,co,70,1.1,3.7,1.6,2.89
2020-07-05T00:00:00Z,US,Queens,co,120,1.6,5.1,2.4,3.24
2020-07-21T00:00:00Z,US,Queens,co,72,1.6,3.1,2.0,1.45
2020-07-31T00:00:00Z,US,Queens,co,70,1.3,5.1,2.2,7.34
2020-08-07T00:00:00Z,US,Queens,co,70,2.5,12.5,4.9,40.43
2020-08-16T00:00:00Z,US,Queens,co,72,1.3,1.9,1.7,0.23
2020-09-29T00:00:00Z,US,Queens,co,53,1.1,2.7,2.0,0.91
2020-07-14T00:00:00Z,US,Queens,co,120,1.1,2.6,1.7,0.69
2020-08-10T00:00:00Z,US,Queens,co,72,2.3,4.4,3.1,2.62
2020-08-17T00:00:00Z,US,Queens,co,71,1.5,3.8,2.1,2.43
2020-08-28T00:00:00Z,US,Queens,co,72,1.7,6.3,2.3,5.44
2020-07-06T00:00:00Z,US,Queens,co,119,1.8,6.9,2.7,18.70
2020-07-16T00:00:00Z,US,Queens,co,106,1.0,2.2,1.3,0.52
2020-08-13T00:00:00Z,US,Queens,co,68,1.7,6.1,3.1,7.62
2020-08-23T00:00:00Z,US,Queens,co,72,1.7,7.0,2.7,7.34
2020-08-26T00:00:00Z,US,Queens,co,72,1.1,2.4,1.6,0.71
2020-06-30T00:00:00Z,US,Queens,co,108,1.3,3.4,1.9,1.82
2020-08-15T00:00:00Z,US,Queens,co,72,1.7,3.3,2.0,1.98
2020-08-25T00:00:00Z,US,Queens,co,72,1.6,4.1,2.5,2.30
