Date,Country,City,Specie,count,min,max,median,variance
2020-10-02T00:00:00Z,CN,Beijing,wind-gust,120,8.7,13.8,11.8,29.77
2020-12-06T00:00:00Z,CN,Beijing,wind-gust,38,9.7,11.8,9.7,11.32
2020-10-03T00:00:00Z,CN,Beijing,wind-gust,20,10.8,10.8,10.8,0.00
2020-10-04T00:00:00Z,CN,Beijing,wind-gust,80,15.9,16.9,16.9,1.90
2020-10-13T00:00:00Z,CN,Beijing,wind-gust,60,10.8,12.8,10.8,9.04
2020-10-19T00:00:00Z,CN,Beijing,wind-gust,40,7.7,7.7,7.7,0.00
2020-12-29T00:00:00Z,CN,Beijing,wind-gust,114,12.8,16.9,15.9,16.83
2020-10-05T00:00:00Z,CN,Beijing,wind-gust,60,8.7,10.8,8.7,9.97
2020-11-19T00:00:00Z,CN,Beijing,wind-gust,57,9.7,10.8,10.8,2.74
2020-12-23T00:00:00Z,CN,Beijing,wind-gust,76,12.3,14.9,12.8,10.06
2020-10-16T00:00:00Z,CN,Beijing,wind-gust,40,9.7,10.8,9.7,3.10
2020-10-26T00:00:00Z,CN,Beijing,wind-gust,20,11.3,11.3,11.3,0.00
2020-11-06T00:00:00Z,CN,Beijing,wind-gust,40,9.7,11.8,9.7,11.31
2020-11-22T00:00:00Z,CN,Beijing,wind-gust,38,10.8,11.8,10.8,2.57
2020-12-07T00:00:00Z,CN,Beijing,wind-gust,57,10.8,12.8,11.8,6.79
2020-11-03T00:00:00Z,CN,Beijing,wind-gust,20,9.7,9.7,9.7,0.00
2020-11-12T00:00:00Z,CN,Beijing,wind-gust,20,9.7,9.7,9.7,0.00
2020-11-29T00:00:00Z,CN,Beijing,wind-gust,38,8.7,10.8,8.7,11.32
2020-12-12T00:00:00Z,CN,Beijing,wind-gust,19,8.7,8.7,8.7,0.00
2020-12-14T00:00:00Z,CN,Beijing,wind-gust,57,10.8,12.8,10.8,9.05
2020-12-24T00:00:00Z,CN,Beijing,wind-gust,57,11.3,14.9,14.9,29.31
2020-10-22T00:00:00Z,CN,Beijing,wind-gust,100,11.8,15.9,14.9,29.92
2020-12-01T00:00:00Z,CN,Beijing,wind-gust,19,6.6,6.6,6.6,0.00
2020-12-04T00:00:00Z,CN,Beijing,wind-gust,57,10.8,12.8,11.8,6.79
2020-12-13T00:00:00Z,CN,Beijing,wind-gust,19,15.9,15.9,15.9,0.00
2020-12-30T00:00:00Z,CN,Beijing,wind-gust,57,14.9,15.9,14.9,2.26
2020-12-31T00:00:00Z,CN,Beijing,wind-gust,19,13.8,13.8,13.8,0.00
2020-10-23T00:00:00Z,CN,Beijing,wind-gust,100,8.7,10.8,8.7,10.69
2020-11-01T00:00:00Z,CN,Beijing,wind-gust,80,9.7,14.9,11.8,34.70
2020-11-18T00:00:00Z,CN,Beijing,wind-gust,38,9.7,10.8,9.7,3.11
2020-12-03T00:00:00Z,CN,Beijing,wind-gust,95,10.8,11.8,10.8,2.43
2020-12-05T00:00:00Z,CN,Beijing,wind-gust,19,7.7,7.7,7.7,0.00
2020-10-31T00:00:00Z,CN,Beijing,wind-gust,40,7.7,9.7,7.7,10.26
2020-11-02T00:00:00Z,CN,Beijing,wind-gust,20,13.8,13.8,13.8,0.00
2020-11-07T00:00:00Z,CN,Beijing,wind-gust,120,10.8,18.5,16.4,79.92
2020-12-10T00:00:00Z,CN,Beijing,wind-gust,38,9.7,12.8,9.7,24.67
2020-10-08T00:00:00Z,CN,Beijing,dew,460,5.5,10.5,8.0,21.23
2020-11-06T00:00:00Z,CN,Beijing,dew,420,-13.0,3.0,-3.0,234.96
2020-12-28T00:00:00Z,CN,Beijing,dew,456,-20.5,-5.0,-9.0,123.45
2020-12-21T00:00:00Z,CN,Beijing,dew,456,-15.5,-12.0,-14.0,11.90
2020-10-12T00:00:00Z,CN,Beijing,dew,480,-6.5,4.0,-1.5,85.53
2020-10-22T00:00:00Z,CN,Beijing,dew,480,-15.0,-1.0,-11.5,255.51
2020-10-30T00:00:00Z,CN,Beijing,dew,440,-1.5,4.0,0.0,26.80
2020-11-07T00:00:00Z,CN,Beijing,dew,460,-16.5,-2.0,-10.0,138.85
2020-11-26T00:00:00Z,CN,Beijing,dew,456,-12.0,-5.5,-7.5,36.33
