Date,Country,City,Specie,count,min,max,median,variance
2020-11-29T00:00:00Z,US,Manhattan,no2,21,0.1,28.8,17.6,496.97
2020-12-11T00:00:00Z,US,Manhattan,no2,24,9.3,43.6,33.4,1085.25
2020-12-20T00:00:00Z,US,Manhattan,no2,21,0.1,38.9,33.4,907.35
2020-12-27T00:00:00Z,US,Manhattan,no2,21,0.1,29.7,15.8,615.21
2020-11-08T00:00:00Z,US,Manhattan,no2,21,0.1,65.3,27.8,3311.70
2020-10-18T00:00:00Z,US,Manhattan,no2,21,0.1,30.6,10.2,587.51
2020-10-29T00:00:00Z,US,Manhattan,no2,24,5.6,20.4,14.9,205.78
2020-11-20T00:00:00Z,US,Manhattan,no2,24,16.7,39.9,25.1,454.27
2020-11-26T00:00:00Z,US,Manhattan,no2,24,0.1,27.8,9.3,605.18
2020-12-05T00:00:00Z,US,Manhattan,no2,22,5.6,27.8,7.5,640.32
2020-12-09T00:00:00Z,US,Manhattan,no2,24,11.2,36.2,20.4,488.59
2020-12-15T00:00:00Z,US,Manhattan,no2,24,8.4,22.3,15.8,137.85
2020-10-11T00:00:00Z,US,Manhattan,no2,21,0.1,11.2,5.6,59.61
2020-12-16T00:00:00Z,US,Manhattan,no2,24,4.7,22.3,15.8,224.01
2020-11-30T00:00:00Z,US,Manhattan,no2,24,3.8,35.2,11.2,1229.65
2020-12-29T00:00:00Z,US,Manhattan,no2,24,6.5,30.6,13.9,603.87
2020-10-14T00:00:00Z,US,Manhattan,no2,24,5.6,36.2,13.9,771.92
2020-10-30T00:00:00Z,US,Manhattan,no2,24,4.7,18.6,9.3,142.46
2020-11-01T00:00:00Z,US,Manhattan,no2,21,0.1,16.7,9.3,123.39
2020-11-10T00:00:00Z,US,Manhattan,no2,24,5.6,27.8,16.7,371.26
2020-10-05T00:00:00Z,US,Manhattan,no2,24,7.5,21.3,12.1,139.02
2020-10-23T00:00:00Z,US,Manhattan,no2,24,6.5,28.8,12.1,270.59
2020-11-02T00:00:00Z,US,Manhattan,no2,24,3.8,16.7,8.4,142.58
2020-11-16T00:00:00Z,US,Manhattan,no2,24,2.8,36.2,7.5,1173.68
2020-11-17T00:00:00Z,US,Manhattan,no2,24,9.3,42.6,19.5,687.96
2020-10-13T00:00:00Z,US,Manhattan,no2,24,3.8,16.7,9.3,161.19
2020-11-03T00:00:00Z,US,Manhattan,no2,24,7.5,21.3,11.2,193.47
2020-11-07T00:00:00Z,US,Manhattan,no2,24,13.0,37.1,25.1,563.10
2020-11-09T00:00:00Z,US,Manhattan,no2,24,21.3,65.3,41.7,1419.56
2020-11-23T00:00:00Z,US,Manhattan,no2,47,4.2,27.2,10.2,284.19
2020-12-18T00:00:00Z,US,Manhattan,no2,23,15.8,44.5,22.3,417.76
2020-12-26T00:00:00Z,US,Manhattan,no2,20,3.8,11.2,5.6,50.39
