Date,Country,City,Specie,count,min,max,median,variance
2020-12-28T00:00:00Z,CN,Wuhan,o3,382,0.9,57.8,14.3,2215.34
2020-12-31T00:00:00Z,CN,Wuhan,o3,397,1.3,32.1,18.3,503.34
2021-01-16T00:00:00Z,CN,Wuhan,o3,394,2.5,29.3,17.9,346.24
2021-01-24T00:00:00Z,CN,Wuhan,o3,407,1.7,32.1,14.7,522.27
2021-02-01T00:00:00Z,CN,Wuhan,o3,336,0.5,28.1,4.1,478.14
2021-01-05T00:00:00Z,CN,Wuhan,o3,392,0.5,84.5,9.4,401.85
2021-01-08T00:00:00Z,CN,Wuhan,o3,407,1.3,28.5,14.3,496.38
2021-01-19T00:00:00Z,CN,Wuhan,o3,389,0.5,47.6,15.1,1700.45
2021-02-05T00:00:00Z,CN,Wuhan,o3,408,10.2,35.8,22.8,265.88
2021-02-22T00:00:00Z,CN,Wuhan,o3,377,0.5,81.9,23.6,6741.95
2021-03-15T00:00:00Z,CN,Wuhan,o3,381,0.5,32.9,4.1,501.51
2021-01-21T00:00:00Z,CN,Wuhan,o3,318,0.5,15.1,2.1,28.44
2021-01-30T00:00:00Z,CN,Wuhan,o3,397,0.9,24.8,5.3,162.06
2021-02-09T00:00:00Z,CN,Wuhan,o3,408,1.7,45.5,18.3,911.34
2021-02-19T00:00:00Z,CN,Wuhan,o3,407,1.3,51.3,27.3,1971.69
2021-01-01T00:00:00Z,CN,Wuhan,o3,383,1.3,30.1,7.4,785.45
2021-01-04T00:00:00Z,CN,Wuhan,o3,363,0.5,50.0,8.2,898.87
2021-01-09T00:00:00Z,CN,Wuhan,o3,389,0.5,32.5,4.1,933.34
2021-01-20T00:00:00Z,CN,Wuhan,o3,398,0.9,29.7,5.7,449.76
2021-01-27T00:00:00Z,CN,Wuhan,o3,392,0.5,40.3,4.9,412.26
2021-02-02T00:00:00Z,CN,Wuhan,o3,353,0.5,38.6,8.2,790.92
2021-02-11T00:00:00Z,CN,Wuhan,o3,398,0.5,50.6,20.8,2188.04
2021-02-14T00:00:00Z,CN,Wuhan,o3,406,1.3,41.1,18.3,1296.74
2021-02-16T00:00:00Z,CN,Wuhan,o3,406,1.7,45.1,24.4,837.03
2021-02-21T00:00:00Z,CN,Wuhan,o3,408,1.7,57.8,25.2,2242.65
2021-03-24T00:00:00Z,CN,Wuhan,o3,85,1.7,30.9,10.6,731.92
2021-03-08T00:00:00Z,CN,Wuhan,o3,404,0.9,25.2,7.0,298.54
2021-03-11T00:00:00Z,CN,Wuhan,o3,401,1.3,30.9,14.3,601.14
2021-03-17T00:00:00Z,CN,Wuhan,o3,406,1.7,32.9,16.7,341.01
2021-01-02T00:00:00Z,CN,Wuhan,o3,362,0.5,35.0,6.5,760.08
2021-01-12T00:00:00Z,CN,Wuhan,o3,384,0.9,36.6,11.0,1378.00
2021-02-04T00:00:00Z,CN,Wuhan,o3,408,0.5,40.7,18.7,811.23
2021-02-08T00:00:00Z,CN,Wuhan,o3,408,2.1,43.1,23.2,298.01
2021-02-24T00:00:00Z,CN,Wuhan,o3,407,2.1,35.0,21.6,344.11
2021-03-14T00:00:00Z,CN,Wuhan,o3,383,0.5,57.8,25.2,2998.64
2021-01-14T00:00:00Z,CN,Wuhan,o3,376,0.5,46.3,4.5,1340.04
2021-03-01T00:00:00Z,CN,Wuhan,o3,396,0.5,29.3,10.2,709.50
2021-03-04T00:00:00Z,CN,Wuhan,o3,376,0.9,50.6,13.0,2569.98
2021-03-12T00:00:00Z,CN,Wuhan,o3,374,0.9,43.9,11.8,2114.65
2021-03-13T00:00:00Z,CN,Wuhan,o3,367,0.5,52.6,10.2,2457.08
2021-03-21T00:00:00Z,CN,Wuhan,o3,405,4.9,39.4,24.8,523.49
2020-12-29T00:00:00Z,CN,Wuhan,o3,401,6.5,33.8,14.7,261.87
2021-02-06T00:00:00Z,CN,Wuhan,o3,408,0.9,37.4,22.4,495.68
2020-12-30T00:00:00Z,CN,Wuhan,o3,400,3.3,30.1,17.1,377.23
2021-01-26T00:00:00Z,CN,Wuhan,o3,406,0.9,93.6,10.6,1125.23
2021-02-12T00:00:00Z,CN,Wuhan,o3,408,1.3,54.5,17.5,1058.92
2021-02-13T00:00:00Z,CN,Wuhan,o3,402,1.3,40.7,15.5,1455.97
2021-02-25T00:00:00Z,CN,Wuhan,o3,403,7.8,22.0,13.0,63.57
2021-03-07T00:00:00Z,CN,Wuhan,o3,394,1.3,25.6,9.0,177.65
2021-03-20T00:00:00Z,CN,Wuhan,o3,408,6.5,42.3,22.0,616.48
2021-02-03T00:00:00Z,CN,Wuhan,o3,400,0.9,42.3,6.1,758.79
2021-02-28T00:00:00Z,CN,Wuhan,o3,395,0.9,16.3,4.9,120.33
2021-03-03T00:00:00Z,CN,Wuhan,o3,407,1.3,30.1,15.5,526.49
2021-03-18T00:00:00Z,CN,Wuhan,o3,404,1.3,23.6,9.0,230.25
2021-03-22T00:00:00Z,CN,Wuhan,o3,407,1.3,76.0,24.4,1523.01
2021-01-11T00:00:00Z,CN,Wuhan,o3,405,1.3,33.8,11.4,1063.11
2021-01-17T00:00:00Z,CN,Wuhan,o3,406,3.3,67.5,14.7,492.11
2021-01-18T00:00:00Z,CN,Wuhan,o3,396,0.9,39.8,9.0,1375.98
2021-01-23T00:00:00Z,CN,Wuhan,o3,408,2.1,31.7,10.6,353.70
2021-01-29T00:00:00Z,CN,Wuhan,o3,387,0.9,36.6,10.2,1227.75
2021-01-31T00:00:00Z,CN,Wuhan,o3,294,0.5,10.6,2.5,19.11
2021-02-18T00:00:00Z,CN,Wuhan,o3,407,1.7,57.8,29.3,1428.98
2021-02-27T00:00:00Z,CN,Wuhan,o3,403,1.3,32.1,14.7,298.45
2021-03-09T00:00:00Z,CN,Wuhan,o3,408,2.1,34.2,15.1,653.67
2021-01-07T00:00:00Z,CN,Wuhan,o3,403,8.2,26.4,17.9,144.19
