Date,Country,City,Specie,count,min,max,median,variance
2020-12-28T00:00:00Z,GB,London,temperature,744,-1.6,4.0,2.2,13.68
2021-02-14T00:00:00Z,GB,London,temperature,747,0.4,4.5,3.0,15.68
2021-02-18T00:00:00Z,GB,London,temperature,768,4.0,12.2,8.8,24.03
2021-02-26T00:00:00Z,GB,London,temperature,734,-0.8,14.8,6.6,134.41
2021-03-17T00:00:00Z,GB,London,temperature,744,2.3,10.3,7.0,19.91
2021-03-21T00:00:00Z,GB,London,temperature,732,2.9,12.9,8.2,31.59
2021-01-04T00:00:00Z,GB,London,temperature,720,1.6,5.5,3.5,7.17
2021-01-05T00:00:00Z,GB,London,temperature,720,1.2,5.0,3.3,6.51
2021-01-30T00:00:00Z,GB,London,temperature,744,2.2,8.3,4.4,25.52
2021-02-13T00:00:00Z,GB,London,temperature,768,-4.4,2.0,-0.3,36.40
2021-03-16T00:00:00Z,GB,London,temperature,744,6.6,14.1,8.3,57.77
2021-01-22T00:00:00Z,GB,London,temperature,744,-0.1,9.6,4.0,44.67
2021-02-08T00:00:00Z,GB,London,temperature,768,-2.7,-0.5,-1.6,2.64
2021-02-20T00:00:00Z,GB,London,temperature,714,10.5,16.1,13.0,20.64
2021-03-12T00:00:00Z,GB,London,temperature,723,3.8,12.5,7.5,30.37
2021-03-15T00:00:00Z,GB,London,temperature,744,6.7,12.2,9.0,9.31
2021-03-22T00:00:00Z,GB,London,temperature,738,2.6,17.3,8.3,112.01
2021-02-17T00:00:00Z,GB,London,temperature,756,6.6,12.0,10.0,12.02
2021-02-04T00:00:00Z,GB,London,temperature,768,0.0,9.4,7.5,45.86
2021-02-06T00:00:00Z,GB,London,temperature,768,2.8,8.3,6.1,13.00
2021-02-07T00:00:00Z,GB,London,temperature,760,-2.2,4.0,1.0,21.32
2021-02-09T00:00:00Z,GB,London,temperature,768,-2.5,1.1,-0.5,4.21
2021-02-11T00:00:00Z,GB,London,temperature,765,-3.8,1.3,-1.0,10.34
2021-02-12T00:00:00Z,GB,London,temperature,739,-2.8,1.6,-0.7,8.44
2021-03-11T00:00:00Z,GB,London,temperature,720,4.4,13.8,10.0,44.59
2021-03-13T00:00:00Z,GB,London,temperature,744,3.3,10.8,6.6,33.54
2021-01-14T00:00:00Z,GB,London,temperature,744,1.5,9.4,4.4,35.42
2021-01-17T00:00:00Z,GB,London,temperature,768,1.6,8.3,5.7,19.02
2021-01-18T00:00:00Z,GB,London,temperature,768,0.9,9.0,6.1,44.96
2021-02-15T00:00:00Z,GB,London,temperature,743,3.8,13.3,8.9,46.81
2021-02-24T00:00:00Z,GB,London,temperature,744,10.5,18.6,12.7,24.69
2021-03-09T00:00:00Z,GB,London,temperature,720,1.1,16.2,7.0,116.08
2021-01-09T00:00:00Z,GB,London,temperature,710,-2.6,5.5,0.5,13.45
2021-01-11T00:00:00Z,GB,London,temperature,744,3.3,9.4,7.6,32.84
2021-02-23T00:00:00Z,GB,London,temperature,757,4.9,15.0,12.1,94.28
2021-02-25T00:00:00Z,GB,London,temperature,744,4.3,13.3,10.5,32.69
2021-03-02T00:00:00Z,GB,London,temperature,744,2.7,10.4,5.0,20.45
2021-03-05T00:00:00Z,GB,London,temperature,744,0.7,6.9,4.1,19.47
2020-12-29T00:00:00Z,GB,London,temperature,744,0.5,5.0,2.7,12.49
2021-01-07T00:00:00Z,GB,London,temperature,720,-2.2,4.1,0.7,19.60
2021-01-08T00:00:00Z,GB,London,temperature,720,-1.9,2.7,0.0,9.27
2021-01-13T00:00:00Z,GB,London,temperature,744,-0.4,10.0,6.0,93.72
2021-02-02T00:00:00Z,GB,London,temperature,737,3.3,13.5,10.4,83.37
2021-02-16T00:00:00Z,GB,London,temperature,744,7.2,11.1,9.4,5.80
2021-03-20T00:00:00Z,GB,London,temperature,744,1.3,11.1,8.6,63.70
2021-01-06T00:00:00Z,GB,London,temperature,714,-0.9,6.1,3.3,16.10
2021-01-10T00:00:00Z,GB,London,temperature,689,-2.2,5.0,1.3,38.98
2021-01-26T00:00:00Z,GB,London,temperature,766,-3.2,7.0,4.3,74.87
2021-02-22T00:00:00Z,GB,London,temperature,768,6.1,12.7,9.6,16.70
2021-02-28T00:00:00Z,GB,London,temperature,744,1.3,10.8,4.8,46.80
2021-03-08T00:00:00Z,GB,London,temperature,731,-1.6,11.1,5.8,120.28
2021-03-06T00:00:00Z,GB,London,temperature,744,-0.2,6.9,3.7,25.64
2020-12-30T00:00:00Z,GB,London,temperature,729,-2.2,6.0,1.9,30.02
2020-12-31T00:00:00Z,GB,London,temperature,720,-2.7,2.0,0.0,10.34
2021-01-19T00:00:00Z,GB,London,temperature,768,8.5,12.5,10.5,6.52
2021-02-05T00:00:00Z,GB,London,temperature,765,5.0,12.6,7.5,21.69
2021-02-19T00:00:00Z,GB,London,temperature,768,3.3,13.0,9.4,54.84
2021-02-27T00:00:00Z,GB,London,temperature,710,-0.5,15.3,6.4,150.63
2021-01-25T00:00:00Z,GB,London,temperature,768,-2.7,6.2,1.1,41.88
2021-01-29T00:00:00Z,GB,London,temperature,754,7.2,11.4,9.1,9.79
