Date,Country,City,Specie,count,min,max,median,variance
2020-12-28T00:00:00Z,IT,Milan,temperature,95,-2.5,2.0,0.5,6.22
2021-01-14T00:00:00Z,IT,Milan,temperature,96,-2.9,10.7,4.0,101.49
2021-02-02T00:00:00Z,IT,Milan,temperature,96,-0.8,9.5,4.5,59.51
2021-02-04T00:00:00Z,IT,Milan,temperature,96,5.8,10.5,8.0,21.43
2020-12-30T00:00:00Z,IT,Milan,temperature,96,-2.6,5.8,2.0,34.21
2021-01-05T00:00:00Z,IT,Milan,temperature,96,3.0,7.0,5.0,13.22
2021-01-24T00:00:00Z,IT,Milan,temperature,96,-2.2,11.1,3.3,87.77
2021-01-30T00:00:00Z,IT,Milan,temperature,96,-0.9,11.2,5.5,82.08
2021-02-09T00:00:00Z,IT,Milan,temperature,96,5.6,11.4,8.3,20.98
2021-02-18T00:00:00Z,IT,Milan,temperature,96,5.6,10.5,8.1,12.60
2021-02-20T00:00:00Z,IT,Milan,temperature,93,7.2,12.2,10.0,17.76
2021-02-22T00:00:00Z,IT,Milan,temperature,96,3.7,13.7,10.6,52.36
2021-03-03T00:00:00Z,IT,Milan,temperature,96,1.6,14.0,9.2,130.55
2020-12-29T00:00:00Z,IT,Milan,temperature,96,-5.0,2.5,1.0,22.95
2021-01-08T00:00:00Z,IT,Milan,temperature,96,-3.3,7.0,2.2,69.25
2021-02-12T00:00:00Z,IT,Milan,temperature,96,-1.0,6.5,3.8,35.22
2021-02-13T00:00:00Z,IT,Milan,temperature,96,-2.6,1.8,-0.4,5.74
2021-02-19T00:00:00Z,IT,Milan,temperature,96,7.5,11.0,9.0,10.13
2021-02-21T00:00:00Z,IT,Milan,temperature,93,6.6,13.7,10.5,31.29
2021-02-25T00:00:00Z,IT,Milan,temperature,96,2.5,21.4,11.8,339.09
2021-03-20T00:00:00Z,IT,Milan,temperature,95,-2.7,11.5,6.0,155.58
2021-01-07T00:00:00Z,IT,Milan,temperature,96,-1.1,5.5,3.8,21.74
2021-01-10T00:00:00Z,IT,Milan,temperature,96,-4.0,6.3,1.6,57.94
2021-03-01T00:00:00Z,IT,Milan,temperature,96,-0.5,17.1,9.5,254.58
2021-03-09T00:00:00Z,IT,Milan,temperature,96,0.4,13.3,8.4,126.89
2021-02-24T00:00:00Z,IT,Milan,temperature,96,2.2,21.3,11.3,342.76
2021-03-21T00:00:00Z,IT,Milan,temperature,96,-2.2,9.6,5.5,95.58
2021-01-01T00:00:00Z,IT,Milan,temperature,96,1.0,3.4,2.2,4.96
2021-01-16T00:00:00Z,IT,Milan,temperature,96,-5.0,6.6,1.6,106.60
2021-02-08T00:00:00Z,IT,Milan,temperature,96,3.7,12.7,7.2,65.26
2021-03-13T00:00:00Z,IT,Milan,temperature,96,1.2,16.9,9.6,187.72
2021-03-17T00:00:00Z,IT,Milan,temperature,96,1.8,15.4,10.5,118.45
2021-01-11T00:00:00Z,IT,Milan,temperature,96,-6.1,5.4,0.1,104.65
2021-01-27T00:00:00Z,IT,Milan,temperature,95,-3.5,8.4,4.4,90.12
2021-01-28T00:00:00Z,IT,Milan,temperature,96,-0.9,9.0,3.8,68.12
2021-02-10T00:00:00Z,IT,Milan,temperature,96,3.4,9.0,7.3,8.07
2021-02-14T00:00:00Z,IT,Milan,temperature,96,-5.9,6.8,0.6,107.33
2021-03-11T00:00:00Z,IT,Milan,temperature,92,1.5,13.7,7.2,62.49
2021-03-19T00:00:00Z,IT,Milan,temperature,96,-0.4,10.5,6.1,71.70
2021-01-02T00:00:00Z,IT,Milan,temperature,96,1.0,5.5,3.5,13.83
2021-01-09T00:00:00Z,IT,Milan,temperature,95,-3.3,5.5,1.6,60.00
2021-01-21T00:00:00Z,IT,Milan,temperature,96,2.0,4.0,3.0,2.25
2021-01-29T00:00:00Z,IT,Milan,temperature,96,-1.1,8.0,3.8,55.72
2021-02-17T00:00:00Z,IT,Milan,temperature,96,4.3,14.3,7.4,93.80
2021-03-08T00:00:00Z,IT,Milan,temperature,96,-1.1,12.9,7.9,153.46
2021-03-12T00:00:00Z,IT,Milan,temperature,82,3.1,16.8,12.5,137.03
2021-03-15T00:00:00Z,IT,Milan,temperature,96,-0.4,16.1,11.0,255.99
