Date,Country,City,Specie,count,min,max,median,variance
2021-01-24T00:00:00Z,US,The Bronx,temperature,48,-5.4,1.0,-2.9,34.81
2021-02-03T00:00:00Z,US,The Bronx,temperature,48,-1.6,3.0,0.0,23.09
2021-03-08T00:00:00Z,US,The Bronx,temperature,48,-3.4,7.0,0.9,126.65
2021-03-18T00:00:00Z,US,The Bronx,temperature,72,4.3,8.0,6.1,9.49
2021-03-22T00:00:00Z,US,The Bronx,temperature,48,2.5,13.0,6.5,93.72
2020-12-28T00:00:00Z,US,The Bronx,temperature,48,1.8,11.0,7.7,75.49
2021-01-15T00:00:00Z,US,The Bronx,temperature,48,2.2,7.7,4.7,27.73
2021-02-07T00:00:00Z,US,The Bronx,temperature,48,-3.0,160.5,1.0,5348.27
2021-02-21T00:00:00Z,US,The Bronx,temperature,48,-3.8,2.7,-0.6,48.45
2021-01-29T00:00:00Z,US,The Bronx,temperature,48,-9.8,-3.3,-6.1,27.67
2021-01-31T00:00:00Z,US,The Bronx,temperature,48,-7.7,3.8,-5.0,30.63
2021-03-02T00:00:00Z,US,The Bronx,temperature,62,-5.9,1.0,-2.2,48.86
2021-03-15T00:00:00Z,US,The Bronx,temperature,72,-4.7,4.0,-0.5,62.06
2021-01-23T00:00:00Z,US,The Bronx,temperature,48,-4.4,2.7,-1.0,28.37
2021-01-25T00:00:00Z,US,The Bronx,temperature,47,-5.0,4.0,0.0,66.74
2021-03-03T00:00:00Z,US,The Bronx,temperature,48,0.5,11.0,6.1,134.51
2021-02-15T00:00:00Z,US,The Bronx,temperature,48,-0.1,2.0,0.5,1.44
2021-02-19T00:00:00Z,US,The Bronx,temperature,48,-2.7,1.0,-1.0,10.83
2021-03-23T00:00:00Z,US,The Bronx,temperature,33,4.3,14.0,6.0,81.98
2021-02-13T00:00:00Z,US,The Bronx,temperature,48,-4.4,-1.1,-2.2,10.57
2021-03-06T00:00:00Z,US,The Bronx,temperature,48,-1.9,2.0,0.0,8.71
2021-02-17T00:00:00Z,US,The Bronx,temperature,48,-5.4,1.0,-1.3,29.17
2021-02-18T00:00:00Z,US,The Bronx,temperature,48,-3.8,-1.9,-2.7,3.34
2021-02-26T00:00:00Z,US,The Bronx,temperature,69,0.8,7.7,3.8,29.08
2021-03-11T00:00:00Z,US,The Bronx,temperature,48,3.8,19.0,10.6,263.50
2021-01-12T00:00:00Z,US,The Bronx,temperature,48,-1.3,6.6,2.7,38.36
2021-02-04T00:00:00Z,US,The Bronx,temperature,48,-0.3,6.0,2.7,38.78
2021-03-05T00:00:00Z,US,The Bronx,temperature,48,-4.5,3.0,-0.2,69.27
2021-03-14T00:00:00Z,US,The Bronx,temperature,61,-0.1,11.0,7.0,95.02
2021-01-21T00:00:00Z,US,The Bronx,temperature,48,-3.6,7.0,1.3,114.96
2021-02-02T00:00:00Z,US,The Bronx,temperature,48,-1.6,1.6,0.0,5.51
2021-02-01T00:00:00Z,US,The Bronx,temperature,48,-4.4,1.0,-1.1,16.76
2021-02-12T00:00:00Z,US,The Bronx,temperature,48,-7.2,-1.0,-3.0,30.45
2021-02-16T00:00:00Z,US,The Bronx,temperature,47,0.5,11.6,4.2,96.07
2021-01-11T00:00:00Z,US,The Bronx,temperature,48,-2.2,3.0,0.0,27.75
2021-01-16T00:00:00Z,US,The Bronx,temperature,48,3.7,9.0,5.5,19.83
2021-02-10T00:00:00Z,US,The Bronx,temperature,48,-3.8,2.0,-1.1,31.64
2021-02-20T00:00:00Z,US,The Bronx,temperature,46,-2.3,2.0,-0.4,14.39
2021-02-22T00:00:00Z,US,The Bronx,temperature,48,0.0,4.0,1.0,13.72
