Date,Country,City,Specie,count,min,max,median,variance
2021-01-11T00:00:00Z,US,Los Angeles,dew,21,-6.0,6.0,0.0,132.90
2021-02-02T00:00:00Z,US,Los Angeles,dew,16,6.0,11.0,10.0,23.62
2021-01-10T00:00:00Z,US,Los Angeles,dew,21,-6.0,3.0,-2.0,91.33
2021-03-02T00:00:00Z,US,Los Angeles,dew,22,-14.0,8.0,-6.0,459.65
2021-03-13T00:00:00Z,US,Los Angeles,dew,21,4.0,9.0,6.0,26.22
2021-03-18T00:00:00Z,US,Los Angeles,dew,18,7.0,10.0,8.0,8.10
2021-03-21T00:00:00Z,US,Los Angeles,dew,23,-1.0,9.0,6.0,98.46
2021-03-22T00:00:00Z,US,Los Angeles,dew,20,4.0,9.0,7.0,18.00
2021-01-05T00:00:00Z,US,Los Angeles,dew,22,9.0,11.0,10.0,5.78
2021-03-01T00:00:00Z,US,Los Angeles,dew,24,-18.0,-4.0,-9.0,215.44
2021-03-06T00:00:00Z,US,Los Angeles,dew,23,8.0,10.0,9.0,4.58
2021-01-03T00:00:00Z,US,Los Angeles,dew,17,8.0,11.0,9.0,8.90
2021-01-04T00:00:00Z,US,Los Angeles,dew,19,7.0,12.0,10.0,28.12
2021-01-21T00:00:00Z,US,Los Angeles,dew,21,4.0,12.0,9.0,66.33
2021-01-24T00:00:00Z,US,Los Angeles,dew,22,5.0,9.0,7.0,9.10
2021-02-06T00:00:00Z,US,Los Angeles,dew,21,6.0,11.0,7.0,27.62
2021-02-07T00:00:00Z,US,Los Angeles,dew,22,6.0,11.0,10.0,17.93
2021-02-08T00:00:00Z,US,Los Angeles,dew,19,8.0,10.5,9.0,4.82
2021-02-10T00:00:00Z,US,Los Angeles,dew,17,8.0,10.0,9.0,4.82
2020-12-28T00:00:00Z,US,Los Angeles,dew,20,6.0,9.0,8.0,7.50
2021-02-26T00:00:00Z,US,Los Angeles,dew,24,-6.0,5.0,-1.0,140.00
2021-01-27T00:00:00Z,US,Los Angeles,dew,15,1.0,7.0,4.0,38.86
2021-02-09T00:00:00Z,US,Los Angeles,dew,9,8.0,9.0,9.0,2.78
2021-02-11T00:00:00Z,US,Los Angeles,dew,16,7.0,11.0,10.0,20.16
2021-02-25T00:00:00Z,US,Los Angeles,dew,23,-15.0,11.0,6.0,885.31
2021-03-10T00:00:00Z,US,Los Angeles,dew,23,4.0,9.0,6.0,23.36
2021-01-19T00:00:00Z,US,Los Angeles,dew,20,-9.0,10.0,-1.0,444.50
2021-01-13T00:00:00Z,US,Los Angeles,dew,19,-5.0,8.0,3.0,178.42
2021-02-01T00:00:00Z,US,Los Angeles,dew,22,3.0,9.0,6.0,35.69
2021-02-04T00:00:00Z,US,Los Angeles,dew,18,7.0,11.0,9.0,12.94
2021-03-16T00:00:00Z,US,Los Angeles,dew,23,-2.0,4.0,1.0,39.96
2021-03-19T00:00:00Z,US,Los Angeles,dew,16,7.0,12.0,9.0,31.29
2021-01-12T00:00:00Z,US,Los Angeles,dew,23,-3.0,8.0,2.0,95.85
2021-01-07T00:00:00Z,US,Los Angeles,dew,23,7.0,12.0,9.0,16.48
2021-01-08T00:00:00Z,US,Los Angeles,dew,23,8.0,12.0,10.0,10.87
2021-01-16T00:00:00Z,US,Los Angeles,dew,19,-4.0,5.0,2.0,65.38
2021-01-20T00:00:00Z,US,Los Angeles,dew,18,-1.0,4.0,2.0,22.22
2021-02-05T00:00:00Z,US,Los Angeles,dew,20,1.0,8.0,7.0,43.66
2021-02-13T00:00:00Z,US,Los Angeles,dew,21,0.0,11.0,9.0,83.57
2020-12-31T00:00:00Z,US,Los Angeles,dew,19,-1.0,6.0,2.0,39.18
2021-01-28T00:00:00Z,US,Los Angeles,dew,16,3.0,9.0,4.0,44.96
2021-02-03T00:00:00Z,US,Los Angeles,dew,24,8.0,13.0,11.0,14.54
2021-02-21T00:00:00Z,US,Los Angeles,dew,24,-10.0,7.0,-1.0,312.39
2021-03-04T00:00:00Z,US,Los Angeles,dew,18,4.0,9.0,7.0,19.12
2021-03-20T00:00:00Z,US,Los Angeles,dew,20,4.0,12.0,8.0,73.35
2020-12-29T00:00:00Z,US,Los Angeles,dew,20,4.0,7.0,5.0,9.05
2021-02-12T00:00:00Z,US,Los Angeles,dew,21,2.0,12.2,9.0,109.18
2021-02-23T00:00:00Z,US,Los Angeles,dew,21,-3.0,11.5,5.0,132.98
2021-02-24T00:00:00Z,US,Los Angeles,dew,22,6.0,12.0,9.0,28.65
2021-03-03T00:00:00Z,US,Los Angeles,dew,18,4.0,8.6,6.0,17.86
2021-03-17T00:00:00Z,US,Los Angeles,dew,20,3.0,8.0,5.0,25.79
2021-01-01T00:00:00Z,US,Los Angeles,dew,22,-4.0,8.0,3.0,161.32
2021-02-14T00:00:00Z,US,Los Angeles,dew,24,-5.0,6.0,0.0,64.93
2021-02-16T00:00:00Z,US,Los Angeles,dew,20,-6.0,12.0,8.0,215.21
2021-02-20T00:00:00Z,US,Los Angeles,dew,22,-7.0,8.0,0.0,206.35
2021-03-07T00:00:00Z,US,Los Angeles,dew,21,8.0,11.0,9.0,6.07
2021-03-12T00:00:00Z,US,Los Angeles,dew,21,1.0,6.0,4.0,18.48
2021-01-14T00:00:00Z,US,Los Angeles,dew,23,1.0,11.0,6.0,66.05
2021-02-19T00:00:00Z,US,Los Angeles,dew,23,-6.0,6.0,2.0,98.77
2021-02-15T00:00:00Z,US,Los Angeles,dew,23,1.0,12.0,8.0,110.68
2021-02-17T00:00:00Z,US,Los Angeles,dew,23,-1.0,8.0,7.0,65.65
2021-02-27T00:00:00Z,US,Los Angeles,dew,22,-3.0,11.0,7.0,119.16
2021-03-05T00:00:00Z,US,Los Angeles,dew,24,1.0,9.0,7.0,39.35
2021-01-23T00:00:00Z,US,Los Angeles,dew,11,6.0,8.0,7.0,6.00
2021-01-02T00:00:00Z,US,Los Angeles,dew,21,1.3,11.0,8.0,141.12
2021-01-09T00:00:00Z,US,Los Angeles,dew,24,2.0,12.0,7.0,62.16
2021-01-22T00:00:00Z,US,Los Angeles,dew,24,6.0,12.0,9.0,24.59
2021-01-26T00:00:00Z,US,Los Angeles,dew,22,-5.0,2.0,-1.0,42.19
2021-01-30T00:00:00Z,US,Los Angeles,dew,19,3.0,8.0,7.0,17.84
2021-03-11T00:00:00Z,US,Los Angeles,dew,18,3.0,7.0,6.0,21.25
2020-12-30T00:00:00Z,US,Los Angeles,dew,24,-6.0,5.0,2.0,93.62
2021-01-18T00:00:00Z,US,Los Angeles,dew,24,2.0,12.0,7.0,126.77
2021-02-18T00:00:00Z,US,Los Angeles,dew,24,-12.0,6.0,-8.0,351.52
2021-02-22T00:00:00Z,US,Los Angeles,dew,23,-10.0,5.0,-2.0,214.31
2021-02-28T00:00:00Z,US,Los Angeles,dew,22,-16.0,7.0,-12.0,581.65
2021-03-15T00:00:00Z,US,Los Angeles,dew,23,1.0,10.5,4.0,101.95
2021-03-23T00:00:00Z,US,Los Angeles,dew,10,7.0,9.5,8.0,7.36
2021-01-06T00:00:00Z,US,Los Angeles,dew,21,6.0,12.0,9.0,31.08
2021-01-29T00:00:00Z,US,Los Angeles,dew,22,6.0,10.8,8.0,21.27
2021-03-08T00:00:00Z,US,Los Angeles,dew,20,3.0,11.0,8.0,63.71
2021-01-15T00:00:00Z,US,Los Angeles,dew,23,-7.0,6.0,3.0,151.58
2021-01-25T00:00:00Z,US,Los Angeles,dew,23,-1.0,8.0,2.0,62.93
2021-01-31T00:00:00Z,US,Los Angeles,dew,24,1.0,8.0,4.0,36.07
2021-03-09T00:00:00Z,US,Los Angeles,dew,22,-1.0,8.0,6.0,47.19
2021-03-14T00:00:00Z,US,Los Angeles,dew,19,7.0,9.0,8.0,3.49
2021-01-17T00:00:00Z,US,Los Angeles,dew,24,-6.0,9.0,1.0,181.96
2021-01-05T00:00:00Z,US,Los Angeles,humidity,95,58.3,94.8,90.4,1015.56
2021-01-10T00:00:00Z,US,Los Angeles,humidity,72,15.0,75.8,34.8,2623.97
2021-02-01T00:00:00Z,US,Los Angeles,humidity,84,29.0,75.6,53.9,1129.69
2021-02-05T00:00:00Z,US,Los Angeles,humidity,72,26.0,95.0,71.0,4204.94
2021-02-18T00:00:00Z,US,Los Angeles,humidity,62,11.0,78.3,30.0,3545.67
2021-01-01T00:00:00Z,US,Los Angeles,humidity,72,18.0,88.4,47.4,4647.98
2021-02-20T00:00:00Z,US,Los Angeles,humidity,66,13.5,80.8,42.0,4464.75
2021-02-21T00:00:00Z,US,Los Angeles,humidity,70,9.0,78.7,36.7,3926.05
2021-03-11T00:00:00Z,US,Los Angeles,humidity,93,49.0,95.2,71.1,2038.97
2021-03-18T00:00:00Z,US,Los Angeles,humidity,71,44.4,93.0,73.2,1975.40
2021-01-07T00:00:00Z,US,Los Angeles,humidity,96,21.4,100.0,76.0,4441.18
2021-02-03T00:00:00Z,US,Los Angeles,humidity,72,48.1,100.0,82.0,1993.35
2021-02-08T00:00:00Z,US,Los Angeles,humidity,72,49.0,94.5,81.0,1102.58
2021-01-08T00:00:00Z,US,Los Angeles,humidity,96,27.7,100.0,86.0,4897.40
2021-01-19T00:00:00Z,US,Los Angeles,humidity,96,13.0,86.8,40.3,7056.69
2021-03-01T00:00:00Z,US,Los Angeles,humidity,70,4.1,35.5,22.0,908.15
2021-01-30T00:00:00Z,US,Los Angeles,humidity,95,39.0,96.0,81.0,2903.22
2021-02-10T00:00:00Z,US,Los Angeles,humidity,90,55.0,90.4,78.0,935.44
2021-02-14T00:00:00Z,US,Los Angeles,humidity,77,15.1,54.0,36.0,760.24
