Date,Country,City,Specie,count,min,max,median,variance
2021-01-29T00:00:00Z,US,Miami,pressure,96,1021.3,1024.7,1022.7,5.78
2021-02-12T00:00:00Z,US,Miami,pressure,96,1013.1,1017.0,1014.8,9.90
2021-03-21T00:00:00Z,US,Miami,pressure,96,1014.8,1018.2,1016.6,7.74
2021-03-16T00:00:00Z,US,Miami,pressure,96,1017.5,1021.1,1018.4,9.00
2021-01-03T00:00:00Z,US,Miami,pressure,96,1015.9,1020.3,1017.5,13.10
2021-01-04T00:00:00Z,US,Miami,pressure,96,1015.3,1018.9,1016.5,8.23
2021-01-09T00:00:00Z,US,Miami,pressure,95,1016.4,1022.3,1018.9,27.88
2021-01-12T00:00:00Z,US,Miami,pressure,92,1019.1,1023.7,1020.9,12.99
2021-01-17T00:00:00Z,US,Miami,pressure,96,1016.2,1019.6,1017.6,6.92
2021-01-23T00:00:00Z,US,Miami,pressure,96,1016.3,1019.6,1017.9,9.67
2021-01-30T00:00:00Z,US,Miami,pressure,96,1020.6,1023.9,1021.9,4.78
2021-03-19T00:00:00Z,US,Miami,pressure,96,1013.7,1018.2,1015.0,16.43
2021-03-05T00:00:00Z,US,Miami,pressure,96,1013.1,1016.2,1014.4,6.02
2021-01-02T00:00:00Z,US,Miami,pressure,96,1019.0,1021.8,1020.0,3.98
2021-01-13T00:00:00Z,US,Miami,pressure,96,1016.7,1021.3,1018.3,18.18
2021-01-21T00:00:00Z,US,Miami,pressure,96,1017.0,1022.2,1018.9,27.10
2021-01-31T00:00:00Z,US,Miami,pressure,96,1014.5,1020.9,1018.6,36.83
2021-02-09T00:00:00Z,US,Miami,pressure,96,1018.6,1021.6,1019.8,4.42
2021-02-14T00:00:00Z,US,Miami,pressure,96,1012.9,1016.5,1014.4,9.67
2021-03-01T00:00:00Z,US,Miami,pressure,96,1016.4,1020.3,1018.2,9.96
2021-01-25T00:00:00Z,US,Miami,pressure,96,1016.2,1019.0,1017.5,5.00
2021-02-07T00:00:00Z,US,Miami,pressure,96,1012.3,1017.6,1014.3,22.40
2021-03-15T00:00:00Z,US,Miami,pressure,96,1017.8,1021.1,1019.4,6.24
2021-03-17T00:00:00Z,US,Miami,pressure,96,1015.6,1019.8,1017.4,11.42
2021-01-11T00:00:00Z,US,Miami,pressure,92,1019.7,1023.7,1021.3,8.29
2021-01-16T00:00:00Z,US,Miami,pressure,96,1011.8,1017.6,1015.5,25.94
2020-12-29T00:00:00Z,US,Miami,pressure,96,1021.7,1025.5,1022.8,8.30
2021-01-06T00:00:00Z,US,Miami,pressure,94,1016.9,1020.9,1017.9,8.22
2021-01-24T00:00:00Z,US,Miami,pressure,96,1017.6,1020.9,1018.8,7.76
2021-02-08T00:00:00Z,US,Miami,pressure,96,1016.4,1020.9,1018.7,17.76
2021-03-06T00:00:00Z,US,Miami,pressure,96,1010.1,1015.7,1013.8,16.01
2021-03-07T00:00:00Z,US,Miami,pressure,95,1013.6,1025.0,1019.3,120.15
2021-02-11T00:00:00Z,US,Miami,pressure,96,1015.1,1019.6,1017.1,15.09
2021-02-24T00:00:00Z,US,Miami,pressure,96,1018.0,1022.3,1019.8,12.62
2021-02-28T00:00:00Z,US,Miami,pressure,96,1019.1,1023.2,1020.7,13.62
2021-03-04T00:00:00Z,US,Miami,pressure,96,1012.8,1017.0,1014.8,11.11
2021-03-08T00:00:00Z,US,Miami,pressure,96,1024.3,1029.6,1027.4,21.79
2021-01-20T00:00:00Z,US,Miami,pressure,96,1021.7,1026.1,1023.3,15.89
2021-02-03T00:00:00Z,US,Miami,pressure,96,1016.0,1019.6,1017.6,10.21
2021-02-19T00:00:00Z,US,Miami,pressure,96,1015.7,1020.0,1017.8,14.77
2021-03-14T00:00:00Z,US,Miami,pressure,96,1017.7,1022.1,1019.6,11.48
2020-12-30T00:00:00Z,US,Miami,pressure,96,1018.9,1023.6,1020.3,15.00
2021-01-07T00:00:00Z,US,Miami,pressure,96,1014.5,1019.7,1016.5,21.96
2021-01-26T00:00:00Z,US,Miami,pressure,95,1015.7,1018.9,1016.9,7.46
2021-02-27T00:00:00Z,US,Miami,pressure,96,1019.9,1023.6,1021.7,9.46
2021-03-02T00:00:00Z,US,Miami,pressure,94,1014.8,1018.6,1016.9,14.07
2021-03-03T00:00:00Z,US,Miami,pressure,96,1011.6,1015.9,1014.0,12.22
2021-01-10T00:00:00Z,US,Miami,pressure,96,1020.8,1024.0,1022.2,6.45
2021-02-26T00:00:00Z,US,Miami,pressure,93,1018.8,1022.4,1020.3,8.05
2021-01-14T00:00:00Z,US,Miami,pressure,96,1014.4,1018.6,1015.5,12.60
2021-02-18T00:00:00Z,US,Miami,pressure,96,1016.9,1019.8,1018.1,4.92
2021-02-22T00:00:00Z,US,Miami,pressure,94,1018.5,1023.0,1020.7,18.79
2021-02-15T00:00:00Z,US,Miami,pressure,96,1014.0,1017.6,1015.9,6.61
2021-01-05T00:00:00Z,US,Miami,pressure,95,1015.7,1019.2,1017.2,9.38
2021-01-19T00:00:00Z,US,Miami,pressure,96,1022.4,1027.0,1025.4,17.70
2021-01-22T00:00:00Z,US,Miami,pressure,96,1015.2,1018.3,1016.8,7.12
2021-01-28T00:00:00Z,US,Miami,pressure,96,1017.0,1024.0,1021.2,51.39
2021-02-05T00:00:00Z,US,Miami,pressure,96,1013.6,1018.2,1015.8,13.99
2021-02-06T00:00:00Z,US,Miami,pressure,96,1013.1,1016.7,1014.3,8.28
2021-02-13T00:00:00Z,US,Miami,pressure,96,1011.8,1015.5,1013.9,9.40
2021-02-17T00:00:00Z,US,Miami,pressure,96,1016.1,1019.6,1017.6,8.15
2021-03-18T00:00:00Z,US,Miami,pressure,96,1014.2,1018.6,1016.2,15.24
2021-02-02T00:00:00Z,US,Miami,pressure,96,1011.9,1017.2,1014.2,21.36
2021-02-10T00:00:00Z,US,Miami,pressure,96,1018.1,1021.8,1019.3,8.87
2021-02-20T00:00:00Z,US,Miami,pressure,90,1018.5,1024.5,1021.5,25.61
