Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
01/01/2011,99,PM2.5,Burbank,06-037-1002,AQS
01/02/2011,64,PM2.5,Burbank,06-037-1002,AQS
01/03/2011,44,PM2.5,Burbank,06-037-1002,AQS
01/04/2011,52,NO2,Long Beach (hudson),06-037-4006,AQS
01/05/2011,58,PM2.5,Burbank,06-037-1002,AQS
01/06/2011,60,NO2,Compton,06-037-1302,AQS
01/07/2011,81,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/08/2011,93,PM2.5,Reseda,06-037-1201,AQS
01/09/2011,101,NO2,Pasadena,06-037-2005,AQS
01/10/2011,83,PM2.5,Long Beach (north),06-037-4002,AQS
01/11/2011,48,NO2,Long Beach (hudson),06-037-4006,AQS
01/12/2011,56,PM2.5,Anaheim,06-059-0007,AQS
01/13/2011,62,PM2.5,Anaheim,06-059-0007,AQS
01/14/2011,68,NO2,Lax Hastings,06-037-5005,AQS
01/15/2011,83,PM2.5,Compton,06-037-1302,AQS
01/16/2011,74,PM2.5,Long Beach (north),06-037-4002,AQS
01/17/2011,97,NO2,Lax Hastings,06-037-5005,AQS
01/18/2011,94,PM2.5,Anaheim,06-059-0007,AQS
01/19/2011,118,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/20/2011,80,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/21/2011,63,NO2,Long Beach (hudson),06-037-4006,AQS
01/22/2011,82,PM2.5,Reseda,06-037-1201,AQS
01/23/2011,71,PM2.5,Burbank,06-037-1002,AQS
01/24/2011,64,PM2.5,Compton,06-037-1302,AQS
01/25/2011,88,NO2,Long Beach (hudson),06-037-4006,AQS
01/26/2011,69,NO2,Long Beach (hudson),06-037-4006,AQS
01/27/2011,71,NO2,Long Beach (hudson),06-037-4006,AQS
01/28/2011,60,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/29/2011,75,PM2.5,Burbank,06-037-1002,AQS
01/30/2011,55,PM2.5,Glendora,06-037-0016,AQS
01/31/2011,53,PM2.5,Anaheim,06-059-0007,AQS
02/01/2011,66,PM2.5,Burbank,06-037-1002,AQS
02/02/2011,60,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/03/2011,56,NO2,Long Beach (hudson),06-037-4006,AQS
02/04/2011,69,PM2.5,Burbank,06-037-1002,AQS
02/05/2011,98,PM2.5,Long Beach (north),06-037-4002,AQS
02/06/2011,100,PM2.5,Anaheim,06-059-0007,AQS
02/07/2011,70,PM2.5,Long Beach (south),06-037-4004,AQS
02/08/2011,75,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/09/2011,57,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/10/2011,63,NO2,Lax Hastings,06-037-5005,AQS
02/11/2011,63,NO2,Long Beach (hudson),06-037-4006,AQS
02/12/2011,55,PM2.5,Anaheim,06-059-0007,AQS
02/13/2011,62,PM2.5,Burbank,06-037-1002,AQS
02/14/2011,77,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/15/2011,65,PM2.5,Burbank,06-037-1002,AQS
02/16/2011,44,Ozone,Lancaster-division Street,06-037-9033,AQS
02/17/2011,54,PM2.5,Reseda,06-037-1201,AQS
02/18/2011,55,PM2.5,Reseda,06-037-1201,AQS
02/19/2011,45,Ozone,Lancaster-division Street,06-037-9033,AQS
02/20/2011,59,PM2.5,Reseda,06-037-1201,AQS
02/21/2011,67,PM2.5,Reseda,06-037-1201,AQS
02/22/2011,67,PM2.5,Reseda,06-037-1201,AQS
02/23/2011,65,PM2.5,Reseda,06-037-1201,AQS
02/24/2011,62,PM2.5,Reseda,06-037-1201,AQS
02/25/2011,54,PM2.5,Reseda,06-037-1201,AQS
02/26/2011,52,PM2.5,Anaheim,06-059-0007,AQS
02/27/2011,53,PM2.5,Reseda,06-037-1201,AQS
02/28/2011,62,PM2.5,Reseda,06-037-1201,AQS
03/01/2011,62,PM2.5,Glendora,06-037-0016,AQS
03/02/2011,62,PM2.5,Burbank,06-037-1002,AQS
03/03/2011,64,PM2.5,Glendora,06-037-0016,AQS
03/04/2011,80,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/05/2011,53,PM2.5,Reseda,06-037-1201,AQS
03/06/2011,53,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/07/2011,77,Ozone,Lax Hastings,06-037-5005,AQS
03/08/2011,52,PM2.5,Anaheim,06-059-0007,AQS
03/09/2011,55,NO2,Anaheim,06-059-0007,AQS
03/10/2011,137,PM2.5,Lancaster-division Street,06-037-9033,AQS
03/11/2011,63,PM2.5,Burbank,06-037-1002,AQS
03/12/2011,69,PM2.5,Reseda,06-037-1201,AQS
03/13/2011,75,PM2.5,Reseda,06-037-1201,AQS
03/14/2011,67,PM2.5,Burbank,06-037-1002,AQS
03/15/2011,58,PM2.5,Burbank,06-037-1002,AQS
03/16/2011,64,PM2.5,Reseda,06-037-1201,AQS
03/17/2011,63,PM2.5,Glendora,06-037-0016,AQS
03/18/2011,60,PM2.5,Glendora,06-037-0016,AQS
03/19/2011,58,Ozone,Lax Hastings,06-037-5005,AQS
03/20/2011,55,PM2.5,Santa Clarita,06-037-6012,AQS
03/21/2011,52,NO2,Pomona,06-037-1701,AQS
03/22/2011,55,PM2.5,Reseda,06-037-1201,AQS
03/23/2011,60,PM2.5,Reseda,06-037-1201,AQS
03/24/2011,60,PM2.5,Reseda,06-037-1201,AQS
03/25/2011,51,Ozone,Lax Hastings,06-037-5005,AQS
03/26/2011,61,NO2,Pomona,06-037-1701,AQS
03/27/2011,49,Ozone,Lax Hastings,06-037-5005,AQS
03/28/2011,56,PM2.5,Reseda,06-037-1201,AQS
03/29/2011,63,PM2.5,Anaheim,06-059-0007,AQS
03/30/2011,62,PM2.5,Anaheim,06-059-0007,AQS
03/31/2011,66,NO2,Lax Hastings,06-037-5005,AQS
04/01/2011,101,Ozone,Lancaster-division Street,06-037-9033,AQS
04/02/2011,76,PM2.5,Reseda,06-037-1201,AQS
04/03/2011,56,PM2.5,Reseda,06-037-1201,AQS
04/04/2011,64,Ozone,Reseda,06-037-1201,AQS
04/05/2011,80,Ozone,Lancaster-division Street,06-037-9033,AQS
04/06/2011,84,PM2.5,Reseda,06-037-1201,AQS
04/07/2011,60,PM2.5,Reseda,06-037-1201,AQS
04/08/2011,50,Ozone,Reseda,06-037-1201,AQS
04/09/2011,61,Ozone,Lancaster-division Street,06-037-9033,AQS
04/10/2011,74,Ozone,Lancaster-division Street,06-037-9033,AQS
04/11/2011,74,Ozone,Lancaster-division Street,06-037-9033,AQS
04/12/2011,77,Ozone,Lancaster-division Street,06-037-9033,AQS
04/13/2011,60,PM2.5,Glendora,06-037-0016,AQS
04/14/2011,97,Ozone,Lancaster-division Street,06-037-9033,AQS
04/15/2011,90,Ozone,Mission Viejo,06-059-2022,AQS
04/16/2011,143,Ozone,Mission Viejo,06-059-2022,AQS
04/17/2011,77,Ozone,Glendora,06-037-0016,AQS
04/18/2011,67,PM2.5,Reseda,06-037-1201,AQS
04/19/2011,67,PM2.5,Reseda,06-037-1201,AQS
04/20/2011,62,PM2.5,Reseda,06-037-1201,AQS
04/21/2011,55,PM2.5,Glendora,06-037-0016,AQS
04/22/2011,61,Ozone,Lancaster-division Street,06-037-9033,AQS
04/23/2011,61,PM2.5,Burbank,06-037-1002,AQS
04/24/2011,45,PM2.5,Glendora,06-037-0016,AQS
04/25/2011,51,PM2.5,Glendora,06-037-0016,AQS
04/26/2011,71,Ozone,Reseda,06-037-1201,AQS
04/27/2011,87,Ozone,Reseda,06-037-1201,AQS
04/28/2011,64,Ozone,Lancaster-division Street,06-037-9033,AQS
04/29/2011,80,Ozone,Lancaster-division Street,06-037-9033,AQS
04/30/2011,77,Ozone,Pico Rivera #2,06-037-1602,AQS
05/01/2011,71,Ozone,Anaheim,06-059-0007,AQS
05/02/2011,71,Ozone,Reseda,06-037-1201,AQS
05/03/2011,105,Ozone,Reseda,06-037-1201,AQS
05/04/2011,164,Ozone,Reseda,06-037-1201,AQS
05/05/2011,187,Ozone,Lancaster-division Street,06-037-9033,AQS
05/06/2011,161,Ozone,Lancaster-division Street,06-037-9033,AQS
05/07/2011,119,Ozone,Lancaster-division Street,06-037-9033,AQS
05/08/2011,54,Ozone,Lancaster-division Street,06-037-9033,AQS
05/09/2011,64,Ozone,Lancaster-division Street,06-037-9033,AQS
05/10/2011,64,Ozone,Lancaster-division Street,06-037-9033,AQS
05/11/2011,87,Ozone,Lancaster-division Street,06-037-9033,AQS
05/12/2011,133,Ozone,Lancaster-division Street,06-037-9033,AQS
05/13/2011,133,Ozone,Lancaster-division Street,06-037-9033,AQS
05/14/2011,68,PM2.5,Reseda,06-037-1201,AQS
05/15/2011,54,Ozone,Lancaster-division Street,06-037-9033,AQS
05/16/2011,48,PM2.5,Reseda,06-037-1201,AQS
05/17/2011,67,Ozone,Lancaster-division Street,06-037-9033,AQS
05/18/2011,51,PM2.5,Reseda,06-037-1201,AQS
05/19/2011,58,PM2.5,Reseda,06-037-1201,AQS
05/20/2011,80,Ozone,Lancaster-division Street,06-037-9033,AQS
05/21/2011,129,Ozone,Lancaster-division Street,06-037-9033,AQS
05/22/2011,77,Ozone,Lancaster-division Street,06-037-9033,AQS
05/23/2011,64,PM2.5,Reseda,06-037-1201,AQS
05/24/2011,100,Ozone,Lancaster-division Street,06-037-9033,AQS
05/25/2011,100,Ozone,Lancaster-division Street,06-037-9033,AQS
05/26/2011,61,Ozone,Lancaster-division Street,06-037-9033,AQS
05/27/2011,77,Ozone,Santa Clarita,06-037-6012,AQS
05/28/2011,74,Ozone,Santa Clarita,06-037-6012,AQS
05/29/2011,48,Ozone,Glendora,06-037-0016,AQS
05/30/2011,71,Ozone,Glendora,06-037-0016,AQS
05/31/2011,112,Ozone,Lancaster-division Street,06-037-9033,AQS
06/01/2011,58,Ozone,Lancaster-division Street,06-037-9033,AQS
06/02/2011,51,Ozone,Reseda,06-037-1201,AQS
06/03/2011,84,Ozone,Lancaster-division Street,06-037-9033,AQS
06/04/2011,67,Ozone,Glendora,06-037-0016,AQS
06/05/2011,55,PM2.5,Glendora,06-037-0016,AQS
06/06/2011,47,PM2.5,Reseda,06-037-1201,AQS
06/07/2011,58,Ozone,Lancaster-division Street,06-037-9033,AQS
06/08/2011,70,PM2.5,Reseda,06-037-1201,AQS
06/09/2011,87,Ozone,Lancaster-division Street,06-037-9033,AQS
06/10/2011,90,Ozone,Lancaster-division Street,06-037-9033,AQS
06/11/2011,90,Ozone,Lancaster-division Street,06-037-9033,AQS
06/12/2011,80,Ozone,Glendora,06-037-0016,AQS
06/13/2011,93,Ozone,Lancaster-division Street,06-037-9033,AQS
06/14/2011,154,Ozone,Santa Clarita,06-037-6012,AQS
06/15/2011,122,Ozone,Lancaster-division Street,06-037-9033,AQS
06/16/2011,80,Ozone,Lancaster-division Street,06-037-9033,AQS
06/17/2011,84,Ozone,Lancaster-division Street,06-037-9033,AQS
06/18/2011,100,Ozone,Santa Clarita,06-037-6012,AQS
06/19/2011,80,Ozone,Santa Clarita,06-037-6012,AQS
06/20/2011,143,Ozone,Santa Clarita,06-037-6012,AQS
06/21/2011,174,Ozone,Reseda,06-037-1201,AQS
06/22/2011,147,Ozone,Reseda,06-037-1201,AQS
06/23/2011,115,Ozone,Lancaster-division Street,06-037-9033,AQS
06/24/2011,96,PM2.5,Reseda,06-037-1201,AQS
06/25/2011,151,Ozone,Glendora,06-037-0016,AQS
06/26/2011,174,Ozone,Glendora,06-037-0016,AQS
06/27/2011,140,Ozone,Reseda,06-037-1201,AQS
06/28/2011,93,Ozone,Lancaster-division Street,06-037-9033,AQS
