Date,Nitrogen Dioxide AQI Value,Site Name,Site ID,Source
01/01/2011,40,Compton,06-037-1302,AQS
01/02/2011,41,Long Beach (hudson),06-037-4006,AQS
01/03/2011,37,Long Beach (hudson),06-037-4006,AQS
01/04/2011,52,Long Beach (hudson),06-037-4006,AQS
01/05/2011,51,Long Beach (hudson),06-037-4006,AQS
01/06/2011,60,Compton,06-037-1302,AQS
01/07/2011,47,Lax Hastings,06-037-5005,AQS
01/08/2011,32,Compton,06-037-1302,AQS
01/09/2011,101,Pasadena,06-037-2005,AQS
01/10/2011,56,Long Beach (hudson),06-037-4006,AQS
01/11/2011,48,Long Beach (hudson),06-037-4006,AQS
01/12/2011,45,Compton,06-037-1302,AQS
01/13/2011,57,Costa Mesa,06-059-1003,AQS
01/14/2011,68,Lax Hastings,06-037-5005,AQS
01/15/2011,62,Long Beach (hudson),06-037-4006,AQS
01/16/2011,70,Pico Rivera #2,06-037-1602,AQS
01/17/2011,97,Lax Hastings,06-037-5005,AQS
01/18/2011,80,West Los Angeles,06-037-0113,AQS
01/19/2011,73,Compton,06-037-1302,AQS
01/20/2011,66,Long Beach (hudson),06-037-4006,AQS
01/21/2011,63,Long Beach (hudson),06-037-4006,AQS
01/22/2011,48,Reseda,06-037-1201,AQS
01/23/2011,54,Lax Hastings,06-037-5005,AQS
01/24/2011,55,Long Beach (hudson),06-037-4006,AQS
01/25/2011,88,Long Beach (hudson),06-037-4006,AQS
01/26/2011,69,Long Beach (hudson),06-037-4006,AQS
01/27/2011,71,Long Beach (hudson),06-037-4006,AQS
01/28/2011,53,Long Beach (hudson),06-037-4006,AQS
01/29/2011,51,Lax Hastings,06-037-5005,AQS
01/30/2011,27,Compton,06-037-1302,AQS
01/31/2011,44,Lax Hastings,06-037-5005,AQS
02/01/2011,45,Pomona,06-037-1701,AQS
02/02/2011,53,Long Beach (hudson),06-037-4006,AQS
02/03/2011,56,Long Beach (hudson),06-037-4006,AQS
02/04/2011,47,Long Beach (hudson),06-037-4006,AQS
02/05/2011,60,Los Angeles-north Main Street,06-037-1103,AQS
02/06/2011,61,Lax Hastings,06-037-5005,AQS
02/07/2011,58,Compton,06-037-1302,AQS
02/08/2011,44,Lax Hastings,06-037-5005,AQS
02/09/2011,47,Lax Hastings,06-037-5005,AQS
02/10/2011,63,Lax Hastings,06-037-5005,AQS
02/11/2011,63,Long Beach (hudson),06-037-4006,AQS
02/12/2011,49,Pomona,06-037-1701,AQS
02/13/2011,44,Long Beach (north),06-037-4002,AQS
02/14/2011,42,Pomona,06-037-1701,AQS
02/15/2011,41,Los Angeles-north Main Street,06-037-1103,AQS
02/16/2011,33,Los Angeles-north Main Street,06-037-1103,AQS
02/17/2011,45,Long Beach (north),06-037-4002,AQS
02/18/2011,41,Long Beach (hudson),06-037-4006,AQS
02/19/2011,35,West Los Angeles,06-037-0113,AQS
02/20/2011,41,Long Beach (north),06-037-4002,AQS
02/21/2011,43,Long Beach (hudson),06-037-4006,AQS
02/22/2011,41,Pomona,06-037-1701,AQS
02/23/2011,43,Long Beach (hudson),06-037-4006,AQS
02/24/2011,40,Compton,06-037-1302,AQS
02/25/2011,43,Pomona,06-037-1701,AQS
02/26/2011,33,Compton,06-037-1302,AQS
02/27/2011,42,Anaheim,06-059-0007,AQS
02/28/2011,49,Pomona,06-037-1701,AQS
03/01/2011,47,Compton,06-037-1302,AQS
03/02/2011,47,Glendora,06-037-0016,AQS
03/03/2011,37,Long Beach (north),06-037-4002,AQS
03/04/2011,52,Burbank,06-037-1002,AQS
03/05/2011,47,Long Beach (north),06-037-4002,AQS
03/06/2011,38,Burbank,06-037-1002,AQS
03/07/2011,31,Pomona,06-037-1701,AQS
03/08/2011,50,Anaheim,06-059-0007,AQS
03/09/2011,55,Anaheim,06-059-0007,AQS
03/10/2011,64,Long Beach (hudson),06-037-4006,AQS
03/11/2011,43,Pomona,06-037-1701,AQS
03/12/2011,34,Burbank,06-037-1002,AQS
03/13/2011,35,Pomona,06-037-1701,AQS
03/14/2011,56,Los Angeles-north Main Street,06-037-1103,AQS
03/15/2011,44,Pomona,06-037-1701,AQS
03/16/2011,38,Burbank,06-037-1002,AQS
03/17/2011,48,Los Angeles-north Main Street,06-037-1103,AQS
03/18/2011,42,Pomona,06-037-1701,AQS
03/19/2011,28,Pomona,06-037-1701,AQS
03/20/2011,25,Lax Hastings,06-037-5005,AQS
03/21/2011,52,Pomona,06-037-1701,AQS
03/22/2011,42,Long Beach (hudson),06-037-4006,AQS
03/23/2011,37,Long Beach (north),06-037-4002,AQS
03/24/2011,38,Long Beach (hudson),06-037-4006,AQS
03/25/2011,35,Los Angeles-north Main Street,06-037-1103,AQS
03/26/2011,61,Pomona,06-037-1701,AQS
03/27/2011,33,Pomona,06-037-1701,AQS
03/28/2011,34,Lax Hastings,06-037-5005,AQS
03/29/2011,46,Los Angeles-north Main Street,06-037-1103,AQS
03/30/2011,57,Los Angeles-north Main Street,06-037-1103,AQS
03/31/2011,66,Lax Hastings,06-037-5005,AQS
04/01/2011,63,West Los Angeles,06-037-0113,AQS
04/02/2011,31,Pomona,06-037-1701,AQS
04/03/2011,30,Pomona,06-037-1701,AQS
04/04/2011,44,Pomona,06-037-1701,AQS
04/05/2011,46,Pasadena,06-037-2005,AQS
04/06/2011,35,Compton,06-037-1302,AQS
04/07/2011,27,Santa Clarita,06-037-6012,AQS
04/08/2011,39,Pico Rivera #2,06-037-1602,AQS
04/09/2011,38,Long Beach (hudson),06-037-4006,AQS
04/10/2011,39,Lax Hastings,06-037-5005,AQS
04/11/2011,44,Los Angeles-north Main Street,06-037-1103,AQS
04/12/2011,41,Burbank,06-037-1002,AQS
04/13/2011,30,Pomona,06-037-1701,AQS
04/14/2011,54,Pomona,06-037-1701,AQS
04/15/2011,60,Pomona,06-037-1701,AQS
04/16/2011,53,Long Beach (hudson),06-037-4006,AQS
04/17/2011,36,Pomona,06-037-1701,AQS
04/18/2011,26,Burbank,06-037-1002,AQS
04/19/2011,28,Los Angeles-north Main Street,06-037-1103,AQS
04/20/2011,36,Pomona,06-037-1701,AQS
04/21/2011,33,Burbank,06-037-1002,AQS
04/22/2011,27,Long Beach (hudson),06-037-4006,AQS
04/23/2011,28,Pomona,06-037-1701,AQS
04/24/2011,20,Pomona,06-037-1701,AQS
04/25/2011,29,Pico Rivera #2,06-037-1602,AQS
04/26/2011,44,Los Angeles-north Main Street,06-037-1103,AQS
04/27/2011,60,Azusa,06-037-0002,AQS
04/28/2011,61,Los Angeles-north Main Street,06-037-1103,AQS
04/29/2011,43,Burbank,06-037-1002,AQS
04/30/2011,46,Compton,06-037-1302,AQS
05/01/2011,42,Long Beach (hudson),06-037-4006,AQS
05/02/2011,56,Pico Rivera #2,06-037-1602,AQS
05/03/2011,57,Pico Rivera #2,06-037-1602,AQS
05/04/2011,65,Pico Rivera #2,06-037-1602,AQS
05/05/2011,58,Los Angeles-north Main Street,06-037-1103,AQS
05/06/2011,33,Burbank,06-037-1002,AQS
05/07/2011,33,Santa Clarita,06-037-6012,AQS
05/08/2011,15,Long Beach (hudson),06-037-4006,AQS
05/09/2011,29,Pico Rivera #2,06-037-1602,AQS
05/10/2011,30,Pomona,06-037-1701,AQS
05/11/2011,34,Pomona,06-037-1701,AQS
05/12/2011,44,Pomona,06-037-1701,AQS
05/13/2011,41,Lancaster-division Street,06-037-9033,AQS
05/14/2011,17,Los Angeles-north Main Street,06-037-1103,AQS
05/15/2011,23,Pomona,06-037-1701,AQS
05/16/2011,29,Pico Rivera #2,06-037-1602,AQS
05/17/2011,19,Long Beach (north),06-037-4002,AQS
05/18/2011,29,Burbank,06-037-1002,AQS
05/19/2011,30,Santa Clarita,06-037-6012,AQS
05/20/2011,37,Pomona,06-037-1701,AQS
05/21/2011,37,Pomona,06-037-1701,AQS
05/22/2011,25,Los Angeles-north Main Street,06-037-1103,AQS
05/23/2011,29,Pico Rivera #2,06-037-1602,AQS
05/24/2011,37,Pico Rivera #2,06-037-1602,AQS
05/25/2011,40,Long Beach (north),06-037-4002,AQS
05/26/2011,32,Pomona,06-037-1701,AQS
05/27/2011,39,Pomona,06-037-1701,AQS
05/28/2011,25,West Los Angeles,06-037-0113,AQS
05/29/2011,17,Pico Rivera #2,06-037-1602,AQS
05/30/2011,32,Los Angeles-north Main Street,06-037-1103,AQS
05/31/2011,43,Lancaster-division Street,06-037-9033,AQS
06/01/2011,35,Pomona,06-037-1701,AQS
06/02/2011,42,Lax Hastings,06-037-5005,AQS
06/03/2011,38,West Los Angeles,06-037-0113,AQS
06/04/2011,24,Pico Rivera #2,06-037-1602,AQS
06/05/2011,25,Los Angeles-north Main Street,06-037-1103,AQS
06/06/2011,41,Pomona,06-037-1701,AQS
06/07/2011,28,Los Angeles-north Main Street,06-037-1103,AQS
06/08/2011,22,Los Angeles-north Main Street,06-037-1103,AQS
06/09/2011,34,Lancaster-division Street,06-037-9033,AQS
06/10/2011,27,Long Beach (north),06-037-4002,AQS
06/11/2011,20,Los Angeles-north Main Street,06-037-1103,AQS
06/12/2011,25,West Los Angeles,06-037-0113,AQS
06/13/2011,29,West Los Angeles,06-037-0113,AQS
06/14/2011,41,Los Angeles-north Main Street,06-037-1103,AQS
06/15/2011,31,Lancaster-division Street,06-037-9033,AQS
06/16/2011,32,Santa Clarita,06-037-6012,AQS
06/17/2011,29,Pomona,06-037-1701,AQS
06/18/2011,21,Pomona,06-037-1701,AQS
06/19/2011,24,Pico Rivera #2,06-037-1602,AQS
06/20/2011,41,Los Angeles-north Main Street,06-037-1103,AQS
06/21/2011,37,Lancaster-division Street,06-037-9033,AQS
06/22/2011,36,Burbank,06-037-1002,AQS
