Date,PM10 AQI Value,Site Name,Site ID,Source
01/01/2011,35,Long Beach (north),06-037-4002,AQS
01/02/2011,17,Long Beach (north),06-037-4002,AQS
01/03/2011,15,Los Angeles-north Main Street,06-037-1103,AQS
01/04/2011,20,Los Angeles-north Main Street,06-037-1103,AQS
01/05/2011,23,Los Angeles-north Main Street,06-037-1103,AQS
01/06/2011,31,Long Beach (north),06-037-4002,AQS
01/07/2011,32,Los Angeles-north Main Street,06-037-1103,AQS
01/08/2011,30,Long Beach (north),06-037-4002,AQS
01/09/2011,33,Glendora,06-037-0016,AQS
01/10/2011,42,Long Beach (north),06-037-4002,AQS
01/11/2011,24,Long Beach (north),06-037-4002,AQS
01/12/2011,29,Anaheim,06-059-0007,AQS
01/13/2011,34,Anaheim,06-059-0007,AQS
01/14/2011,38,Anaheim,06-059-0007,AQS
01/15/2011,33,Long Beach (north),06-037-4002,AQS
01/16/2011,37,Long Beach (north),06-037-4002,AQS
01/17/2011,48,Long Beach (north),06-037-4002,AQS
01/18/2011,51,Anaheim,06-059-0007,AQS
01/19/2011,58,Los Angeles-north Main Street,06-037-1103,AQS
01/20/2011,42,Los Angeles-north Main Street,06-037-1103,AQS
01/21/2011,32,Long Beach (north),06-037-4002,AQS
01/22/2011,39,Los Angeles-north Main Street,06-037-1103,AQS
01/23/2011,49,Los Angeles-north Main Street,06-037-1103,AQS
01/24/2011,31,Long Beach (north),06-037-4002,AQS
01/25/2011,49,Los Angeles-north Main Street,06-037-1103,AQS
01/26/2011,44,Long Beach (north),06-037-4002,AQS
01/27/2011,38,Los Angeles-north Main Street,06-037-1103,AQS
01/28/2011,35,Los Angeles-north Main Street,06-037-1103,AQS
01/29/2011,33,Los Angeles-north Main Street,06-037-1103,AQS
01/30/2011,17,Glendora,06-037-0016,AQS
01/31/2011,28,Los Angeles-north Main Street,06-037-1103,AQS
02/01/2011,29,Anaheim,06-059-0007,AQS
02/02/2011,43,Long Beach (south),06-037-4004,AQS
02/03/2011,35,Long Beach (north),06-037-4002,AQS
02/04/2011,43,Long Beach (north),06-037-4002,AQS
02/05/2011,53,Long Beach (north),06-037-4002,AQS
02/06/2011,44,Anaheim,06-059-0007,AQS
02/07/2011,36,Long Beach (north),06-037-4002,AQS
02/08/2011,39,Los Angeles-north Main Street,06-037-1103,AQS
02/09/2011,52,Los Angeles-north Main Street,06-037-1103,AQS
02/10/2011,29,Los Angeles-north Main Street,06-037-1103,AQS
02/11/2011,38,Los Angeles-north Main Street,06-037-1103,AQS
02/12/2011,34,Los Angeles-north Main Street,06-037-1103,AQS
02/13/2011,36,Los Angeles-north Main Street,06-037-1103,AQS
02/14/2011,28,Los Angeles-north Main Street,06-037-1103,AQS
02/15/2011,20,Glendora,06-037-0016,AQS
02/16/2011,12,Los Angeles-north Main Street,06-037-1103,AQS
02/17/2011,21,Los Angeles-north Main Street,06-037-1103,AQS
02/18/2011,22,Los Angeles-north Main Street,06-037-1103,AQS
02/19/2011,13,Los Angeles-north Main Street,06-037-1103,AQS
02/20/2011,16,Los Angeles-north Main Street,06-037-1103,AQS
02/21/2011,22,Long Beach (north),06-037-4002,AQS
02/22/2011,22,Los Angeles-north Main Street,06-037-1103,AQS
02/23/2011,22,Long Beach (north),06-037-4002,AQS
02/24/2011,22,Long Beach (north),06-037-4002,AQS
02/25/2011,12,Long Beach (north),06-037-4002,AQS
02/26/2011,12,Lax Hastings,06-037-5005,AQS
02/27/2011,15,Anaheim,06-059-0007,AQS
02/28/2011,23,Long Beach (north),06-037-4002,AQS
03/01/2011,26,Glendora,06-037-0016,AQS
03/02/2011,22,Glendora,06-037-0016,AQS
03/03/2011,22,Glendora,06-037-0016,AQS
03/04/2011,31,Long Beach (north),06-037-4002,AQS
03/05/2011,19,Long Beach (north),06-037-4002,AQS
03/06/2011,20,Anaheim,06-059-0007,AQS
03/07/2011,27,Lancaster-division Street,06-037-9033,AQS
03/08/2011,31,Anaheim,06-059-0007,AQS
03/09/2011,26,Anaheim,06-059-0007,AQS
03/10/2011,30,Long Beach (south),06-037-4004,AQS
03/11/2011,29,Anaheim,06-059-0007,AQS
03/12/2011,31,Glendora,06-037-0016,AQS
03/13/2011,38,Glendora,06-037-0016,AQS
