date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20191214,0,SO2,3,3,2,5,5,3,2,1,,4,2,4,4,2,2,2,2,2,4,1,1,1,2,3,9,2,3,1,1,1,2,3,2,3,6
20191214,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,0,NO2,23,42,39,30,37,26,56,44,,43,42,31,45,48,43,36,27,20,55,13,19,11,16,3,65,4,43,66,42,45,21,33,59,56,62
20191214,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,0,O3,50,27,18,37,38,46,13,16,,32,24,38,30,24,27,31,45,41,19,56,38,52,46,72,9,66,15,6,25,2,50,38,20,19,16
20191214,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,0,CO,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.6,,0.3,0.2,0.3,0.4,0.4,0.1,0.2,0.1,0.3,0.5,,0.4,0.1,0.3,0.2,0.7,0.1,0.3,0.3,0.3,1.1,0.5,0.4,0.4,0.5,0.4
20191214,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,1,SO2,5,3,2,4,4,3,1,1,,4,2,4,4,2,2,1,1,1,3,1,1,1,2,3,11,1,3,1,1,1,3,3,2,4,9
20191214,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,1,NO2,36,36,40,38,44,34,56,34,,46,48,40,51,57,59,25,32,10,43,8,12,15,23,3,65,4,54,66,49,42,41,38,68,53,72
20191214,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,1,O3,37,28,16,29,29,38,10,26,,26,17,29,23,13,13,40,40,50,28,60,38,44,31,70,8,66,1,4,19,3,27,28,11,20,6
20191214,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,1,CO,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.4,,0.3,0.3,0.3,0.4,0.5,0.1,0.2,0.1,0.2,0.4,,0.3,0.1,0.5,0.2,0.6,0.1,0.3,0.2,0.3,1.1,0.5,0.4,0.4,0.4,0.4
20191214,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,2,SO2,3,2,2,5,4,2,2,1,,4,2,5,4,2,3,1,1,1,3,1,1,1,1,3,13,1,3,2,1,1,2,2,2,4,13
20191214,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,2,NO2,41,35,36,27,66,62,63,46,,61,58,53,58,50,76,19,38,13,44,8,17,13,51,13,65,7,51,67,63,38,35,55,54,63,82
20191214,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,2,O3,31,30,20,37,7,11,4,11,,11,6,14,14,18,1,45,31,47,22,60,34,46,2,54,5,60,2,1,3,1,32,11,23,14,2
20191214,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,2,CO,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.5,,0.3,0.3,0.4,0.5,0.4,0.2,0.2,0.1,0.2,0.6,0.1,0.6,0.1,0.6,0.2,0.7,0.1,0.3,0.3,0.3,0.9,0.5,0.4,0.4,0.4,0.4
20191214,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,3,SO2,3,3,2,4,3,4,2,2,,4,2,6,4,1,3,1,1,1,4,1,3,3,3,3,14,1,3,2,1,3,2,2,1,3,16
20191214,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,3,NO2,57,49,35,38,69,79,67,53,,71,58,61,48,70,73,25,38,14,60,10,8,18,58,11,92,7,48,69,52,36,49,54,68,67,93
20191214,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,3,O3,17,21,21,25,3,2,2,2,,3,3,8,24,2,2,38,30,45,3,55,42,39,2,55,3,59,2,1,13,1,18,14,11,6,2
20191214,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191214,3,CO,0.5,0.3,0.4,0.4,0.2,0.3,0.3,0.7,,0.4,0.3,0.5,0.4,0.5,0.1,0.2,0.1,0.2,1,0.1,0.2,0.1,0.6,0.2,0.7,0.2,0.3,0.3,0.2,0.5,0.4,0.4,0.4,0.4,0.5
