date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210310,0,PM2.5,199,173,199,194,205,188,188,206,201,212,205,197,168,181,179,178,171,165,158,164,171,173,168,205,190,185,182,204,182,203,190,190,191,214,181
20210310,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210310,0,PM10,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,298,,,,
20210310,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210310,0,AQI,249,223,249,244,255,238,238,256,251,262,255,247,218,231,229,228,221,215,208,214,221,223,218,255,240,235,232,254,232,253,240,240,241,264,231
20210310,1,PM2.5,200,174,197,196,199,184,176,198,204,216,205,202,172,182,182,175,168,167,162,164,173,185,170,207,196,198,194,212,180,202,181,183,186,210,187
20210310,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210310,1,PM10,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,270,,,,
20210310,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210310,1,AQI,250,224,247,246,249,234,226,248,254,266,255,252,222,232,232,225,218,217,212,214,223,235,220,257,246,248,244,262,230,252,231,233,236,260,237
20210310,2,PM2.5,199,177,197,195,195,190,186,212,207,208,201,199,176,182,188,167,162,167,166,170,174,184,172,208,192,217,204,217,182,213,187,183,186,216,187
20210310,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210310,2,PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,
20210310,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210310,2,AQI,249,227,247,245,245,240,236,262,257,258,251,249,226,232,238,217,212,217,216,220,224,234,222,258,242,267,254,267,232,263,237,233,236,266,237
20210310,3,PM2.5,,173,198,190,197,197,181,213,201,218,188,197,181,179,191,176,167,168,172,170,174,189,167,197,186,233,220,216,171,231,194,182,185,216,183
20210310,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210310,3,PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,
20210310,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210310,3,AQI,,223,248,240,247,247,231,263,251,268,238,247,231,229,241,226,217,218,222,220,224,239,217,247,236,283,270,266,221,281,244,232,235,266,233
20210310,4,PM2.5,200,180,191,189,190,204,180,203,195,219,184,194,180,189,193,179,168,174,175,166,174,196,167,196,184,239,228,213,168,228,193,183,182,214,180
20210310,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210310,4,PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,
