date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210127,0,SO2,1,3,2,3,3,1,2,1,1,1,1,2,3,3,3,3,2,3,3,3,1,3,3,3,3,2,3,3,3,16,1,1,3,3,1
20210127,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,0,NO2,72,50,79,71,91,73,80,50,77,22,52,69,15,31,5,13,36,17,10,24,7,14,30,31,31,76,79,79,64,23,61,19,29,58,22
20210127,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,0,O3,4,3,2,4,2,1,2,13,2,57,6,7,52,8,53,58,28,40,43,43,64,39,13,41,30,2,2,2,2,2,2,42,41,20,50
20210127,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,0,CO,1.5,1.2,1.2,1.2,1.3,1.3,1.1,0.9,1.1,0.5,0.8,1,0.2,0.5,0.3,0.3,0.7,0.4,0.4,0.3,0.3,0.4,0.6,0.3,0.3,1.3,,1.6,1.3,2.8,1.5,0.6,0.7,0.7,1
20210127,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,1,SO2,1,3,4,3,4,2,3,2,2,3,1,3,3,3,3,3,2,3,3,3,1,3,3,3,3,2,2,3,3,2,1,1,2,3,1
20210127,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,1,NO2,78,58,85,81,88,76,77,46,71,33,49,70,20,23,5,18,53,11,9,31,7,11,29,32,26,76,78,76,57,77,61,17,25,61,15
20210127,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,1,O3,1,3,2,2,2,1,2,16,2,34,2,6,42,11,54,50,10,43,42,30,63,40,10,37,34,2,2,2,2,2,2,42,40,16,55
20210127,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
