"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","35","","LAX Hastings","06-037-5005","AQS"
"01/02/2011","33","","Lancaster-Division Street","06-037-9033","AQS"
"01/03/2011","36","","Santa Clarita","06-037-6012","AQS"
"01/04/2011","36","","Santa Clarita","06-037-6012","AQS"
"01/05/2011","38","","Santa Clarita","06-037-6012","AQS"
"01/06/2011","37","","Santa Clarita","06-037-6012","AQS"
"01/07/2011","29","","Mission Viejo","06-059-2022","AQS"
"01/08/2011","41","","Lancaster-Division Street","06-037-9033","AQS"
"01/09/2011","42","","Lancaster-Division Street","06-037-9033","AQS"
"01/10/2011","38","","Santa Clarita","06-037-6012","AQS"
"01/11/2011","31","","Santa Clarita","06-037-6012","AQS"
"01/12/2011","35","","Reseda","06-037-1201","AQS"
"01/13/2011","41","","Santa Clarita","06-037-6012","AQS"
"01/14/2011","44","","Reseda","06-037-1201","AQS"
"01/15/2011","43","","Reseda","06-037-1201","AQS"
"01/16/2011","36","","Pasadena","06-037-2005","AQS"
"01/17/2011","36","","Mission Viejo","06-059-2022","AQS"
"01/18/2011","39","","Costa Mesa","06-059-1003","AQS"
"01/19/2011","40","","Santa Clarita","06-037-6012","AQS"
"01/20/2011","43","","Reseda","06-037-1201","AQS"
"01/21/2011","41","","Santa Clarita","06-037-6012","AQS"
"01/22/2011","34","","Santa Clarita","06-037-6012","AQS"
"01/23/2011","45","","Reseda","06-037-1201","AQS"
"01/24/2011","42","","Santa Clarita","06-037-6012","AQS"
"01/25/2011","34","","Santa Clarita","06-037-6012","AQS"
"01/26/2011","42","","Santa Clarita","06-037-6012","AQS"
"01/27/2011","39","","Santa Clarita","06-037-6012","AQS"
"01/28/2011","31","","Reseda","06-037-1201","AQS"
"01/29/2011","44","","LAX Hastings","06-037-5005","AQS"
"01/30/2011","39","","LAX Hastings","06-037-5005","AQS"
"01/31/2011","39","","Reseda","06-037-1201","AQS"
"02/01/2011","43","","Reseda","06-037-1201","AQS"
"02/02/2011","43","","Reseda","06-037-1201","AQS"
"02/03/2011","40","","Santa Clarita","06-037-6012","AQS"
"02/04/2011","36","","LAX Hastings","06-037-5005","AQS"
"02/05/2011","36","","LAX Hastings","06-037-5005","AQS"
"02/06/2011","40","","West Los Angeles","06-037-0113","AQS"
"02/07/2011","41","","Mission Viejo","06-059-2022","AQS"
"02/08/2011","42","","Santa Clarita","06-037-6012","AQS"
"02/09/2011","41","","Santa Clarita","06-037-6012","AQS"
"02/10/2011","39","","Reseda","06-037-1201","AQS"
"02/11/2011","42","","Santa Clarita","06-037-6012","AQS"
"02/12/2011","44","","Reseda","06-037-1201","AQS"
"02/13/2011","48","","Lancaster-Division Street","06-037-9033","AQS"
"02/14/2011","48","","Lancaster-Division Street","06-037-9033","AQS"
"02/15/2011","30","","Santa Clarita","06-037-6012","AQS"
"02/16/2011","44","","Lancaster-Division Street","06-037-9033","AQS"
"02/17/2011","43","","Lancaster-Division Street","06-037-9033","AQS"
"02/18/2011","45","","Lancaster-Division Street","06-037-9033","AQS"
"02/19/2011","45","","Lancaster-Division Street","06-037-9033","AQS"
"02/20/2011","44","","Lancaster-Division Street","06-037-9033","AQS"
"02/21/2011","43","","Lancaster-Division Street","06-037-9033","AQS"
"02/22/2011","48","","Lancaster-Division Street","06-037-9033","AQS"
"02/23/2011","45","","Lancaster-Division Street","06-037-9033","AQS"
"02/24/2011","44","","Mission Viejo","06-059-2022","AQS"
"02/25/2011","43","","Lancaster-Division Street","06-037-9033","AQS"
"02/26/2011","43","","Reseda","06-037-1201","AQS"
"02/27/2011","50","","Lancaster-Division Street","06-037-9033","AQS"
"02/28/2011","44","","Reseda","06-037-1201","AQS"
"03/01/2011","40","","Reseda","06-037-1201","AQS"
"03/02/2011","44","","LAX Hastings","06-037-5005","AQS"
"03/03/2011","40","","Lancaster-Division Street","06-037-9033","AQS"
"03/04/2011","44","","Santa Clarita","06-037-6012","AQS"
"03/05/2011","51","","Reseda","06-037-1201","AQS"
"03/06/2011","49","","Lancaster-Division Street","06-037-9033","AQS"
"03/07/2011","77","","LAX Hastings","06-037-5005","AQS"
"03/08/2011","46","","LAX Hastings","06-037-5005","AQS"
"03/09/2011","46","","Reseda","06-037-1201","AQS"
"03/10/2011","54","","Lancaster-Division Street","06-037-9033","AQS"
"03/11/2011","46","","Lancaster-Division Street","06-037-9033","AQS"
"03/12/2011","50","","Lancaster-Division Street","06-037-9033","AQS"
"03/13/2011","71","","Reseda","06-037-1201","AQS"
"03/14/2011","41","","Lancaster-Division Street","06-037-9033","AQS"
"03/15/2011","46","","Lancaster-Division Street","06-037-9033","AQS"
"03/16/2011","46","","Lancaster-Division Street","06-037-9033","AQS"
"03/17/2011","51","","Lancaster-Division Street","06-037-9033","AQS"
"03/18/2011","51","","Lancaster-Division Street","06-037-9033","AQS"
"03/19/2011","58","","LAX Hastings","06-037-5005","AQS"
"03/20/2011","51","","Lancaster-Division Street","06-037-9033","AQS"
"03/21/2011","50","","LAX Hastings","06-037-5005","AQS"
"03/22/2011","49","","Lancaster-Division Street","06-037-9033","AQS"
"03/23/2011","44","","Mission Viejo","06-059-2022","AQS"
"03/24/2011","47","","LAX Hastings","06-037-5005","AQS"
"03/25/2011","51","","LAX Hastings","06-037-5005","AQS"
"03/26/2011","46","","Lancaster-Division Street","06-037-9033","AQS"
"03/27/2011","49","","LAX Hastings","06-037-5005","AQS"
"03/28/2011","43","","Lancaster-Division Street","06-037-9033","AQS"
"03/29/2011","48","","Lancaster-Division Street","06-037-9033","AQS"
"03/30/2011","44","","Glendora","06-037-0016","AQS"
"03/31/2011","64","","West Los Angeles","06-037-0113","AQS"
"04/01/2011","101","","Lancaster-Division Street","06-037-9033","AQS"
"04/02/2011","41","","Lancaster-Division Street","06-037-9033","AQS"
"04/03/2011","46","","Lancaster-Division Street","06-037-9033","AQS"
"04/04/2011","64","","Reseda","06-037-1201","AQS"
"04/05/2011","80","","Lancaster-Division Street","06-037-9033","AQS"
"04/06/2011","61","","Lancaster-Division Street","06-037-9033","AQS"
"04/07/2011","50","","Lancaster-Division Street","06-037-9033","AQS"
"04/08/2011","50","","Reseda","06-037-1201","AQS"
"04/09/2011","61","","Lancaster-Division Street","06-037-9033","AQS"
"04/10/2011","74","","Lancaster-Division Street","06-037-9033","AQS"
"04/11/2011","74","","Lancaster-Division Street","06-037-9033","AQS"
"04/12/2011","77","","Lancaster-Division Street","06-037-9033","AQS"
"04/13/2011","58","","Lancaster-Division Street","06-037-9033","AQS"
"04/14/2011","97","","Lancaster-Division Street","06-037-9033","AQS"
"04/15/2011","90","","Mission Viejo","06-059-2022","AQS"
"04/16/2011","143","","Mission Viejo","06-059-2022","AQS"
"04/17/2011","77","","Glendora","06-037-0016","AQS"
"04/18/2011","40","","Lancaster-Division Street","06-037-9033","AQS"
"04/19/2011","44","","Lancaster-Division Street","06-037-9033","AQS"
"04/20/2011","45","","Lancaster-Division Street","06-037-9033","AQS"
"04/21/2011","40","","Lancaster-Division Street","06-037-9033","AQS"
"04/22/2011","61","","Lancaster-Division Street","06-037-9033","AQS"
"04/23/2011","49","","Lancaster-Division Street","06-037-9033","AQS"
"04/24/2011","44","","Lancaster-Division Street","06-037-9033","AQS"
"04/25/2011","48","","Santa Clarita","06-037-6012","AQS"
"04/26/2011","71","","Reseda","06-037-1201","AQS"
"04/27/2011","87","","Reseda","06-037-1201","AQS"
"04/28/2011","64","","Lancaster-Division Street","06-037-9033","AQS"
"04/29/2011","80","","Lancaster-Division Street","06-037-9033","AQS"
"04/30/2011","77","","Pico Rivera #2","06-037-1602","AQS"
"05/01/2011","71","","Anaheim","06-059-0007","AQS"
"05/02/2011","71","","Reseda","06-037-1201","AQS"
"05/03/2011","105","","Reseda","06-037-1201","AQS"
"05/04/2011","164","","Reseda","06-037-1201","AQS"
"05/05/2011","187","","Lancaster-Division Street","06-037-9033","AQS"
"05/06/2011","161","","Lancaster-Division Street","06-037-9033","AQS"
"05/07/2011","119","","Lancaster-Division Street","06-037-9033","AQS"
"05/08/2011","54","","Lancaster-Division Street","06-037-9033","AQS"
"05/09/2011","64","","Lancaster-Division Street","06-037-9033","AQS"
"05/10/2011","64","","Lancaster-Division Street","06-037-9033","AQS"
"05/11/2011","87","","Lancaster-Division Street","06-037-9033","AQS"
"05/12/2011","133","","Lancaster-Division Street","06-037-9033","AQS"
"05/13/2011","133","","Lancaster-Division Street","06-037-9033","AQS"
"05/14/2011","61","","Lancaster-Division Street","06-037-9033","AQS"
"05/15/2011","54","","Lancaster-Division Street","06-037-9033","AQS"
"05/16/2011","46","","Lancaster-Division Street","06-037-9033","AQS"
"05/17/2011","67","","Lancaster-Division Street","06-037-9033","AQS"
"05/18/2011","46","","Lancaster-Division Street","06-037-9033","AQS"
"05/19/2011","51","","Lancaster-Division Street","06-037-9033","AQS"
"05/20/2011","80","","Lancaster-Division Street","06-037-9033","AQS"
"05/21/2011","129","","Lancaster-Division Street","06-037-9033","AQS"
"05/22/2011","77","","Lancaster-Division Street","06-037-9033","AQS"
"05/23/2011","54","","Lancaster-Division Street","06-037-9033","AQS"
"05/24/2011","100","","Lancaster-Division Street","06-037-9033","AQS"
"05/25/2011","100","","Lancaster-Division Street","06-037-9033","AQS"
"05/26/2011","61","","Lancaster-Division Street","06-037-9033","AQS"
"05/27/2011","77","","Santa Clarita","06-037-6012","AQS"
"05/28/2011","74","","Santa Clarita","06-037-6012","AQS"
"05/29/2011","48","","Glendora","06-037-0016","AQS"
"05/30/2011","71","","Glendora","06-037-0016","AQS"
"05/31/2011","112","","Lancaster-Division Street","06-037-9033","AQS"
"06/01/2011","58","","Lancaster-Division Street","06-037-9033","AQS"
"06/02/2011","51","","Reseda","06-037-1201","AQS"
"06/03/2011","84","","Lancaster-Division Street","06-037-9033","AQS"
"06/04/2011","67","","Glendora","06-037-0016","AQS"
"06/05/2011","51","","Glendora","06-037-0016","AQS"
"06/06/2011","42","","Lancaster-Division Street","06-037-9033","AQS"
"06/07/2011","58","","Lancaster-Division Street","06-037-9033","AQS"
"06/08/2011","51","","Lancaster-Division Street","06-037-9033","AQS"
"06/09/2011","87","","Lancaster-Division Street","06-037-9033","AQS"
"06/10/2011","90","","Lancaster-Division Street","06-037-9033","AQS"
"06/11/2011","90","","Lancaster-Division Street","06-037-9033","AQS"
"06/12/2011","80","","Glendora","06-037-0016","AQS"
"06/13/2011","93","","Lancaster-Division Street","06-037-9033","AQS"
"06/14/2011","154","","Santa Clarita","06-037-6012","AQS"
"06/15/2011","122","","Lancaster-Division Street","06-037-9033","AQS"
"06/16/2011","80","","Lancaster-Division Street","06-037-9033","AQS"
"06/17/2011","84","","Lancaster-Division Street","06-037-9033","AQS"
"06/18/2011","100","","Santa Clarita","06-037-6012","AQS"
"06/19/2011","80","","Santa Clarita","06-037-6012","AQS"
"06/20/2011","143","","Santa Clarita","06-037-6012","AQS"
"06/21/2011","174","","Reseda","06-037-1201","AQS"
"06/22/2011","147","","Reseda","06-037-1201","AQS"
"06/23/2011","115","","Lancaster-Division Street","06-037-9033","AQS"
"06/24/2011","77","","Glendora","06-037-0016","AQS"
"06/25/2011","151","","Glendora","06-037-0016","AQS"
"06/26/2011","174","","Glendora","06-037-0016","AQS"
"06/27/2011","140","","Reseda","06-037-1201","AQS"
"06/28/2011","93","","Lancaster-Division Street","06-037-9033","AQS"
"06/29/2011","45","","Lancaster-Division Street","06-037-9033","AQS"
"06/30/2011","112","","Lancaster-Division Street","06-037-9033","AQS"
"07/01/2011","185","","Reseda","06-037-1201","AQS"
"07/02/2011","218","","Santa Clarita","06-037-6012","AQS"
"07/03/2011","202","","Santa Clarita","06-037-6012","AQS"
"07/04/2011","169","","Glendora","06-037-0016","AQS"
"07/05/2011","97","","Lancaster-Division Street","06-037-9033","AQS"
"07/06/2011","126","","Lancaster-Division Street","06-037-9033","AQS"
