"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","5","","Lincoln Park Elementary","12-011-0010","AQS"
"01/02/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"01/03/2011","8","","Lincoln Park Elementary","12-011-0010","AQS"
"01/04/2011","10","","Lincoln Park Elementary","12-011-0010","AQS"
"01/05/2011","11","","KENDALL","12-086-0034","AQS"
"01/06/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"01/07/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"01/08/2011","8","","Lincoln Park Elementary","12-011-0010","AQS"
"01/09/2011","9","","Lincoln Park Elementary","12-011-0010","AQS"
"01/10/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"01/11/2011","11","","Lincoln Park Elementary","12-011-0010","AQS"
"01/12/2011","10","","Lincoln Park Elementary","12-011-0010","AQS"
"01/13/2011","3","","Lincoln Park Elementary","12-011-0010","AQS"
"01/14/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"01/15/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"01/16/2011","10","","Lincoln Park Elementary","12-011-0010","AQS"
"01/17/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"01/18/2011","9","","Lincoln Park Elementary","12-011-0010","AQS"
"01/19/2011","9","","Lincoln Park Elementary","12-011-0010","AQS"
"01/20/2011","11","","Lincoln Park Elementary","12-011-0010","AQS"
"01/21/2011","9","","Lincoln Park Elementary","12-011-0010","AQS"
"01/22/2011","9","","Lincoln Park Elementary","12-011-0010","AQS"
"01/23/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"01/24/2011","8","","Lincoln Park Elementary","12-011-0010","AQS"
"01/25/2011","5","","Lincoln Park Elementary","12-011-0010","AQS"
"01/26/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"01/27/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"01/28/2011","13","","Lincoln Park Elementary","12-011-0010","AQS"
"01/29/2011","13","","Lincoln Park Elementary","12-011-0010","AQS"
"01/30/2011","13","","Lincoln Park Elementary","12-011-0010","AQS"
"01/31/2011","10","","Lincoln Park Elementary","12-011-0010","AQS"
"02/01/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"02/02/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"02/03/2011","13","","Lincoln Park Elementary","12-011-0010","AQS"
"02/04/2011","6","","Lincoln Park Elementary","12-011-0010","AQS"
"02/05/2011","7","","Lincoln Park Elementary","12-011-0010","AQS"
"02/06/2011","10","","Lincoln Park Elementary","12-011-0010","AQS"
"02/07/2011","8","","Lincoln Park Elementary","12-011-0010","AQS"
"02/08/2011","8","","Lincoln Park Elementary","12-011-0010","AQS"
