"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","41","","Rosenstiel","12-086-0027","AQS"
"01/02/2011","42","","Royal Palm Beach","12-099-0009","AQS"
"01/03/2011","34","","Royal Palm Beach","12-099-0009","AQS"
"01/04/2011","35","","AG Holley","12-099-0020","AQS"
"01/05/2011","34","","Rosenstiel","12-086-0027","AQS"
"01/06/2011","38","","Rosenstiel","12-086-0027","AQS"
"01/07/2011","43","","Rosenstiel","12-086-0027","AQS"
"01/08/2011","51","","Rosenstiel","12-086-0027","AQS"
"01/09/2011","61","","Rosenstiel","12-086-0027","AQS"
"01/10/2011","49","","Rosenstiel","12-086-0027","AQS"
"01/11/2011","36","","Rosenstiel","12-086-0027","AQS"
"01/12/2011","32","","AG Holley","12-099-0020","AQS"
"01/13/2011","38","","Royal Palm Beach","12-099-0009","AQS"
"01/14/2011","45","","AG Holley","12-099-0020","AQS"
"01/15/2011","44","","Rosenstiel","12-086-0027","AQS"
"01/16/2011","43","","AG Holley","12-099-0020","AQS"
"01/17/2011","38","","Rosenstiel","12-086-0027","AQS"
"01/18/2011","30","","Rosenstiel","12-086-0027","AQS"
"01/19/2011","29","","Royal Palm Beach","12-099-0009","AQS"
"01/20/2011","31","","Royal Palm Beach","12-099-0009","AQS"
"01/21/2011","24","","Rosenstiel","12-086-0027","AQS"
"01/22/2011","36","","Rosenstiel","12-086-0027","AQS"
"01/23/2011","46","","Rosenstiel","12-086-0027","AQS"
"01/24/2011","46","","Rosenstiel","12-086-0027","AQS"
"01/25/2011","41","","Rosenstiel","12-086-0027","AQS"
"01/26/2011","33","","Royal Palm Beach","12-099-0009","AQS"
"01/27/2011","44","","Vista View Park","12-011-0033","AQS"
"01/28/2011","44","","Royal Palm Beach","12-099-0009","AQS"
"01/29/2011","87","","Rosenstiel","12-086-0027","AQS"
"01/30/2011","71","","Perdue","12-086-0029","AQS"
"01/31/2011","46","","Rosenstiel","12-086-0027","AQS"
"02/01/2011","33","","Rosenstiel","12-086-0027","AQS"
"02/02/2011","31","","Royal Palm Beach","12-099-0009","AQS"
"02/03/2011","24","","Royal Palm Beach","12-099-0009","AQS"
