"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","64","","Royal Palm Beach","12-099-0009","AQS"
"01/02/2011","68","","Belle Glade","12-099-0008","AQS"
"01/03/2011","50","","Miami Fire Station","12-086-1016","AQS"
"01/04/2011","45","","Belle Glade","12-099-0008","AQS"
"01/05/2011","51","","Belle Glade","12-099-0008","AQS"
"01/06/2011","30","","U of F Ag Research Center","12-011-1002","AQS"
"01/07/2011","41","","Miami Fire Station","12-086-1016","AQS"
"01/08/2011","33","","Miami Fire Station","12-086-1016","AQS"
"01/09/2011","45","","Vista View Park","12-011-0033","AQS"
"01/10/2011","48","","Miami Fire Station","12-086-1016","AQS"
"01/11/2011","55","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/12/2011","42","","Miami Fire Station","12-086-1016","AQS"
"01/13/2011","46","","Vista View Park","12-011-0033","AQS"
"01/14/2011","39","","Miami Fire Station","12-086-1016","AQS"
"01/15/2011","48","","U of F Ag Research Center","12-011-1002","AQS"
"01/16/2011","45","","Royal Palm Beach","12-099-0009","AQS"
"01/17/2011","33","","Belle Glade","12-099-0008","AQS"
"01/18/2011","35","","Miami Fire Station","12-086-1016","AQS"
"01/19/2011","53","","Vista View Park","12-011-0033","AQS"
"01/20/2011","54","","Miami Fire Station","12-086-1016","AQS"
"01/21/2011","40","","Miami Fire Station","12-086-1016","AQS"
"01/22/2011","38","","Royal Palm Beach","12-099-0009","AQS"
"01/23/2011","41","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/24/2011","60","","Belle Glade","12-099-0008","AQS"
"01/25/2011","40","","Miami Fire Station","12-086-1016","AQS"
"01/26/2011","28","","Miami Fire Station","12-086-1016","AQS"
"01/27/2011","39","","Miami Fire Station","12-086-1016","AQS"
"01/28/2011","52","","U of F Ag Research Center","12-011-1002","AQS"
"01/29/2011","46","","Belle Glade","12-099-0008","AQS"
"01/30/2011","48","","Belle Glade","12-099-0008","AQS"
"01/31/2011","46","","Miami Fire Station","12-086-1016","AQS"
"02/01/2011","40","","Belle Glade","12-099-0008","AQS"
"02/02/2011","37","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/03/2011","44","","Belle Glade","12-099-0008","AQS"
"02/04/2011","33","","Miami Fire Station","12-086-1016","AQS"
"02/05/2011","29","","Vista View Park","12-011-0033","AQS"
"02/06/2011","46","","Belle Glade","12-099-0008","AQS"
"02/07/2011","52","","Belle Glade","12-099-0008","AQS"
"02/08/2011","48","","U of F Ag Research Center","12-011-1002","AQS"
"02/09/2011","63","","Belle Glade","12-099-0008","AQS"
"02/10/2011","58","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/11/2011","51","","Belle Glade","12-099-0008","AQS"
"02/12/2011","50","","U of F Ag Research Center","12-011-1002","AQS"
"02/13/2011","25","","U of F Ag Research Center","12-011-1002","AQS"
"02/14/2011","48","","Belle Glade","12-099-0008","AQS"
"02/15/2011","99","","Royal Palm Beach","12-099-0009","AQS"
"02/16/2011","63","","Belle Glade","12-099-0008","AQS"
"02/17/2011","48","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/18/2011","38","","Belle Glade","12-099-0008","AQS"
"02/19/2011","41","","Miami Fire Station","12-086-1016","AQS"
"02/20/2011","62","","Belle Glade","12-099-0008","AQS"
"02/21/2011","54","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/22/2011","51","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/23/2011","61","","Belle Glade","12-099-0008","AQS"
"02/24/2011","57","","Miami Fire Station","12-086-1016","AQS"
"02/25/2011","46","","Belle Glade","12-099-0008","AQS"
"02/26/2011","51","","Miami Fire Station","12-086-1016","AQS"
"02/27/2011","38","","Miami Fire Station","12-086-1016","AQS"
"02/28/2011","31","","Miami Fire Station","12-086-1016","AQS"
"03/01/2011","50","","Miami Fire Station","12-086-1016","AQS"
"03/02/2011","46","","Miami Fire Station","12-086-1016","AQS"
"03/03/2011","44","","Belle Glade","12-099-0008","AQS"
"03/04/2011","43","","Miami Fire Station","12-086-1016","AQS"
"03/05/2011","52","","Miami Fire Station","12-086-1016","AQS"
"03/06/2011","38","","U of F Ag Research Center","12-011-1002","AQS"
"03/07/2011","34","","Miami Fire Station","12-086-1016","AQS"
"03/08/2011","43","","Miami Fire Station","12-086-1016","AQS"
"03/09/2011","36","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"03/10/2011","31","","Belle Glade","12-099-0008","AQS"
"03/11/2011","41","","Vista View Park","12-011-0033","AQS"
"03/12/2011","43","","Vista View Park","12-011-0033","AQS"
"03/13/2011","50","","U of F Ag Research Center","12-011-1002","AQS"
"03/14/2011","54","","Miami Fire Station","12-086-1016","AQS"
"03/15/2011","51","","Belle Glade","12-099-0008","AQS"
"03/16/2011","38","","Miami Fire Station","12-086-1016","AQS"
"03/17/2011","56","","Belle Glade","12-099-0008","AQS"
"03/18/2011","41","","Miami Fire Station","12-086-1016","AQS"
"03/19/2011","53","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"03/20/2011","66","","Royal Palm Beach","12-099-0009","AQS"
"03/21/2011","59","","Miami Fire Station","12-086-1016","AQS"
"03/22/2011","56","","Miami Fire Station","12-086-1016","AQS"
"03/23/2011","51","","Belle Glade","12-099-0008","AQS"
"03/24/2011","48","","Miami Fire Station","12-086-1016","AQS"
"03/25/2011","52","","Belle Glade","12-099-0008","AQS"
"03/26/2011","46","","Royal Palm Beach","12-099-0009","AQS"
"03/27/2011","53","","Royal Palm Beach","12-099-0009","AQS"
"03/28/2011","53","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"03/29/2011","52","","Miami Fire Station","12-086-1016","AQS"
"03/30/2011","60","","Royal Palm Beach","12-099-0009","AQS"
"03/31/2011","59","","U of F Ag Research Center","12-011-1002","AQS"
"04/01/2011","54","","Miami Fire Station","12-086-1016","AQS"
"04/02/2011","52","","Miami Fire Station","12-086-1016","AQS"
