"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","31","","SUSAN WAGNER HS","36-085-0067","AQS"
"01/02/2011","29","","Flemington","34-019-0001","AQS"
"01/03/2011","35","","MT NINHAM","36-079-0005","AQS"
"01/04/2011","25","","MILLBROOK","36-027-0007","AQS"
"01/05/2011","32","","MT NINHAM","36-079-0005","AQS"
"01/06/2011","28","","Chester","34-027-3001","AQS"
"01/07/2011","22","","MILLBROOK","36-027-0007","AQS"
"01/08/2011","31","","Rockland County","36-087-0005","AQS"
"01/09/2011","34","","MT NINHAM","36-079-0005","AQS"
"01/10/2011","36","","MT NINHAM","36-079-0005","AQS"
"01/11/2011","31","","MT NINHAM","36-079-0005","AQS"
"01/12/2011","34","","Rockland County","36-087-0005","AQS"
"01/13/2011","35","","MT NINHAM","36-079-0005","AQS"
"01/14/2011","33","","MT NINHAM","36-079-0005","AQS"
"01/15/2011","30","","Rutgers University","34-023-0011","AQS"
"01/16/2011","36","","MT NINHAM","36-079-0005","AQS"
"01/17/2011","38","","MT NINHAM","36-079-0005","AQS"
"01/18/2011","31","","BABYLON","36-103-0002","AQS"
"01/19/2011","25","","MT NINHAM","36-079-0005","AQS"
"01/20/2011","34","","Rockland County","36-087-0005","AQS"
"01/21/2011","33","","Flemington","34-019-0001","AQS"
"01/22/2011","32","","Rockland County","36-087-0005","AQS"
"01/23/2011","33","","Rockland County","36-087-0005","AQS"
"01/24/2011","31","","MILLBROOK","36-027-0007","AQS"
"01/25/2011","20","","SUSAN WAGNER HS","36-085-0067","AQS"
"01/26/2011","26","","Flemington","34-019-0001","AQS"
"01/27/2011","35","","MT NINHAM","36-079-0005","AQS"
"01/28/2011","27","","MILLBROOK","36-027-0007","AQS"
"01/29/2011","33","","Rockland County","36-087-0005","AQS"
"01/30/2011","35","","Rockland County","36-087-0005","AQS"
"01/31/2011","38","","MT NINHAM","36-079-0005","AQS"
"02/01/2011","32","","MT NINHAM","36-079-0005","AQS"
"02/02/2011","33","","Flemington","34-019-0001","AQS"
"02/03/2011","40","","Flemington","34-019-0001","AQS"
"02/04/2011","36","","MT NINHAM","36-079-0005","AQS"
"02/05/2011","30","","Rockland County","36-087-0005","AQS"
"02/06/2011","43","","Rutgers University","34-023-0011","AQS"
"02/07/2011","36","","SUSAN WAGNER HS","36-085-0067","AQS"
"02/08/2011","37","","Flemington","34-019-0001","AQS"
"02/09/2011","35","","MT NINHAM","36-079-0005","AQS"
"02/10/2011","38","","Rockland County","36-087-0005","AQS"
"02/11/2011","33","","Flemington","34-019-0001","AQS"
"02/12/2011","44","","Rockland County","36-087-0005","AQS"
"02/13/2011","41","","MT NINHAM","36-079-0005","AQS"
"02/14/2011","45","","Rockland County","36-087-0005","AQS"
"02/15/2011","41","","MT NINHAM","36-079-0005","AQS"
"02/16/2011","41","","Leonia","34-003-0006","AQS"
"02/17/2011","44","","Chester","34-027-3001","AQS"
"02/18/2011","44","","MT NINHAM","36-079-0005","AQS"
"02/19/2011","43","","Rockland County","36-087-0005","AQS"
"02/20/2011","41","","Rockland County","36-087-0005","AQS"
"02/21/2011","37","","Flemington","34-019-0001","AQS"
"02/22/2011","37","","Ramapo","34-031-5001","AQS"
"02/23/2011","39","","MILLBROOK","36-027-0007","AQS"
"02/24/2011","35","","Colliers Mills","34-029-0006","AQS"
"02/25/2011","37","","Rockland County","36-087-0005","AQS"
"02/26/2011","42","","Rockland County","36-087-0005","AQS"
"02/27/2011","43","","Rockland County","36-087-0005","AQS"
"02/28/2011","39","","Rockland County","36-087-0005","AQS"
"03/01/2011","42","","Rockland County","36-087-0005","AQS"
"03/02/2011","41","","Rockland County","36-087-0005","AQS"
"03/03/2011","39","","Flemington","34-019-0001","AQS"
"03/04/2011","44","","SUSAN WAGNER HS","36-085-0067","AQS"
"03/05/2011","48","","BABYLON","36-103-0002","AQS"
"03/06/2011","47","","BABYLON","36-103-0002","AQS"
"03/07/2011","44","","BABYLON","36-103-0002","AQS"
"03/08/2011","39","","MILLBROOK","36-027-0007","AQS"
"03/09/2011","43","","BABYLON","36-103-0002","AQS"
"03/10/2011","44","","BABYLON","36-103-0002","AQS"
"03/11/2011","42","","RIVERHEAD","36-103-0004","AQS"
"03/12/2011","41","","Colliers Mills","34-029-0006","AQS"
"03/13/2011","42","","BABYLON","36-103-0002","AQS"
"03/14/2011","34","","Flemington","34-019-0001","AQS"
"03/15/2011","38","","SUSAN WAGNER HS","36-085-0067","AQS"
"03/16/2011","33","","Flemington","34-019-0001","AQS"
"03/17/2011","49","","Rockland County","36-087-0005","AQS"
"03/18/2011","49","","RIVERHEAD","36-103-0004","AQS"
"03/19/2011","45","","BABYLON","36-103-0002","AQS"
"03/20/2011","44","","BABYLON","36-103-0002","AQS"
"03/21/2011","41","","BABYLON","36-103-0002","AQS"
"03/22/2011","42","","BABYLON","36-103-0002","AQS"
"03/23/2011","38","","Colliers Mills","34-029-0006","AQS"
"03/24/2011","44","","Chester","34-027-3001","AQS"
"03/25/2011","42","","Rockland County","36-087-0005","AQS"
"03/26/2011","45","","Flemington","34-019-0001","AQS"
"03/27/2011","45","","Rockland County","36-087-0005","AQS"
"03/28/2011","45","","Rockland County","36-087-0005","AQS"
"03/29/2011","45","","Flemington","34-019-0001","AQS"
"03/30/2011","46","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"03/31/2011","44","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"04/01/2011","44","","Rockland County","36-087-0005","AQS"
"04/02/2011","50","","Rockland County","36-087-0005","AQS"
"04/03/2011","50","","Rutgers University","34-023-0011","AQS"
"04/04/2011","48","","RIVERHEAD","36-103-0004","AQS"
"04/05/2011","41","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"04/06/2011","44","","Rutgers University","34-023-0011","AQS"
"04/07/2011","44","","MILLBROOK","36-027-0007","AQS"
"04/08/2011","43","","MILLBROOK","36-027-0007","AQS"
"04/09/2011","54","","SUSAN WAGNER HS","36-085-0067","AQS"
"04/10/2011","47","","RIVERHEAD","36-103-0004","AQS"
"04/11/2011","44","","Rutgers University","34-023-0011","AQS"
"04/12/2011","48","","Rockland County","36-087-0005","AQS"
