"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2019","AQS","120110034","1","0.1","ppm","1","Daniela Banu NCORE","19","79.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/02/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/03/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/04/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/05/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/06/2019","AQS","120110034","1","0.4","ppm","5","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/07/2019","AQS","120110034","1","0.4","ppm","5","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/08/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","15","63.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/09/2019","AQS","120110034","1","0.4","ppm","5","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/10/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/11/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/12/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/13/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/14/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/15/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/16/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/17/2019","AQS","120110034","1","0.4","ppm","5","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/18/2019","AQS","120110034","1","0.4","ppm","5","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/19/2019","AQS","120110034","1","0.6","ppm","7","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/20/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/21/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/22/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","15","63.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/23/2019","AQS","120110034","1","0.1","ppm","1","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/24/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/25/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/26/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/27/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/28/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/29/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/30/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"01/31/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/01/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/02/2019","AQS","120110034","1","0.4","ppm","5","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/03/2019","AQS","120110034","1","0.5","ppm","6","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/04/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/05/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/06/2019","AQS","120110034","1","0.5","ppm","6","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/07/2019","AQS","120110034","1","0.4","ppm","5","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/08/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/09/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/10/2019","AQS","120110034","1","0.1","ppm","1","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/11/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/12/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/13/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/14/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/15/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/16/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/17/2019","AQS","120110034","1","0.4","ppm","5","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/18/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/19/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/20/2019","AQS","120110034","1","0.1","ppm","1","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/21/2019","AQS","120110034","1","0.1","ppm","1","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/22/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/23/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/24/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/25/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/26/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/27/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"02/28/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"03/01/2019","AQS","120110034","1","0.4","ppm","5","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"03/02/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"03/03/2019","AQS","120110034","1","0.3","ppm","3","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"03/04/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"03/05/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"03/06/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"03/07/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
"03/08/2019","AQS","120110034","1","0.2","ppm","2","Daniela Banu NCORE","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0538889","-80.2569444"
