date, pm25, pm10, o3, no2, so2, co
2020/8/1, 27, 10, 19, 15, 1, 3
2020/8/2, 20, 9, 16, 25, 2, 5
2020/8/3, 26, 11, 13, 27, 2, 5
2020/8/4, 30, 13, 12, 19, 2, 4
2020/8/5, 26, 12, 9, 16, 1, 4
2020/8/6, 30, 13, 11, 16, 2, 3
2020/8/7, 30, 13, 15, 17, 2, 3
2020/8/8, 26, 11, 21, 17, 2, 3
2020/8/9, 24, 12, 20, 22, 3, 4
2020/8/10, 26, 10, 13, 17, 2, 4
2020/8/11, 22, 13, 14, 21, 3, 5
2020/8/12, 24, 13, 12, 20, 2, 4
2020/8/13, 34, 14, 17, 21, 2, 4
2020/8/14, 41, 11, 17, 20, 2, 3
2020/8/15, 33, 12, 20, 15, 2, 2
2020/8/16, 38, 15, 14, 20, 2, 4
2020/8/17, 42, 17, 14, 23, 3, 4
2020/8/18, 45, 10, 19, 15, 2, 3
2020/8/19, 23, 15, 21, 22, 2, 4
2020/8/20, 41, 32, 41, 35, 3, 4
2020/8/21, 79, 36, 27, 38, 5, 5
2020/8/22, 88, 21, 18, 27, 4, 3
2020/8/23, 61, 17, 31, 28, 4, 4
2020/8/24, 49, 18, 35, 28, 3, 5
2020/8/25, 45, 18, 23, 23, 3, 5
2020/8/26, 42, 23, 82, 42, 3, 6
2020/8/27, 60, 17, 36, 26, 3, 5
2020/8/28, 53, , , , , 
2020/7/1, 30, 11, 20, 24, 1, 5
2020/7/2, 30, 15, 15, 24, 1, 5
2020/7/3, 38, 14, 16, 21, 2, 5
2020/7/4, 33, 11, 19, 15, 2, 4
2020/7/5, 26, 11, 15, 19, 2, 4
2020/7/6, 22, 15, 16, 23, 2, 5
2020/7/7, 36, 19, 15, 22, 2, 5
2020/7/8, 40, 21, 17, 20, 1, 5
2020/7/9, 40, 19, 12, 14, 1, 4
2020/7/10, 34, 16, 15, 18, 1, 5
2020/7/11, 35, 13, 16, 18, 2, 4
2020/7/12, 31, 12, 17, 22, 2, 5
2020/7/13, 29, 16, 27, 27, 3, 6
2020/7/14, 36, 11, 20, 18, 2, 4
2020/7/15, 27, 12, 15, 19, 2, 3
2020/7/16, 24, 11, 13, 17, 2, 3
2020/7/17, 23, 10, 13, 16, 2, 3
2020/7/18, 23, 10, 17, 16, 2, 3
2020/7/19, 24, 11, 16, 19, 2, 4
2020/7/20, 26, 13, 17, 25, 2, 4
2020/7/21, 33, 13, 13, 22, 2, 5
2020/7/22, 31, 13, 18, 24, 2, 4
2020/7/23, 30, 13, 21, 29, 3, 4
2020/7/24, 36, 13, 22, 23, 2, 4
2020/7/25, 32, 14, 17, 17, 2, 3
2020/7/26, 30, 13, 13, 18, 2, 3
2020/7/27, 30, 11, 15, 18, 2, 4
2020/7/28, 25, 14, 17, 27, 3, 4
2020/7/29, 34, 13, 33, 19, 1, 3
2020/7/30, 29, 14, 23, 14, 1, 3
2020/7/31, 31, 14, 17, 13, 1, 3
2020/6/1, 34, 13, 11, 17, 3, 6
2020/6/2, 34, 13, 15, 16, 3, 6
2020/6/3, 28, 15, 16, 18, 2, 7
2020/6/4, 32, 15, 18, 20, 2, 7
2020/6/5, 35, 13, 18, 25, 2, 7
2020/6/6, 29, 18, 18, 24, 2, 7
2020/6/7, 42, 19, 17, 26, 2, 6
2020/6/8, 45, 18, 15, 20, 1, 8
2020/6/9, 38, 14, 19, 22, 1, 7
2020/6/10, 34, 10, 16, 22, 2, 7
2020/6/11, 29, 14, 18, 27, 1, 7
2020/6/12, 40, 16, 16, 18, 1, 8
2020/6/13, 36, 12, 23, 21, 1, 8
2020/6/14, 27, 15, 18, 23, 1, 8
2020/6/15, 29, 15, 14, 20, 1, 8
2020/6/16, 26, 11, 21, 21, 2, 8
2020/6/17, 26, 13, 17, 23, 2, 7
2020/6/18, 33, 11, 20, 22, 2, 7
