date, pm25, pm10, o3, no2, so2, co
2020/9/1, 61, 21, 28, 34, 1, 
2020/9/2, 58, 16, 20, 24, 1, 1
2020/9/3, 50, 18, 20, 29, 2, 1
2020/9/4, 46, , , , , 
2020/8/1, 46, 13, 23, 14, 3, 2
2020/8/2, 38, 12, 27, 16, 2, 2
2020/8/3, 31, 16, 29, 23, 3, 2
2020/8/4, 40, 12, 29, 18, 2, 2
2020/8/5, 23, 13, 27, 25, 2, 2
2020/8/6, 37, 21, 51, 52, 1, 3
2020/8/7, 65, 25, 55, 35, 1, 4
2020/8/8, 76, 23, 65, 15, , 3
2020/8/9, 71, 31, 65, 28, 1, 3
2020/8/10, 72, 44, 67, 28, 1, 4
2020/8/11, 104, 50, 70, 38, 2, 4
2020/8/12, 100, 29, 46, 13, 3, 3
2020/8/13, 73, 19, 25, 12, 5, 3
2020/8/14, 34, 19, 20, 17, 4, 3
2020/8/15, 53, 24, 21, 16, 14, 3
2020/8/16, 76, 13, 31, 10, 6, 3
2020/8/17, 41, 12, 19, 16, 8, 3
2020/8/18, 28, 9, 8, 12, 3, 3
2020/8/19, 28, 23, 23, 7, 4, 2
2020/8/20, 39, 20, 19, 10, 3, 2
2020/8/21, 42, 17, 24, 12, 2, 2
2020/8/22, 45, 11, 24, 15, 2, 2
2020/8/23, 38, 14, 22, 19, 2, 2
2020/8/24, 45, 12, 24, 12, 4, 2
2020/8/25, 45, 13, 24, 14, 3, 2
2020/8/26, 38, 16, 17, 16, 3, 2
2020/8/27, 48, 11, 24, 17, 3, 2
2020/8/28, 39, 12, 22, 11, 1, 2
2020/8/29, 38, 16, 26, 10, , 2
2020/8/30, 42, 13, 28, 18, 3, 2
2020/8/31, 43, 20, 24, 28, 1, 5
2020/7/1, 44, 14, 21, 21, 6, 4
2020/7/2, 40, 16, 25, 16, 6, 4
2020/7/3, 43, 11, 19, 8, 7, 4
2020/7/4, 44, 15, 24, 8, 7, 4
2020/7/5, 39, 14, 23, 13, 4, 4
2020/7/6, 35, 14, 24, 23, 5, 4
2020/7/7, 43, 11, 11, 13, 6, 5
2020/7/8, 46, 13, 18, 12, 4, 5
2020/7/9, 44, 11, 21, 14, , 1
2020/7/10, 39, 12, 25, 15, , 
2020/7/11, 46, 16, 37, 17, , 
2020/7/12, 59, 15, 20, 18, , 
2020/7/13, 40, 9, 22, 17, , 1
2020/7/14, 39, 9, 18, 16, , 1
2020/7/15, 33, 9, 15, 11, , 1
2020/7/16, 27, 16, 15, 19, , 1
2020/7/17, 40, 11, 22, 12, , 1
2020/7/18, 44, 9, 23, 8, 1, 1
2020/7/19, 35, 13, 29, 15, , 
2020/7/20, 43, 12, 30, 10, , 
2020/7/21, 42, 13, 35, 19, , 1
2020/7/22, 38, 16, 39, 25, 1, 1
2020/7/23, 35, 12, 22, 20, 2, 1
2020/7/24, 34, 9, 17, 14, 3, 1
2020/7/25, 33, 11, 16, 12, 3, 1
2020/7/26, 29, 9, 17, 12, 3, 1
2020/7/27, 31, 10, 15, 12, 2, 1
2020/7/28, 25, 15, 27, 21, 1, 2
2020/7/29, 40, 16, 30, 23, 2, 2
2020/7/30, 41, 36, 52, 37, 3, 3
2020/7/31, 64, 15, 21, 16, 3, 2
2020/6/1, 35, 19, 40, 18, 3, 3
2020/6/2, 48, 24, 32, 22, 5, 3
2020/6/3, 36, 13, 25, 18, 3, 3
2020/6/4, 27, 13, 27, 23, 5, 3
2020/6/5, 24, 14, 22, 18, 5, 2
2020/6/6, 31, 12, 20, 16, 3, 3
2020/6/7, 31, 19, 25, 13, 1, 2
2020/6/8, 33, 20, 31, 20, 1, 3
2020/6/9, 33, 19, 26, 22, 2, 3
2020/6/10, 36, 16, 31, 14, 3, 3
2020/6/11, 48, 25, 28, 17, 4, 4
2020/6/12, 64, 16, 31, 16, 4, 4
2020/6/13, 43, 16, 33, 19, 4, 4
2020/6/14, 50, 12, 32, 24, 4, 4
2020/6/15, 45, 13, 33, 24, 4, 3
2020/6/16, 42, 14, 29, 28, 4, 4
2020/6/17, 48, 13, 34, 25, 4, 4
2020/6/18, 46, 15, 28, 19, 4, 3
2020/6/19, 47, 14, 24, 19, 3, 3
2020/6/20, 37, 13, 22, 15, 4, 2
2020/6/21, 36, 22, 29, 22, 3, 3
2020/6/22, 46, 23, 41, 28, 3, 3
2020/6/23, 42, 31, 73, 32, 5, 3
2020/6/24, 55, 32, 71, 31, 6, 3
2020/6/25, 51, 28, 51, 30, 6, 3
2020/6/26, 58, 11, 24, 15, 6, 4
2020/6/27, 27, 12, 20, 13, 6, 3
2020/6/28, 25, 15, 24, 18, 5, 3
2020/6/29, 27, 13, 20, 18, 4, 4
2020/6/30, 30, 15, 18, 18, 7, 5
2020/5/1, 38, 13, 30, 19, 3, 2
2020/5/2, 37, 16, 31, 15, 2, 3
2020/5/3, 49, 20, 34, 13, 1, 2
2020/5/4, 53, 18, 31, 12, , 2
2020/5/5, 28, 24, 37, 16, 1, 2
2020/5/6, 53, 29, 43, 27, 1, 2
2020/5/7, 58, 22, 47, 20, 1, 3
2020/5/8, 67, 38, 49, 20, 3, 3
2020/5/9, 53, 27, 35, 8, 2, 2
2020/5/10, 40, 20, 25, 7, 1, 3
2020/5/11, 28, 17, 29, 13, 1, 3
2020/5/12, 29, 15, 29, 10, 2, 3
2020/5/13, 29, 13, 30, 12, 1, 3
2020/5/14, 35, 18, 32, 17, 1, 3
2020/5/15, 35, 17, 32, 21, 2, 3
2020/5/16, 33, 15, 30, 19, 1, 2
2020/5/17, 36, 16, 35, 23, 1, 2
2020/5/18, 41, 16, 29, 23, , 3
2020/5/19, 33, 16, 36, 27, , 3
2020/5/20, 45, 12, 47, 25, 1, 3
2020/5/21, 55, 19, 34, 16, 1, 2
2020/5/22, 59, 18, 34, 11, , 2
2020/5/23, 46, 16, 30, 14, , 2
2020/5/24, 59, 17, 38, 16, , 3
2020/5/25, 61, 18, 40, 21, , 3
2020/5/26, 47, 19, 38, 22, , 3
2020/5/27, 37, 22, 30, 15, 1, 3
2020/5/28, 31, 25, 34, 17, 2, 4
2020/5/29, 33, 25, 43, 12, 2, 3
2020/5/30, 36, 22, 39, 8, 2, 3
2020/5/31, 31, 19, 42, 8, 3, 3
2020/4/1, 58, 15, 32, 32, 8, 5
2020/4/2, 38, 20, 32, 25, 9, 5
2020/4/3, 46, 21, 36, 19, 9, 4
2020/4/4, 56, 18, 40, 13, 11, 4
2020/4/5, 53, 18, 33, 25, 7, 3
2020/4/6, 36, 30, 35, 25, 4, 4
2020/4/7, 49, 52, 38, 28, 4, 3
2020/4/8, 69, 54, 38, 27, 5, 3
2020/4/9, 57, 46, 38, 23, 4, 3
2020/4/10, 76, 38, 39, 26, 5, 3
2020/4/11, 74, 29, 43, 19, 7, 3
2020/4/12, 61, 19, 31, 7, 4, 4
2020/4/13, 46, 18, 32, 17, 4, 3
2020/4/14, 44, 31, 31, 24, 5, 2
2020/4/15, 70, 51, 31, 25, 6, 2
2020/4/16, 115, 23, 28, 12, 5, 3
2020/4/17, 50, 27, 24, 13, 6, 3
2020/4/18, 59, 23, 37, 11, 6, 2
2020/4/19, 57, 31, 35, 13, 6, 2
2020/4/20, 51, 32, 37, 13, 6, 2
2020/4/21, 42, 32, 41, 17, 6, 2
2020/4/22, 47, 36, 43, 21, 7, 2
2020/4/23, 54, 35, 45, 20, 7, 2
2020/4/24, 49, 21, 32, 13, 7, 2
2020/4/25, 34, 22, 41, 16, 8, 2
2020/4/26, 37, 29, 32, 19, 7, 3
2020/4/27, 59, 12, 25, 16, 2, 2
2020/4/28, 43, 17, 27, 16, 3, 2
2020/4/29, 43, 15, 27, 16, 3, 2
2020/4/30, 36, 16, 26, 19, 4, 2
2020/3/1, 35, 13, 25, 32, 3, 6
2020/3/2, 34, 26, 10, 40, 5, 9
2020/3/3, 54, 22, 21, 42, 4, 8
2020/3/4, 52, 20, 24, 26, 5, 3
2020/3/5, 59, 28, 26, 36, 4, 6
2020/3/6, 63, 29, 29, 37, 3, 6
2020/3/7, 61, 16, 33, 29, 4, 4
2020/3/8, 42, 17, 28, 37, 3, 5
2020/3/9, 39, 10, 25, 30, 3, 3
2020/3/10, 35, 14, 34, 39, 3, 4
2020/3/11, 30, 19, 27, 35, 3, 5
2020/3/12, 43, 18, 27, 33, 2, 6
2020/3/13, 45, 13, 27, 21, 1, 4
2020/3/14, 29, 10, 23, 11, 1, 3
2020/3/15, 23, 14, 12, 20, 1, 6
2020/3/16, 38, 15, 18, 14, 1, 4
2020/3/17, 31, 19, 23, 16, 2, 3
2020/3/18, 41, 22, 24, 22, 3, 2
2020/3/19, 57, 17, 27, 16, 3, 3
2020/3/20, 35, 19, 27, 15, 3, 5
2020/3/21, 41, 20, 26, 14, 3, 5
2020/3/22, 53, 26, 21, 29, 4, 7
2020/3/23, 58, 25, 32, 28, 3, 5
2020/3/24, 60, 36, 28, 30, 4, 7
2020/3/25, 80, 47, 34, 21, 5, 6
2020/3/26, 99, 40, 40, 16, 9, 4
2020/3/27, 90, 30, 37, 9, 4, 4
2020/3/28, 56, 21, 34, 6, 3, 6
2020/3/29, 29, 17, 32, 12, 3, 4
2020/3/30, 26, 18, 33, 15, 5, 5
2020/3/31, 38, 22, 31, 24, 6, 5
2020/2/1, 49, 22, 28, 29, 5, 7
2020/2/2, 52, 24, 29, 31, 5, 7
2020/2/3, 50, 23, 26, 30, 3, 7
2020/2/4, 45, 39, 10, 40, 4, 9
2020/2/5, 72, 42, 8, 42, 4, 7
2020/2/6, 83, 41, 16, 35, 4, 6
2020/2/7, 93, 26, 28, 30, 5, 4
2020/2/8, 55, 16, 33, 16, 6, 2
2020/2/9, 44, 18, 30, 34, 7, 5
2020/2/10, 42, 21, 31, 31, 7, 6
2020/2/11, 41, 19, 28, 37, 6, 6
2020/2/12, 41, 17, 32, 37, 8, 4
2020/2/13, 47, 28, 28, 39, 6, 5
2020/2/14, 55, 12, 26, 25, 10, 2
2020/2/15, 38, 10, 34, 27, 9, 3
2020/2/16, 36, 21, 31, 33, 7, 5
2020/2/17, 45, 18, 29, 34, 6, 5
2020/2/18, 40, 20, 28, 41, 6, 5
2020/2/19, 45, 13, 33, 32, 7, 4
2020/2/20, 34, 23, 32, 33, 6, 5
2020/2/21, 44, 22, 32, 26, 6, 3
2020/2/22, 52, 13, 30, 23, 3, 3
2020/2/23, 36, 12, 27, 30, 3, 4
2020/2/24, 34, 17, 28, 38, 4, 6
2020/2/25, 35, 17, 28, 34, 4, 7
2020/2/26, 36, 16, 28, 33, 3, 6
2020/2/27, 41, 18, 22, 35, 3, 5
2020/2/28, 44, 23, 27, 28, 3, 5
2020/2/29, 46, 15, 29, 29, 3, 7
2020/1/1, 116, 16, 25, 28, 2, 4
2020/1/2, 56, 15, 27, 27, 2, 4
2020/1/3, 45, 16, 14, 31, 2, 5
2020/1/4, 46, 11, 22, 28, 1, 4
2020/1/5, 36, 9, 27, 9, 2, 4
2020/1/6, 29, 14, 19, 23, 2, 4
2020/1/7, 41, 21, 21, 28, 2, 5
2020/1/8, 52, 37, 22, 26, 4, 4
2020/1/9, 36, 12, 21, 28, 3, 5
2020/1/10, 44, 17, 29, 25, 2, 4
2020/1/11, 31, 12, 29, 24, 3, 4
2020/1/12, 26, 13, 27, 29, 4, 4
2020/1/13, 25, 9, 27, 16, 4, 3
2020/1/14, 25, 10, 23, 32, 4, 4
2020/1/15, 37, 16, 19, 12, 3, 4
2020/1/16, 43, 13, 24, 23, 2, 5
2020/1/17, 35, 20, 13, 30, 2, 6
2020/1/18, 48, 26, 12, 27, 3, 7
2020/1/19, 49, 44, 1, 39, 5, 11
2020/1/20, 69, 41, , 37, 5, 11
2020/1/21, 78, 30, 7, 32, 2, 5
2020/1/22, 83, 27, 14, 27, 1, 3
2020/1/23, 68, 27, 10, 36, 3, 4
2020/1/24, 41, 35, 16, 16, 3, 3
2020/1/25, 80, 27, 21, 15, 4, 4
2020/1/26, 63, 13, 27, 24, 5, 6
2020/1/27, 44, 16, 31, 37, 6, 10
2020/1/28, 29, 23, 25, 37, 5, 9
2020/1/29, 40, 15, 26, 31, 5, 7
2020/1/30, 29, 13, 24, 29, 5, 6
2020/1/31, 24, 22, 30, 29, 5, 7
2019/10/1, 47, 13, 20, 24, 1, 2
2019/10/2, 43, 24, 21, 43, 4, 5
2019/10/3, 56, 26, 20, 36, 3, 3
2019/10/4, 59, 19, 14, 27, 1, 2
2019/10/5, 48, 14, 25, 18, 1, 
2019/10/6, 45, 18, 20, 39, 3, 2
2019/10/7, 47, 26, 21, 40, 4, 3
2019/10/8, 52, 19, 23, 40, 3, 4
2019/10/9, 44, 22, 20, 41, 4, 4
2019/10/10, 45, 16, 25, 28, 1, 2
2019/10/11, 44, 15, 23, 48, 2, 3
2019/10/12, 46, 16, 28, 34, 2, 2
2019/10/13, 31, 21, 15, 36, 1, 2
2019/10/14, 41, 19, 19, 51, 4, 4
2019/10/15, 44, 23, 23, 47, 2, 4
2019/10/16, 54, 21, 23, 59, 1, 4
2019/10/17, 51, 20, 26, 48, 2, 3
2019/10/18, 49, 19, 24, 44, 2, 5
2019/10/19, 46, 17, 21, 26, 1, 3
2019/10/20, 55, 14, 26, 26, 1, 1
2019/10/21, 34, 27, 16, 52, 3, 6
2019/10/22, 43, 39, 6, 52, 2, 6
2019/10/23, 61, 32, 7, 42, 2, 5
2019/10/24, 48, 20, 29, 35, 2, 3
2019/10/25, 30, 18, 30, 28, 1, 2
2019/10/26, 45, 19, 19, 28, 1, 4
2019/10/27, 45, 39, 15, 46, 4, 4
2019/10/28, 38, 17, 24, 42, 4, 3
2019/10/29, 31, 24, 20, 41, 5, 5
2019/10/30, 45, 36, 8, 43, 6, 8
2019/10/31, 62, 41, 17, 43, 6, 6
2019/11/1, 51, 29, 24, 30, 6, 6
2019/11/2, 38, 32, 19, 40, 6, 8
2019/11/3, 58, 33, 15, 53, 6, 8
2019/11/4, 42, 20, 15, 30, 5, 5
2019/11/5, 55, 30, 15, 47, 6, 9
2019/11/6, 69, 19, 20, 51, 6, 10
2019/11/7, 42, 29, 11, 38, 7, 10
2019/11/8, 66, 32, 13, 45, 6, 8
2019/11/9, 55, 22, 18, 42, 6, 8
2019/11/10, 52, 19, 21, 38, 5, 9
2019/11/11, 37, 21, 22, 46, 4, 10
2019/11/12, 33, 20, 15, 53, 5, 11
2019/11/13, 50, 17, 24, 62, 4, 8
2019/11/14, 46, 19, 17, 31, 4, 6
2019/11/15, 50, 23, 9, 55, 4, 9
2019/11/16, 71, 33, 6, 57, 4, 12
2019/11/17, 81, 16, 16, 31, 2, 7
2019/11/18, 30, 39, 1, 45, 5, 14
2019/11/19, 72, 25, 19, 44, 3, 11
2019/11/20, 63, 30, 6, 37, 4, 11
2019/11/21, 68, 22, 18, 36, 3, 9
2019/11/22, 43, 23, 10, 26, 1, 7
2019/11/23, 57, 20, 10, 17, 1, 9
2019/11/24, 40, 17, 15, 20, 3, 7
2019/11/25, 42, 11, 21, 21, 1, 6
2019/11/26, 27, 15, 21, 21, 1, 7
2019/11/27, 38, 14, 14, 20, 1, 5
2019/11/28, 49, 21, 16, 31, , 5
2019/11/29, 61, 26, 9, 39, 1, 7
2019/11/30, 63, 12, 22, 27, , 4
2019/12/1, 34, 26, 10, 38, 2, 8
2019/12/2, 69, 35, 10, 47, 4, 9
2019/12/3, 53, 45, 7, 52, 5, 10
2019/12/4, 70, 40, 19, 42, 5, 9
2019/12/5, 48, 17, 25, 38, 3, 4
2019/12/6, 26, 18, 22, 32, 1, 5
2019/12/7, 41, 15, 29, 25, 1, 5
2019/12/8, 37, 17, 26, 27, 1, 6
2019/12/9, 37, 19, 24, 31, 1, 5
2019/12/10, 43, 22, 23, 39, 4, 7
2019/12/11, 43, 22, 19, 41, 3, 7
2019/12/12, 35, 18, 24, 34, 3, 5
2019/12/13, 38, 19, 30, 35, 1, 5
2019/12/14, 43, 15, 31, 31, 1, 4
2019/12/15, 39, 20, 26, 40, 3, 5
2019/12/16, 43, 17, 19, 40, 5, 6
2019/12/17, 54, 22, 18, 34, 3, 4
2019/12/18, 53, 19, 23, 32, 3, 3
2019/12/19, 53, 15, 22, 39, 5, 5
2019/12/20, 52, 14, 26, 34, 8, 4
2019/12/21, 42, 14, 25, 33, 8, 4
2019/12/22, 45, 18, 20, 33, 5, 5
2019/12/23, 47, 17, 26, 30, 1, 4
2019/12/24, 49, 16, 24, 28, 1, 6
2019/12/25, 49, 17, 23, 27, 1, 5
2019/12/26, 49, 20, 16, 25, 1, 5
2019/12/27, 64, 23, 17, 29, 1, 5
2019/12/28, 71, 23, 20, 26, 1, 5
2019/12/29, 70, , , , , 
2019/7/1, 40, 16, 29, 23, 1, 3
2019/7/2, 58, 19, 24, 30, 1, 4
2019/7/3, 44, 20, 33, 37, 1, 3
2019/7/4, 48, 22, 41, 44, 1, 3
2019/7/5, 61, 16, 21, 21, 2, 3
2019/7/6, 50, 17, 25, 26, 6, 3
2019/7/7, 49, 22, 33, 39, 3, 4
2019/7/8, 49, 20, 34, 42, 8, 3
2019/7/9, 49, 19, 37, 47, 6, 4
2019/7/10, 50, 16, 30, 33, 1, 3
2019/7/11, 43, 13, 25, 16, 1, 2
2019/7/12, 45, 15, 26, 19, 1, 3
2019/7/13, 52, 14, 23, 18, 1, 2
2019/7/14, 46, 17, 25, 23, 2, 2
2019/7/15, 41, 23, 38, 35, 2, 3
2019/7/16, 51, 25, 42, 60, 2, 4
2019/7/17, 57, 12, 24, 20, 1, 4
2019/7/18, 36, 8, 15, 22, 1, 5
2019/7/19, 22, 17, 24, 8, 1, 4
2019/7/20, 28, 12, 22, 15, , 5
2019/7/21, 24, 18, 20, 8, 1, 3
2019/7/22, 36, 28, 39, 40, 1, 4
2019/7/23, 50, 33, 26, 53, 2, 5
2019/7/24, 68, 34, 44, 37, 1, 4
2019/7/25, 64, 23, 14, 28, 1, 3
2019/7/26, 54, 14, 18, 24, 3, 3
2019/7/27, 37, 15, 24, 18, 5, 2
2019/7/28, 23, 17, 33, 14, 6, 2
2019/7/29, 41, 14, 24, 13, 2, 3
2019/7/30, 61, 12, 19, 13, 2, 3
2019/7/31, 32, 16, 21, 19, , 3
2019/8/1, 36, 23, 31, 20, , 3
2019/8/2, 47, 22, 32, 28, , 3
2019/8/3, 54, 22, 39, 30, , 4
2019/8/4, 59, 19, 27, 25, 1, 4
2019/8/5, 53, 21, 25, 26, 1, 3
2019/8/6, 50, 27, 23, 28, 1, 3
2019/8/7, 50, 19, 25, 33, 2, 3
2019/8/8, 48, 21, 25, 24, 1, 3
2019/8/9, 51, 23, 26, 18, , 2
