date, pm25, pm10, o3, no2, so2, co
2020/9/1, 54, 35, 36, 39, , 
2020/9/2, 53, 37, 33, 48, , 
2020/9/3, 54, 42, 36, 40, 1, 
2020/9/4, 50, 21, 25, 16, , 
2020/9/5, 33, 23, 24, 15, , 
2020/9/6, 28, 33, 27, 36, , 
2020/9/7, 48, 36, 25, 35, , 
2020/9/8, 54, 37, 28, 31, 1, 
2020/9/9, 51, 34, 19, 25, , 
2020/9/10, 49, 25, 11, 28, , 
2020/9/11, 49, , , , , 
2020/8/1, 53, 21, 29, 20, 1, 
2020/8/2, 46, 17, 28, 26, , 
2020/8/3, 44, 22, 41, 29, , 
2020/8/4, 50, 26, 44, 38, , 
2020/8/5, 58, 36, 64, 48, 1, 
2020/8/6, 60, 40, 59, 56, , 
2020/8/7, 61, 44, 71, 60, , 
2020/8/8, 65, 41, 61, 42, , 
2020/8/9, 70, 30, 64, 46, 1, 
2020/8/10, 55, 49, 63, 57, , 
2020/8/11, 73, 36, 54, 47, , 
2020/8/12, 60, 32, 38, 32, , 
2020/8/13, 48, 21, 32, 22, , 
2020/8/14, 48, 20, 40, 29, 1, 
2020/8/15, 44, 22, 39, 33, , 
2020/8/16, 52, 24, 26, 29, 1, 
2020/8/17, 41, 22, 28, 32, , 
2020/8/18, 35, 24, 24, 30, , 
2020/8/19, 32, 24, 40, 31, , 
2020/8/20, 35, 27, 30, 27, , 
2020/8/21, 41, 24, 29, 21, , 
2020/8/22, 32, 18, 26, 21, , 
2020/8/23, 26, 34, 25, 35, , 
2020/8/24, 36, 30, 27, 25, , 
2020/8/25, 42, 27, 25, 21, , 
2020/8/26, 36, 36, 26, 32, , 
2020/8/27, 49, 20, 20, 22, , 
2020/8/28, 30, 17, 22, 21, , 
2020/8/29, 30, 16, 25, 21, , 
2020/8/30, 30, 25, 27, 32, , 
2020/8/31, 38, 34, 30, 39, , 
2020/7/1, 41, 24, 22, 24, , 
2020/7/2, 39, 26, 25, 29, , 
2020/7/3, 41, 27, 21, 21, , 
2020/7/4, 40, 14, 15, 12, , 
2020/7/5, 31, 27, 26, 22, , 
2020/7/6, 41, 34, 35, 32, , 
2020/7/7, 42, 28, 25, 27, , 
2020/7/8, 38, 35, 25, 27, , 
2020/7/9, 37, 25, 29, 21, , 
2020/7/10, 34, 30, 32, 33, , 
2020/7/11, 42, 23, 37, 22, , 
2020/7/12, 42, 24, 44, 24, , 
2020/7/13, 46, 23, 33, 21, , 
2020/7/14, 39, 24, 25, 27, , 
2020/7/15, 40, 23, 20, 23, , 
2020/7/16, 39, 29, 27, 33, , 
2020/7/17, 43, 30, 35, 27, 1, 
2020/7/18, 52, 26, 35, 27, 1, 
2020/7/19, 39, 36, 32, 28, , 
2020/7/20, 44, 36, 35, 34, , 
2020/7/21, 43, 37, 35, 34, 1, 
2020/7/22, 50, 43, 43, 47, 1, 
2020/7/23, 58, 30, 31, 31, , 
2020/7/24, 44, 25, 24, 21, 1, 
2020/7/25, 39, 11, 23, 7, , 
2020/7/26, 42, 25, 34, 16, 1, 
2020/7/27, 49, 19, 28, 13, , 
2020/7/28, 45, 23, 35, 27, , 
2020/7/29, 40, 38, 43, 49, 1, 
2020/7/30, 58, 50, 54, 48, , 
2020/7/31, 68, 26, 31, 24, , 
2020/6/1, 51, 46, 51, 45, , 
2020/6/2, 76, 41, 58, 34, , 
2020/6/3, 65, 26, 40, 32, 2, 
2020/6/4, 54, 20, 26, 23, , 
2020/6/5, 35, 15, 24, 21, , 
2020/6/6, 27, 17, 22, 23, , 
2020/6/7, 37, 27, 23, 30, , 
2020/6/8, 47, 26, 30, 29, , 
2020/6/9, 43, 28, 36, 20, 1, 
2020/6/10, 54, 29, 25, 27, , 
2020/6/11, 57, 15, 27, 18, , 
2020/6/12, 50, 17, 30, 17, , 
2020/6/13, 43, 20, 29, 9, , 
2020/6/14, 44, 24, 28, 10, , 
2020/6/15, 40, 26, 28, 26, , 
2020/6/16, 44, 26, 26, 32, , 
2020/6/17, 46, 26, 27, 31, , 
2020/6/18, 48, 23, 25, 25, , 
2020/6/19, 46, 14, 32, 25, , 
2020/6/20, 47, 22, 20, 18, , 
2020/6/21, 49, 31, 34, 22, , 
2020/6/22, 54, 32, 48, 39, , 
2020/6/23, 63, 31, 53, 44, , 
2020/6/24, 60, 32, 60, 47, , 
2020/6/25, 61, 41, 39, 38, , 
2020/6/26, 64, 23, 28, 20, , 
2020/6/27, 46, 18, 27, 18, , 
2020/6/28, 33, 23, 28, 24, , 
2020/6/29, 37, 26, 22, 23, , 
2020/6/30, 38, 22, 15, 19, , 
2020/5/1, 25, 21, 37, 19, , 
2020/5/2, 35, 18, 27, 18, , 
2020/5/3, 40, 15, 28, 13, , 
2020/5/4, 48, 31, 24, 21, , 
2020/5/5, 66, 28, 44, 34, , 
2020/5/6, 52, 34, 48, 44, , 
2020/5/7, 54, 32, 55, 40, , 
2020/5/8, 61, 25, 38, 32, , 
2020/5/9, 55, 18, 32, 15, , 
2020/5/10, 42, 37, 31, 15, , 
2020/5/11, 51, 32, 30, 29, , 
2020/5/12, 43, 27, 38, 32, , 
2020/5/13, 65, 28, 35, 28, , 
2020/5/14, 49, 35, 37, 33, 1, 
2020/5/15, 53, 32, 41, 34, , 
2020/5/16, 55, 18, 43, 14, , 
2020/5/17, 38, 20, 38, 11, , 
2020/5/18, 33, 19, 32, 10, , 
2020/5/19, 30, 16, 34, 12, , 
2020/5/20, 24, 22, 53, 16, , 
2020/5/21, 41, 22, 31, 19, , 
2020/5/22, 39, 30, 30, 24, , 
2020/5/23, 45, 24, 32, 18, , 
2020/5/24, 43, 34, 34, 31, , 
2020/5/25, 58, 46, 40, 37, , 
2020/5/26, 59, 39, 46, 42, , 
2020/5/27, 71, 27, 39, 29, , 
2020/5/28, 46, 32, 41, 35, , 
2020/5/29, 47, 42, 42, 42, , 
2020/5/30, 59, 26, 35, 24, , 
2020/5/31, 39, 28, 40, 29, , 
2020/4/1, 65, 25, 31, 23, , 
2020/4/2, 61, 26, 28, 26, , 
2020/4/3, 53, 26, 37, 22, , 
2020/4/4, 60, 19, 39, 16, , 
2020/4/5, 50, 22, 32, 14, , 
2020/4/6, 51, 28, 40, 23, , 
2020/4/7, 64, 34, 49, 39, , 
2020/4/8, 68, 31, 49, 42, 1, 
2020/4/9, 77, 33, 53, 36, , 
2020/4/10, 75, 31, 51, 34, , 
2020/4/11, 64, 28, 47, 25, , 
2020/4/12, 63, 30, 32, 13, , 
2020/4/13, 67, 27, 36, 17, , 
2020/4/14, 42, 28, 40, 25, , 
2020/4/15, 48, 31, 40, 32, , 
2020/4/16, 53, 36, 40, 32, , 
2020/4/17, 59, 14, 34, 13, , 
2020/4/18, 22, 29, 41, 12, , 
2020/4/19, 67, 39, 39, 27, , 
2020/4/20, 78, 30, 40, 26, , 
2020/4/21, 48, 32, 45, 23, , 
2020/4/22, 54, 38, 54, 34, , 
2020/4/23, 70, 39, 55, 40, , 
2020/4/24, 66, 25, 40, 17, , 
2020/4/25, 57, 27, 44, 15, , 
2020/4/26, 57, 24, 38, 23, , 
2020/4/27, 45, 16, 36, 17, , 
2020/4/28, 30, 18, 33, 19, , 
2020/4/29, 32, 16, 31, 16, , 
2020/4/30, 26, 17, 32, 11, , 
2020/3/1, 41, 17, 24, 35, 1, 
2020/3/2, 43, 42, 29, 47, , 
2020/3/3, 53, 28, 20, 36, , 
2020/3/4, 45, 16, 21, 30, , 
2020/3/5, 39, 28, 27, 39, , 
2020/3/6, 54, 34, 27, 43, 1, 
2020/3/7, 62, 21, 28, 29, , 
2020/3/8, 47, 25, 26, 33, , 
2020/3/9, 42, 16, 25, 25, , 
2020/3/10, 28, 22, 27, 23, , 
2020/3/11, 28, 27, 28, 32, , 
2020/3/12, 39, 30, 27, 24, , 
2020/3/13, 41, 24, 21, 26, , 
2020/3/14, 49, 26, 28, 27, , 
2020/3/15, 54, 27, 18, 35, , 
2020/3/16, 62, 39, 16, 33, , 
2020/3/17, 80, 45, 29, 31, , 
2020/3/18, 98, 34, 31, 25, , 
2020/3/19, 76, 42, 17, 15, , 
2020/3/20, 98, 14, 22, 10, , 
2020/3/21, 40, 14, 32, 10, , 
2020/3/22, 44, 17, 31, 17, , 
2020/3/23, 43, 20, 33, 24, , 
2020/3/24, 46, 28, 35, 21, , 
2020/3/25, 63, 28, 35, 22, , 
2020/3/26, 65, 43, 33, 26, , 
2020/3/27, 86, 58, 35, 19, , 
2020/3/28, 128, 27, 33, 6, , 
2020/3/29, 36, 17, 33, 14, , 
2020/3/30, 34, 23, 34, 18, 1, 
2020/3/31, 56, 29, 36, 26, , 
2020/2/1, 36, 15, 22, 27, , 
2020/2/2, 33, 27, 27, 34, , 
2020/2/3, 40, 26, 27, 29, , 
2020/2/4, 45, 40, 20, 38, , 
2020/2/5, 57, 44, 15, 41, , 
2020/2/6, 67, 45, 9, 42, , 
2020/2/7, 72, 37, 16, 37, , 
2020/2/8, 70, 20, 25, 16, , 
2020/2/9, 37, 28, 29, 22, , 
2020/2/10, 48, 21, 29, 31, , 
2020/2/11, 34, 34, 25, 38, , 
2020/2/12, 48, 28, 27, 32, , 
2020/2/13, 46, 41, 25, 40, , 
2020/2/14, 57, 35, 23, 31, , 
2020/2/15, 61, 20, 24, 15, , 
2020/2/16, 40, 20, 28, 32, , 
2020/2/17, 34, 27, 25, 31, , 
2020/2/18, 40, 27, 26, 35, , 
2020/2/19, 45, 25, 23, 29, , 
2020/2/20, 43, 32, 23, 30, , 
2020/2/21, 45, 28, 22, 27, , 
2020/2/22, 49, 14, 21, 20, , 
2020/2/23, 31, 17, 18, 24, , 
2020/2/24, 27, 20, 27, 34, , 
2020/2/25, 34, 22, 26, 35, , 
2020/2/26, 36, 22, 21, 32, , 
2020/2/27, 42, 36, 17, 39, , 
2020/2/28, 58, 37, 30, 26, , 
2020/2/29, 53, 16, 28, 29, , 
2020/1/1, 92, 24, 9, 28, , 
2020/1/2, 62, 22, 20, 26, , 
2020/1/3, 43, 25, 18, 26, , 
2020/1/4, 41, 25, 19, 33, , 
2020/1/5, 54, 33, 18, 34, , 
2020/1/6, 66, 31, 14, 30, , 
2020/1/7, 63, 25, 16, 27, , 
2020/1/8, 49, 15, 18, 22, , 
2020/1/9, 43, 20, 23, 26, , 
2020/1/10, 35, 32, 22, 36, , 
2020/1/11, 62, 26, 18, 27, , 
2020/1/12, 60, 21, 19, 29, , 
2020/1/13, 45, 19, 22, 20, , 
2020/1/14, 37, 24, 21, 30, , 
2020/1/15, 52, 35, 15, 38, , 
2020/1/16, 64, 27, 24, 30, , 
2020/1/17, 42, 27, 20, 29, , 
2020/1/18, 52, 30, 19, 30, , 
2020/1/19, 55, 40, 14, 33, , 
2020/1/20, 65, 46, 6, 34, , 
2020/1/21, 84, 49, 4, 33, , 
2020/1/22, 101, 40, 7, 32, , 
2020/1/23, 86, 59, 2, 33, 1, 
2020/1/24, 128, 68, 1, 39, 1, 
2020/1/25, 145, 51, 10, 33, , 
2020/1/26, 124, 13, 22, 25, , 
2020/1/27, 46, 13, 29, 28, , 
2020/1/28, 30, 33, 27, 33, , 
2020/1/29, 38, 22, 15, 32, , 
2020/1/30, 39, 22, 19, 30, , 
2020/1/31, 28, 18, 24, 28, , 
2019/10/1, 41, 21, 23, 23, , 
2019/10/2, 37, 41, 16, 42, , 
2019/10/3, 63, 33, 22, 29, , 
2019/10/4, 49, 24, 18, 32, , 
2019/10/5, 48, 19, 26, 26, , 
2019/10/6, 43, 26, 25, 25, , 
2019/10/7, 40, 16, 21, 26, , 
2019/10/8, 38, 31, 23, 24, , 
2019/10/9, 44, 31, 22, 27, 1, 
2019/10/10, 44, 32, 23, 34, , 
2019/10/11, 56, 35, 19, 36, , 
2019/10/12, 63, 28, 26, 25, 1, 
2019/10/13, 53, 34, 26, 33, 1, 
2019/10/14, 44, 9, 27, 9, , 
2019/10/15, 35, 6, 19, 4, , 
2019/10/16, 28, 19, 22, 25, , 
2019/10/17, 44, 25, 28, 30, , 
2019/10/18, 43, 31, 24, 38, , 
2019/10/19, 52, 22, 17, 34, , 
2019/10/20, 59, 24, 23, 35, , 
2019/10/21, 49, 41, 8, 38, , 
2019/10/22, 80, 36, 8, 26, , 
2019/10/23, 69, 32, 20, 28, , 
2019/10/24, 63, 17, 14, 19, , 
2019/10/25, 49, 25, 17, 32, , 
2019/10/26, 55, 22, 19, 30, , 
2019/10/27, 55, 30, 16, 30, , 
2019/10/28, 55, 34, 13, 29, , 
2019/10/29, 56, 37, 8, 26, , 
2019/10/30, 77, 39, 3, 23, , 
2019/10/31, 80, 21, 14, 26, , 
2019/11/1, 57, 17, 26, 20, , 
2019/11/2, 37, 14, 22, 29, , 
2019/11/3, 41, 22, 23, 28, , 
2019/11/4, 38, 19, 22, 20, , 
2019/11/5, 49, 13, 13, 13, , 
2019/11/6, 58, 9, 22, 8, , 
2019/11/7, 40, 19, 11, 23, , 
2019/11/8, 53, 32, 15, 30, , 
2019/11/9, 70, 25, 9, 31, , 
2019/11/10, 68, 19, 21, 29, , 
2019/11/11, 52, 22, 21, 40, , 
2019/11/12, 50, 29, 19, 32, , 
2019/11/13, 51, 25, 21, 39, , 
2019/11/14, 51, 24, 8, 36, , 
2019/11/15, 63, 20, 12, 28, , 
2019/11/16, 59, 29, 11, 32, , 
2019/11/17, 71, 29, 8, 30, 1, 
2019/11/18, 66, 36, 16, 39, 1, 
2019/11/19, 72, 31, 12, 33, , 
2019/11/20, 69, 32, 9, 33, , 
2019/11/21, 71, 24, 18, 33, , 
2019/11/22, 49, 20, 16, 24, , 
2019/11/23, 48, 27, 19, 30, , 
2019/11/24, 62, 24, 20, 24, , 
2019/11/25, 46, 19, 26, 27, , 
2019/11/26, 37, 12, 29, 19, , 
2019/11/27, 27, 22, 27, 26, , 
2019/11/28, 38, 25, 25, 28, , 
2019/11/29, 45, 32, 25, 33, , 
2019/11/30, 58, 25, 16, 24, , 
2019/12/1, 61, 36, 7, 32, , 
2019/12/2, 74, 38, 2, 34, , 
2019/12/3, 82, 40, 3, 36, , 
2019/12/4, 96, 42, 2, 29, , 
2019/12/5, 107, 29, 10, 30, , 
2019/12/6, 77, 23, 17, 32, , 
2019/12/7, 48, 18, 25, 22, , 
2019/12/8, 39, 19, 28, 25, , 
2019/12/9, 34, 41, 12, 36, , 
2019/12/10, 66, 26, 18, 33, , 
2019/12/11, 45, 17, 21, 33, , 
2019/12/12, 44, 22, 28, 27, , 
2019/12/13, 36, 23, 31, 27, , 
2019/12/14, 43, 20, 30, 29, , 
2019/12/15, 44, 23, 19, 39, , 
2019/12/16, 60, 28, 15, 37, , 
2019/12/17, 58, 32, 18, 31, , 
2019/12/18, 61, 37, 10, 37, , 
2019/12/19, 66, 20, 24, 32, , 
2019/12/20, 41, 22, 23, 31, , 
2019/12/21, 50, 17, 28, 24, , 
2019/12/22, 36, 22, 26, 24, , 
2019/12/23, 37, 23, 25, 26, , 
2019/12/24, 45, 20, 26, 24, , 
2019/12/25, 47, 26, 19, 34, , 
2019/12/26, 56, 18, 24, 24, , 
2019/12/27, 43, 24, 16, 31, , 
2019/12/28, 61, 40, 6, 31, , 
2019/12/29, 92, , , , , 
2019/7/1, 44, 39, 39, 35, , 
2019/7/2, 70, 43, 39, 35, , 
2019/7/3, 51, 47, 43, 37, , 
2019/7/4, 48, 46, 45, 50, , 
2019/7/5, 56, 35, 63, 44, , 
2019/7/6, 62, 26, 37, 36, , 
2019/7/7, 59, 29, 36, 34, , 
2019/7/8, 53, 37, 34, 35, , 
2019/7/9, 52, 50, 45, 51, , 
2019/7/10, 102, 54, 42, 57, , 
2019/7/11, 69, 47, 34, 31, , 
2019/7/12, 47, 34, 32, 25, , 
2019/7/13, 53, 61, 27, 27, , 
2019/7/14, 53, 24, 35, 33, , 
2019/7/15, 54, 33, 42, 41, , 
2019/7/16, 63, 35, 45, 44, , 
2019/7/17, 63, 28, 31, 33, , 
2019/7/18, 50, 19, 29, 23, , 
2019/7/19, 43, 27, 19, 23, , 
2019/7/20, 48, 30, 27, 15, , 
2019/7/21, 47, 50, 53, 33, , 
2019/7/22, 59, 64, 48, 46, , 
2019/7/23, 66, 53, 68, 56, , 
2019/7/24, 70, 76, 56, 70, , 
2019/7/25, 88, 46, 39, 26, , 
2019/7/26, 62, 23, 26, 20, , 
2019/7/27, 40, 34, 28, 24, , 
2019/7/28, 48, 56, 38, 40, , 
2019/7/29, 56, 44, 25, 29, , 
2019/7/30, 49, 27, 24, 27, , 
2019/7/31, 41, 39, 35, 41, , 
2019/8/1, 51, 42, 37, 33, , 
2019/8/2, 49, 49, 35, 38, , 
2019/8/3, 61, 35, 46, 41, , 
2019/8/4, 61, 37, 30, 30, , 
2019/8/5, 47, 21, 18, 27, , 
2019/8/6, 47, 23, 27, 29, , 
2019/8/7, 42, 29, 31, 35, , 
2019/8/8, 53, 25, 20, 29, , 
2019/8/9, 55, 27, 28, 18, , 
2019/8/10, 44, 29, 24, 23, , 
2019/8/11, 47, 25, 25, 26, , 
2019/8/12, 41, 27, 24, 21, , 
2019/8/13, 38, 27, 25, 25, , 
2019/8/14, 46, 23, 21, 14, , 
2019/8/15, 31, 30, 24, 25, , 
2019/8/16, 43, 17, 17, 22, , 
2019/8/17, 43, 14, 23, 22, , 
