date, pm25, pm10, o3, no2, so2, co, psi
2020/9/1, 51, 26, 12, , 2, 3, 
2020/9/2, 47, 24, 7, , 3, 4, 
2020/9/3, 41, 21, 6, , 2, 3, 
2020/9/4, 31, 21, 2, , 2, 5, 
2020/9/5, 59, , , , , , 
2020/8/1, 65, 27, 23, , 1, 4, 
2020/8/2, 72, 24, 20, , 2, , 
2020/8/3, 61, 19, 7, , 4, , 
2020/8/4, 42, 15, 12, , 4, , 
2020/8/5, 39, 16, 11, , 1, , 
2020/8/6, 46, 19, 15, , 2, , 
2020/8/7, 55, 19, 15, , 2, 4, 
2020/8/8, 51, 21, 15, , 2, 4, 
2020/8/9, 59, 24, 18, , 1, 4, 
2020/8/10, 68, 26, 17, , 1, 4, 
2020/8/11, 73, 27, 11, , 1, 4, 
2020/8/12, 57, 20, 12, , 2, 4, 
2020/8/13, 48, 17, 6, , 2, 4, 
2020/8/14, 48, 20, 14, , 2, 6, 
2020/8/15, 57, 18, 15, , 3, 4, 
2020/8/16, 46, 16, 8, , 2, 5, 
2020/8/17, 37, 17, 10, , 3, 4, 
2020/8/18, 47, 18, 8, , 2, 4, 
2020/8/19, 44, 18, 9, , 2, 4, 
2020/8/20, 48, 18, 17, , 2, 4, 
2020/8/21, 47, 22, 14, , 2, 4, 
2020/8/22, 48, 22, 4, , 3, 5, 
2020/8/23, 47, 19, 15, , 2, 6, 
2020/8/24, 39, 19, 9, , 1, 5, 
2020/8/25, 34, 19, 10, , 1, 3, 
2020/8/26, 32, 20, 13, , 1, 3, 
2020/8/27, 43, 22, 15, , 1, 3, 
2020/8/28, 52, 23, 9, , 1, 5, 
2020/8/29, 52, 21, 13, , 2, 4, 
2020/8/30, 41, 21, 14, , 2, 4, 
2020/8/31, 48, 24, 11, , , , 
2020/7/1, 37, 24, 13, , 2, 3, 
2020/7/2, 30, 20, 12, , 3, 4, 
2020/7/3, 27, 21, 12, , 3, 3, 
2020/7/4, 27, 23, 15, , 3, 3, 
2020/7/5, 34, 23, 13, , 3, 3, 
2020/7/6, 34, 23, 8, , 3, 4, 
2020/7/7, 28, 25, 6, , 6, 4, 
2020/7/8, 37, 25, 4, , 10, 3, 
2020/7/9, 30, 24, 11, , 5, 3, 
2020/7/10, 35, 26, 7, , 3, 4, 
2020/7/11, 36, 28, 10, , 3, 4, 
2020/7/12, 34, 25, 6, , 3, 3, 
2020/7/13, 27, 23, 7, , 4, 3, 
2020/7/14, 30, 23, 6, , 3, , 
2020/7/15, 28, 24, 11, , 4, 4, 
2020/7/16, 31, 24, 11, , 4, 4, 
2020/7/17, 26, 23, 7, , 4, 4, 
2020/7/18, 30, 28, 12, , 4, 5, 
2020/7/19, 38, 23, 12, , 3, 3, 
2020/7/20, 27, 23, 14, , 2, 4, 
2020/7/21, 31, 24, 8, , 3, , 
2020/7/22, 31, 26, 8, , 2, 4, 
2020/7/23, 35, 25, 8, , 2, 3, 
2020/7/24, 36, 17, 7, , 3, 3, 
2020/7/25, 35, 17, 13, , 2, 3, 
2020/7/26, 49, 21, 12, , 2, 4, 
2020/7/27, 51, 18, 12, , 2, 3, 
2020/7/28, 50, 22, 8, , 2, 4, 
2020/7/29, 56, 27, 13, , 2, 5, 
2020/7/30, 67, 23, 16, , 2, 4, 
2020/7/31, 61, 24, 19, , 3, 4, 
2020/6/1, 41, 21, 17, , 3, 5, 
2020/6/2, 28, 19, 12, , 4, 5, 
