date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20201030,0,PM2.5,59,52,61,56,60,53,51,42,,72,55,53,62,52,51,92,70,39,46,49,49,56,46,40,42,42,71,58,58,70,56,46,66,61,54
20201030,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,0,PM10,113,71,109,90,124,88,100,106,,170,109,105,159,103,110,323,110,67,67,59,58,77,65,59,58,52,134,119,112,120,93,78,95,138,132
20201030,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,0,AQI,82,71,83,76,87,73,75,78,,110,80,78,105,77,80,187,94,59,64,68,68,76,64,56,59,59,95,85,81,94,76,64,89,94,91
20201030,1,PM2.5,64,50,54,64,53,54,52,37,,75,40,54,68,53,51,102,71,40,50,49,44,53,46,39,37,40,71,55,59,62,56,44,56,64,62
20201030,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,1,PM10,125,69,89,102,122,95,96,94,,205,76,103,141,111,103,386,125,65,73,63,65,76,77,59,54,53,113,116,112,118,104,81,95,174,148
20201030,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,1,AQI,88,69,74,86,86,74,73,72,,128,63,77,96,81,77,251,95,58,69,68,61,73,64,55,53,56,95,83,81,84,77,66,76,112,99
20201030,2,PM2.5,73,50,50,61,57,67,50,38,,70,37,48,59,53,52,103,63,41,42,54,41,50,49,40,35,39,67,58,61,54,59,43,55,64,66
20201030,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,2,PM10,163,77,90,102,102,124,101,86,,199,56,91,135,102,98,315,109,64,71,63,49,67,77,59,53,60,103,106,110,85,110,81,90,172,217
20201030,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,2,AQI,107,69,70,83,78,90,76,68,,125,53,71,93,76,74,183,85,58,61,74,58,69,68,56,52,55,90,79,83,74,80,66,75,111,134
20201030,3,PM2.5,61,49,51,51,55,66,47,38,,56,35,51,56,56,52,96,58,42,39,49,41,50,50,41,38,37,67,54,60,55,57,46,59,59,57
20201030,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,3,PM10,105,81,84,86,88,116,89,82,,143,53,110,129,99,89,250,80,65,56,53,50,63,72,58,59,46,107,110,92,71,98,76,70,141,151
20201030,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,3,AQI,83,68,70,70,75,89,70,66,,97,52,80,90,76,71,150,79,59,55,68,58,69,69,58,55,53,90,80,81,75,78,64,80,96,101
20201030,4,PM2.5,52,54,49,50,47,60,49,35,,50,36,51,52,58,53,95,54,44,41,49,40,49,51,43,36,40,70,55,57,56,55,48,62,52,54
20201030,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,4,PM10,66,71,73,72,76,93,90,84,,106,56,109,100,106,89,348,73,68,55,58,50,70,91,61,56,54,101,100,85,98,67,76,,113,110
20201030,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,4,AQI,71,74,68,69,65,81,70,67,,78,53,80,75,79,73,199,74,61,58,68,56,68,71,60,53,56,94,75,78,76,75,66,84,82,80
20201030,5,PM2.5,45,53,48,47,47,48,42,40,,49,35,48,54,58,51,117,51,40,44,49,40,45,52,38,39,42,70,51,60,51,54,43,50,50,54
20201030,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,5,PM10,60,75,66,59,70,75,78,81,,112,53,93,94,115,86,421,72,61,59,60,48,59,99,57,63,50,112,83,90,88,54,64,72,92,99
20201030,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201030,5,AQI,63,73,66,65,65,66,64,66,,81,52,72,74,83,70,301,70,56,61,68,56,63,75,54,57,59,94,70,81,70,74,60,69,71,75
20201030,6,PM2.5,49,45,42,45,57,45,45,39,,49,36,50,51,56,61,104,44,40,45,47,40,44,51,37,38,42,64,50,57,50,48,41,57,47,51
20201030,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
