date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200915,0,SO2,1,1,3,3,3,3,3,3,,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,,4,3,3,4
20200915,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,0,NO2,17,20,17,24,19,40,27,14,,40,11,19,24,25,46,32,21,25,18,14,19,9,15,19,46,6,29,34,13,11,,26,29,34,65
20200915,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,0,O3,51,39,68,46,58,22,65,64,,39,47,47,53,41,9,23,39,31,51,37,45,79,66,49,40,74,21,2,25,46,,45,48,33,3
20200915,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,0,CO,0.7,0.6,0.6,0.6,0.6,0.7,0.5,0.6,,0.7,0.5,0.6,0.3,0.7,0.8,0.9,0.6,0.6,0.5,0.9,0.5,0.4,0.6,0.6,0.5,0.4,0.6,1,0.6,0.6,,0.6,0.5,0.7,0.7
20200915,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,1,SO2,1,1,1,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,,4,3,1,3
20200915,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,1,NO2,34,44,17,26,19,36,29,12,,33,16,22,26,34,34,38,24,24,14,11,14,20,11,19,47,4,32,32,15,14,,29,28,36,61
20200915,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,1,O3,22,17,70,38,56,21,47,67,,43,37,41,42,25,14,15,33,27,62,28,55,55,66,48,36,72,16,3,25,40,,42,39,23,6
20200915,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,1,CO,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.6,,0.7,0.6,0.6,0.4,0.7,0.8,0.9,0.6,0.6,0.5,0.9,0.5,0.4,0.5,0.6,0.5,0.4,0.6,1.1,0.6,0.6,,0.5,0.6,0.7,0.7
20200915,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,2,SO2,1,1,1,3,3,3,3,1,,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,1,,4,3,3,3
20200915,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,2,NO2,27,52,14,22,29,30,25,16,,33,19,20,24,31,45,37,16,25,26,9,18,19,18,20,57,5,31,33,16,24,,29,22,38,62
20200915,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,2,O3,34,6,74,52,44,27,56,61,,43,41,43,50,39,4,18,53,22,34,31,53,55,51,42,29,61,14,6,38,28,,42,56,32,4
20200915,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,2,CO,0.8,0.7,0.6,0.6,0.6,0.8,0.7,0.6,,0.7,0.6,0.6,0.4,0.7,0.9,0.9,0.7,0.6,0.5,0.9,0.6,0.4,0.5,0.6,0.4,0.5,0.7,1.2,0.6,0.6,,0.6,0.5,0.7,0.8
20200915,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,3,SO2,1,1,1,3,3,3,3,3,,3,1,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,3,3,,3,3,1,3
20200915,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
