date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210219,0,PM2.5,63,68,44,56,58,59,33,31,41,42,50,35,28,40,35,32,31,33,26,42,45,49,61,60,63,76,69,84,75,76,72,38,41,49,43
20210219,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210219,0,PM10,78,68,53,64,65,76,47,,45,54,86,42,31,,37,,42,,33,48,52,67,,73,77,102,70,90,91,91,88,43,50,71,53
20210219,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210219,0,AQI,85,92,62,77,79,80,48,45,58,59,69,50,40,57,50,46,45,48,38,59,63,68,83,82,85,102,93,112,100,102,97,54,58,68,60
20210219,1,PM2.5,56,60,42,52,47,57,29,30,37,38,47,40,32,38,32,41,58,29,26,43,45,51,59,51,56,67,69,88,75,74,68,34,35,56,42
20210219,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210219,1,PM10,71,,50,61,55,70,46,,42,50,61,59,36,50,34,45,,30,33,47,46,60,,60,66,77,73,105,97,90,91,41,46,63,54
20210219,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210219,1,AQI,77,82,59,72,65,78,46,43,53,54,65,57,46,54,46,58,79,42,38,60,63,70,80,70,77,90,93,117,100,99,92,49,50,77,59
20210219,2,PM2.5,55,55,37,51,44,50,31,32,39,35,41,41,32,38,66,44,47,28,26,42,45,55,54,53,56,66,63,90,73,69,72,33,33,48,45
20210219,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210219,2,PM10,67,,48,56,50,63,38,33,46,44,48,61,,42,,47,,32,35,,,65,,64,63,72,66,93,92,80,94,36,45,63,52
20210219,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
