"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","64","PM2.5","Royal Palm Beach","12-099-0009","AQS"
"01/02/2011","68","PM2.5","Belle Glade","12-099-0008","AQS"
"01/03/2011","50","PM2.5","Miami Fire Station","12-086-1016","AQS"
"01/04/2011","45","PM2.5","Belle Glade","12-099-0008","AQS"
"01/05/2011","51","PM2.5","Belle Glade","12-099-0008","AQS"
"01/06/2011","38","Ozone","Rosenstiel","12-086-0027","AQS"
"01/07/2011","43","Ozone","Rosenstiel","12-086-0027","AQS"
"01/08/2011","51","Ozone","Rosenstiel","12-086-0027","AQS"
"01/09/2011","61","Ozone","Rosenstiel","12-086-0027","AQS"
"01/10/2011","49","Ozone","Rosenstiel","12-086-0027","AQS"
"01/11/2011","55","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"01/12/2011","42","PM2.5","Miami Fire Station","12-086-1016","AQS"
"01/13/2011","46","PM2.5","Vista View Park","12-011-0033","AQS"
"01/14/2011","45","Ozone","AG Holley","12-099-0020","AQS"
"01/15/2011","48","PM2.5","U of F Ag Research Center","12-011-1002","AQS"
"01/16/2011","45","PM2.5","Royal Palm Beach","12-099-0009","AQS"
"01/17/2011","38","Ozone","Rosenstiel","12-086-0027","AQS"
"01/18/2011","35","PM2.5","Miami Fire Station","12-086-1016","AQS"
"01/19/2011","53","PM2.5","Vista View Park","12-011-0033","AQS"
"01/20/2011","62","NO2","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/21/2011","40","PM2.5","Miami Fire Station","12-086-1016","AQS"
"01/22/2011","38","PM2.5","Royal Palm Beach","12-099-0009","AQS"
"01/23/2011","46","Ozone","Rosenstiel","12-086-0027","AQS"
"01/24/2011","60","PM2.5","Belle Glade","12-099-0008","AQS"
"01/25/2011","41","Ozone","Rosenstiel","12-086-0027","AQS"
"01/26/2011","33","Ozone","Royal Palm Beach","12-099-0009","AQS"
"01/27/2011","44","Ozone","Vista View Park","12-011-0033","AQS"
"01/28/2011","52","PM2.5","U of F Ag Research Center","12-011-1002","AQS"
"01/29/2011","87","Ozone","Rosenstiel","12-086-0027","AQS"
"01/30/2011","71","Ozone","Perdue","12-086-0029","AQS"
"01/31/2011","46","PM2.5","Miami Fire Station","12-086-1016","AQS"
"02/01/2011","40","PM2.5","Belle Glade","12-099-0008","AQS"
"02/02/2011","37","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"02/03/2011","44","PM2.5","Belle Glade","12-099-0008","AQS"
"02/04/2011","33","PM2.5","Miami Fire Station","12-086-1016","AQS"
"02/05/2011","35","Ozone","Rosenstiel","12-086-0027","AQS"
"02/06/2011","46","PM2.5","Belle Glade","12-099-0008","AQS"
"02/07/2011","52","PM2.5","Belle Glade","12-099-0008","AQS"
"02/08/2011","48","PM2.5","U of F Ag Research Center","12-011-1002","AQS"
"02/09/2011","63","PM2.5","Belle Glade","12-099-0008","AQS"
"02/10/2011","58","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
