"Date","Nitrogen Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2011","25","","Lab Annex","12-086-4002","AQS"
"01/02/2011","31","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/03/2011","31","","Lab Annex","12-086-4002","AQS"
"01/04/2011","29","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/05/2011","35","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/06/2011","31","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/07/2011","38","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/08/2011","42","","Lab Annex","12-086-4002","AQS"
"01/09/2011","36","","Rosenstiel","12-086-0027","AQS"
"01/10/2011","31","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"01/11/2011","32","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/12/2011","29","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/13/2011","20","","Lab Annex","12-086-4002","AQS"
"01/14/2011","34","","Rosenstiel","12-086-0027","AQS"
"01/15/2011","40","","Lab Annex","12-086-4002","AQS"
"01/16/2011","31","","Lab Annex","12-086-4002","AQS"
"01/17/2011","32","","Lab Annex","12-086-4002","AQS"
"01/18/2011","25","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/19/2011","29","","AG Holley","12-099-0020","AQS"
"01/20/2011","62","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/21/2011","25","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/22/2011","27","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/23/2011","30","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/24/2011","35","","Lab Annex","12-086-4002","AQS"
"01/25/2011","14","","Lab Annex","12-086-4002","AQS"
"01/26/2011","27","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/27/2011","41","","AG Holley","12-099-0020","AQS"
"01/28/2011","47","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"01/29/2011","45","","AG Holley","12-099-0020","AQS"
"01/30/2011","38","","Rosenstiel","12-086-0027","AQS"
"01/31/2011","28","","AG Holley","12-099-0020","AQS"
"02/01/2011","4","","AG Holley","12-099-0020","AQS"
"02/02/2011","21","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"02/03/2011","20","","Rosenstiel","12-086-0027","AQS"
"02/04/2011","19","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"02/05/2011","25","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"02/06/2011","27","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"02/07/2011","26","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"02/08/2011","29","","Lab Annex","12-086-4002","AQS"
"02/09/2011","30","","Lab Annex","12-086-4002","AQS"
"02/10/2011","24","","AG Holley","12-099-0020","AQS"
"02/11/2011","28","","Rosenstiel","12-086-0027","AQS"
"02/12/2011","26","","Rosenstiel","12-086-0027","AQS"
"02/13/2011","29","","Rosenstiel","12-086-0027","AQS"
"02/14/2011","43","","Lab Annex","12-086-4002","AQS"
"02/15/2011","50","","Lab Annex","12-086-4002","AQS"
"02/16/2011","31","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"02/17/2011","23","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"02/18/2011","25","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"02/19/2011","36","","Lab Annex","12-086-4002","AQS"
"02/20/2011","34","","Lab Annex","12-086-4002","AQS"
"02/21/2011","26","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"02/22/2011","28","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"02/23/2011","27","","Lab Annex","12-086-4002","AQS"
"02/24/2011","28","","Lab Annex","12-086-4002","AQS"
"02/25/2011","37","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"02/26/2011","34","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"02/27/2011","23","","Lab Annex","12-086-4002","AQS"
"02/28/2011","25","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/01/2011","30","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/02/2011","14","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"03/03/2011","20","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"03/04/2011","9","","Lab Annex","12-086-4002","AQS"
"03/05/2011","13","","Lab Annex","12-086-4002","AQS"
"03/06/2011","22","","AG Holley","12-099-0020","AQS"
"03/07/2011","26","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/08/2011","18","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"03/09/2011","19","","Lab Annex","12-086-4002","AQS"
"03/10/2011","34","","Lab Annex","12-086-4002","AQS"
"03/11/2011","50","","Lab Annex","12-086-4002","AQS"
"03/12/2011","44","","Lab Annex","12-086-4002","AQS"
"03/13/2011","24","","AG Holley","12-099-0020","AQS"
"03/14/2011","44","","Lab Annex","12-086-4002","AQS"
"03/15/2011","24","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"03/16/2011","38","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/17/2011","42","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/18/2011","43","","Lab Annex","12-086-4002","AQS"
"03/19/2011","43","","Lab Annex","12-086-4002","AQS"
"03/20/2011","43","","Lab Annex","12-086-4002","AQS"
"03/21/2011","12","","Lab Annex","12-086-4002","AQS"
"03/22/2011","45","","Lab Annex","12-086-4002","AQS"
"03/23/2011","37","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/24/2011","41","","Lab Annex","12-086-4002","AQS"
"03/25/2011","26","","Lab Annex","12-086-4002","AQS"
"03/26/2011","28","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/27/2011","31","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/28/2011","17","","Lab Annex","12-086-4002","AQS"
"03/29/2011","20","","Lab Annex","12-086-4002","AQS"
"03/30/2011","18","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"03/31/2011","24","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"04/01/2011","28","","AG Holley","12-099-0020","AQS"
"04/02/2011","38","","Lab Annex","12-086-4002","AQS"
"04/03/2011","32","","Rosenstiel","12-086-0027","AQS"
"04/04/2011","23","","Lab Annex","12-086-4002","AQS"
"04/05/2011","23","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"04/06/2011","21","","Lab Annex","12-086-4002","AQS"
"04/07/2011","22","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"04/08/2011","22","","Lab Annex","12-086-4002","AQS"
"04/09/2011","20","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"04/10/2011","24","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"04/11/2011","27","","Lab Annex","12-086-4002","AQS"
