"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/03/2011","25","","Jersey City Firehouse","34-017-1003","AQS"
"01/09/2011","20","","Jersey City Firehouse","34-017-1003","AQS"
"01/15/2011","35","","Jersey City Firehouse","34-017-1003","AQS"
"01/21/2011","21","","Jersey City Firehouse","34-017-1003","AQS"
"01/27/2011","18","","Jersey City Firehouse","34-017-1003","AQS"
"02/02/2011","15","","Jersey City Firehouse","34-017-1003","AQS"
"02/08/2011","19","","Jersey City Firehouse","34-017-1003","AQS"
"02/14/2011","30","","Jersey City Firehouse","34-017-1003","AQS"
"02/20/2011","31","","Jersey City Firehouse","34-017-1003","AQS"
"02/26/2011","14","","Jersey City Firehouse","34-017-1003","AQS"
"03/04/2011","23","","Jersey City Firehouse","34-017-1003","AQS"
"03/10/2011","28","","Jersey City Firehouse","34-017-1003","AQS"
"03/16/2011","10","","Jersey City Firehouse","34-017-1003","AQS"
"03/22/2011","22","","Jersey City Firehouse","34-017-1003","AQS"
"03/28/2011","23","","Jersey City Firehouse","34-017-1003","AQS"
"04/03/2011","17","","Jersey City Firehouse","34-017-1003","AQS"
"04/09/2011","31","","Jersey City Firehouse","34-017-1003","AQS"
"04/15/2011","23","","Jersey City Firehouse","34-017-1003","AQS"
"04/21/2011","25","","Jersey City Firehouse","34-017-1003","AQS"
"04/27/2011","22","","Jersey City Firehouse","34-017-1003","AQS"
"05/03/2011","35","","Jersey City Firehouse","34-017-1003","AQS"
"05/09/2011","44","","Jersey City Firehouse","34-017-1003","AQS"
"05/15/2011","40","","Jersey City Firehouse","34-017-1003","AQS"
"05/21/2011","32","","Jersey City Firehouse","34-017-1003","AQS"
"05/27/2011","41","","Jersey City Firehouse","34-017-1003","AQS"
"06/02/2011","49","","Jersey City Firehouse","34-017-1003","AQS"
"06/08/2011","55","","Jersey City Firehouse","34-017-1003","AQS"
"06/14/2011","22","","Jersey City Firehouse","34-017-1003","AQS"
"06/20/2011","36","","Jersey City Firehouse","34-017-1003","AQS"
"06/26/2011","19","","Jersey City Firehouse","34-017-1003","AQS"
"07/02/2011","53","","Jersey City Firehouse","34-017-1003","AQS"
"07/08/2011","50","","Jersey City Firehouse","34-017-1003","AQS"
"07/14/2011","54","","Jersey City Firehouse","34-017-1003","AQS"
"07/20/2011","52","","Jersey City Firehouse","34-017-1003","AQS"
"07/26/2011","32","","Jersey City Firehouse","34-017-1003","AQS"
"08/01/2011","31","","Jersey City Firehouse","34-017-1003","AQS"
"08/07/2011","21","","Jersey City Firehouse","34-017-1003","AQS"
"08/13/2011","30","","Jersey City Firehouse","34-017-1003","AQS"
"08/19/2011","27","","Jersey City Firehouse","34-017-1003","AQS"
"08/25/2011","19","","Jersey City Firehouse","34-017-1003","AQS"
"08/31/2011","29","","Jersey City Firehouse","34-017-1003","AQS"
"09/06/2011","8","","Jersey City Firehouse","34-017-1003","AQS"
"09/12/2011","28","","Jersey City Firehouse","34-017-1003","AQS"
"09/18/2011","22","","Jersey City Firehouse","34-017-1003","AQS"
"09/24/2011","52","","Jersey City Firehouse","34-017-1003","AQS"
"09/30/2011","44","","Jersey City Firehouse","34-017-1003","AQS"
"10/06/2011","55","","Jersey City Firehouse","34-017-1003","AQS"
"10/12/2011","53","","Jersey City Firehouse","34-017-1003","AQS"
"10/18/2011","50","","Jersey City Firehouse","34-017-1003","AQS"
"10/24/2011","28","","Jersey City Firehouse","34-017-1003","AQS"
"10/30/2011","15","","Jersey City Firehouse","34-017-1003","AQS"
"11/05/2011","23","","Jersey City Firehouse","34-017-1003","AQS"
"11/11/2011","20","","Jersey City Firehouse","34-017-1003","AQS"
"11/17/2011","26","","Jersey City Firehouse","34-017-1003","AQS"
"11/23/2011","15","","Jersey City Firehouse","34-017-1003","AQS"
"11/29/2011","20","","Jersey City Firehouse","34-017-1003","AQS"
"12/05/2011","33","","Jersey City Firehouse","34-017-1003","AQS"
"12/11/2011","14","","Jersey City Firehouse","34-017-1003","AQS"
"12/17/2011","14","","Jersey City Firehouse","34-017-1003","AQS"
"12/23/2011","9","","Jersey City Firehouse","34-017-1003","AQS"
"12/29/2011","11","","Jersey City Firehouse","34-017-1003","AQS"
"01/04/2012","10","","Jersey City Firehouse","34-017-1003","AQS"
"01/10/2012","23","","Jersey City Firehouse","34-017-1003","AQS"
"01/16/2012","15","","Jersey City Firehouse","34-017-1003","AQS"
"01/22/2012","16","","Jersey City Firehouse","34-017-1003","AQS"
"01/28/2012","12","","Jersey City Firehouse","34-017-1003","AQS"
"02/03/2012","17","","Jersey City Firehouse","34-017-1003","AQS"
"02/09/2012","26","","Jersey City Firehouse","34-017-1003","AQS"
"02/15/2012","31","","Jersey City Firehouse","34-017-1003","AQS"
"02/21/2012","30","","Jersey City Firehouse","34-017-1003","AQS"
"02/27/2012","34","","Jersey City Firehouse","34-017-1003","AQS"
"03/04/2012","23","","Jersey City Firehouse","34-017-1003","AQS"
"03/10/2012","31","","Jersey City Firehouse","34-017-1003","AQS"
"03/16/2012","44","","Jersey City Firehouse","34-017-1003","AQS"
"03/22/2012","48","","Jersey City Firehouse","34-017-1003","AQS"
"03/28/2012","31","","Jersey City Firehouse","34-017-1003","AQS"
"04/03/2012","13","","Jersey City Firehouse","34-017-1003","AQS"
"04/09/2012","60","","Jersey City Firehouse","34-017-1003","AQS"
"04/15/2012","36","","Jersey City Firehouse","34-017-1003","AQS"
"04/21/2012","23","","Jersey City Firehouse","34-017-1003","AQS"
"05/09/2012","26","","Jersey City Firehouse","34-017-1003","AQS"
"05/15/2012","35","","Jersey City Firehouse","34-017-1003","AQS"
"05/21/2012","21","","Jersey City Firehouse","34-017-1003","AQS"
"05/27/2012","43","","Jersey City Firehouse","34-017-1003","AQS"
"06/02/2012","19","","Jersey City Firehouse","34-017-1003","AQS"
"06/08/2012","36","","Jersey City Firehouse","34-017-1003","AQS"
"06/14/2012","31","","Jersey City Firehouse","34-017-1003","AQS"
"06/20/2012","41","","Jersey City Firehouse","34-017-1003","AQS"
"06/26/2012","24","","Jersey City Firehouse","34-017-1003","AQS"
"07/02/2012","32","","Jersey City Firehouse","34-017-1003","AQS"
"07/08/2012","41","","Jersey City Firehouse","34-017-1003","AQS"
"07/20/2012","55","","Jersey City Firehouse","34-017-1003","AQS"
"07/26/2012","34","","Jersey City Firehouse","34-017-1003","AQS"
"08/01/2012","51","","Jersey City Firehouse","34-017-1003","AQS"
