"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AirNow","060370016","3","6","ug/m3 LC","25","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/02/2021","AirNow","060370016","3","7.9","ug/m3 LC","33","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/03/2021","AirNow","060370016","3","12","ug/m3 LC","50","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/04/2021","AirNow","060370016","3","14.8","ug/m3 LC","57","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/05/2021","AirNow","060370016","3","21.4","ug/m3 LC","71","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/06/2021","AirNow","060370016","3","10.7","ug/m3 LC","45","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/07/2021","AirNow","060370016","3","7.6","ug/m3 LC","32","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/08/2021","AirNow","060370016","3","13","ug/m3 LC","53","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/09/2021","AirNow","060370016","3","11.9","ug/m3 LC","50","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/10/2021","AirNow","060370016","3","5.9","ug/m3 LC","25","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/11/2021","AirNow","060370016","3","7.7","ug/m3 LC","32","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/12/2021","AirNow","060370016","3","6.1","ug/m3 LC","25","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/13/2021","AirNow","060370016","3","5.3","ug/m3 LC","22","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
