"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","120110010","1","0.3","ppm","3","Lincoln Park Elementary","19","79.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/02/2015","AQS","120110010","1","0.2","ppm","2","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/03/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/04/2015","AQS","120110010","1","0.3","ppm","3","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/05/2015","AQS","120110010","1","0.4","ppm","5","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/06/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/07/2015","AQS","120110010","1","0.2","ppm","2","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/08/2015","AQS","120110010","1","0.1","ppm","1","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/09/2015","AQS","120110010","1","0.5","ppm","6","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/10/2015","AQS","120110010","1","0.4","ppm","5","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/11/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/12/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/13/2015","AQS","120110010","1","0.4","ppm","5","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/14/2015","AQS","120110010","1","0.6","ppm","7","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/15/2015","AQS","120110010","1","0.1","ppm","1","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/16/2015","AQS","120110010","1","0.1","ppm","1","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/17/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/18/2015","AQS","120110010","1","0.5","ppm","6","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/19/2015","AQS","120110010","1","0.3","ppm","3","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/20/2015","AQS","120110010","1","0.8","ppm","9","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/21/2015","AQS","120110010","1","1.1","ppm","13","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/22/2015","AQS","120110010","1","0.3","ppm","3","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/23/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/25/2015","AQS","120110010","1","0.4","ppm","5","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/26/2015","AQS","120110010","1","0.4","ppm","5","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/27/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/28/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/29/2015","AQS","120110010","1","0.1","ppm","1","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/30/2015","AQS","120110010","1","0.4","ppm","5","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/31/2015","AQS","120110010","1","0.4","ppm","5","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/01/2015","AQS","120110010","1","-0.1","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/02/2015","AQS","120110010","1","0.1","ppm","1","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/03/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/04/2015","AQS","120110010","1","-0.1","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/05/2015","AQS","120110010","1","0","ppm","0","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/07/2015","AQS","120110010","1","0.3","ppm","3","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/08/2015","AQS","120110010","1","0.8","ppm","9","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/09/2015","AQS","120110010","1","1.2","ppm","14","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/10/2015","AQS","120110010","1","0.4","ppm","5","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/11/2015","AQS","120110010","1","0.4","ppm","5","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/12/2015","AQS","120110010","1","0.5","ppm","6","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/13/2015","AQS","120110010","1","0.5","ppm","6","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/14/2015","AQS","120110010","1","0.7","ppm","8","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/15/2015","AQS","120110010","1","0.8","ppm","9","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/16/2015","AQS","120110010","1","1.1","ppm","13","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/17/2015","AQS","120110010","1","0.6","ppm","7","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/18/2015","AQS","120110010","1","0.5","ppm","6","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/19/2015","AQS","120110010","1","0.3","ppm","3","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/20/2015","AQS","120110010","1","0.3","ppm","3","Lincoln Park Elementary","18","75.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/21/2015","AQS","120110010","1","0.3","ppm","3","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/22/2015","AQS","120110010","1","0.3","ppm","3","Lincoln Park Elementary","24","100.0000","42101","Carbon monoxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
