"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","120110033","1","0.045","ppm","42","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/02/2020","AQS","120110033","1","0.042","ppm","39","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/03/2020","AQS","120110033","1","0.027","ppm","25","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/04/2020","AQS","120110033","1","0.033","ppm","31","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/05/2020","AQS","120110033","1","0.042","ppm","39","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/06/2020","AQS","120110033","1","0.041","ppm","38","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/07/2020","AQS","120110033","1","0.044","ppm","41","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/08/2020","AQS","120110033","1","0.047","ppm","44","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/09/2020","AQS","120110033","1","0.044","ppm","41","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/10/2020","AQS","120110033","1","0.038","ppm","35","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/11/2020","AQS","120110033","1","0.029","ppm","27","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/12/2020","AQS","120110033","1","0.032","ppm","30","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/13/2020","AQS","120110033","1","0.035","ppm","32","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/14/2020","AQS","120110033","1","0.037","ppm","34","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/15/2020","AQS","120110033","1","0.039","ppm","36","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/16/2020","AQS","120110033","1","0.045","ppm","42","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/17/2020","AQS","120110033","1","0.043","ppm","40","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/18/2020","AQS","120110033","1","0.043","ppm","40","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/19/2020","AQS","120110033","1","0.043","ppm","40","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/20/2020","AQS","120110033","1","0.042","ppm","39","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/21/2020","AQS","120110033","1","0.043","ppm","40","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/22/2020","AQS","120110033","1","0.04","ppm","37","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/23/2020","AQS","120110033","1","0.033","ppm","31","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/24/2020","AQS","120110033","1","0.037","ppm","34","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/25/2020","AQS","120110033","1","0.043","ppm","40","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/26/2020","AQS","120110033","1","0.046","ppm","43","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/27/2020","AQS","120110033","1","0.033","ppm","31","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/28/2020","AQS","120110033","1","0.047","ppm","44","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/29/2020","AirNow","120110033","1","0.033","ppm","31","Vista View Park","20","83.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/30/2020","AQS","120110033","1","0.048","ppm","44","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"01/31/2020","AQS","120110033","1","0.047","ppm","44","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/01/2020","AQS","120110033","1","0.029","ppm","27","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/02/2020","AQS","120110033","1","0.038","ppm","35","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/03/2020","AQS","120110033","1","0.05","ppm","46","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/04/2020","AQS","120110033","1","0.046","ppm","43","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/05/2020","AQS","120110033","1","0.039","ppm","36","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/06/2020","AQS","120110033","1","0.033","ppm","31","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/07/2020","AQS","120110033","1","0.04","ppm","37","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/08/2020","AQS","120110033","1","0.047","ppm","44","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/09/2020","AQS","120110033","1","0.045","ppm","42","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/10/2020","AQS","120110033","1","0.031","ppm","29","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/11/2020","AQS","120110033","1","0.027","ppm","25","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/12/2020","AQS","120110033","1","0.026","ppm","24","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/13/2020","AQS","120110033","1","0.035","ppm","32","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
"02/14/2020","AQS","120110033","1","0.037","ppm","34","Vista View Park","17","100.0000","44201","Ozone","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.0735360007455","-80.33845"
