"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","120110010","1","0.6","ppb","0","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/02/2017","AQS","120110010","1","0.6","ppb","0","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/03/2017","AQS","120110010","1","0.9","ppb","0","Lincoln Park Elementary","22","92.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/04/2017","AQS","120110010","1","1.2","ppb","1","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/05/2017","AQS","120110010","1","1.6","ppb","1","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/06/2017","AQS","120110010","1","1.2","ppb","1","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/07/2017","AQS","120110010","1","1.3","ppb","1","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/08/2017","AQS","120110010","1","0.7","ppb","0","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/09/2017","AQS","120110010","1","1.1","ppb","1","Lincoln Park Elementary","19","79.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/10/2017","AQS","120110010","1","0.7","ppb","0","Lincoln Park Elementary","20","83.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/11/2017","AQS","120110010","1","0.6","ppb","0","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/12/2017","AQS","120110010","1","0.6","ppb","0","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/13/2017","AQS","120110010","1","0.6","ppb","0","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/14/2017","AQS","120110010","1","0.5","ppb","0","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/15/2017","AQS","120110010","1","0.7","ppb","0","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/16/2017","AQS","120110010","1","0.7","ppb","0","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/17/2017","AQS","120110010","1","1.5","ppb","1","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/26/2017","AQS","120110010","1","2.8","ppb","3","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/27/2017","AQS","120110010","1","1.6","ppb","1","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/28/2017","AQS","120110010","1","2.5","ppb","3","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/29/2017","AQS","120110010","1","1.8","ppb","1","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/30/2017","AQS","120110010","1","2.1","ppb","3","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"01/31/2017","AQS","120110010","1","1.7","ppb","1","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
"02/01/2017","AQS","120110010","1","2.8","ppb","3","Lincoln Park Elementary","24","100.0000","42401","Sulfur dioxide","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","011","Broward","26.128611","-80.167222"
